group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.597765326499939,0.2963576018810272,0.5,0.37214136123657227,0.5927152037620544
Gender: Male,0,0.5587021708488464,0.29054054617881775,0.5,0.36752137541770935,0.5810810923576355
Gender: Female,0,0.649215579032898,0.30194804072380066,0.5,0.37651821970939636,0.6038960814476013
Age: <40,0,0.6256250143051147,0.2857142984867096,0.5,0.3636363744735718,0.5714285969734192
Age: 40-50,0,0.5009920597076416,0.28125,0.5,0.36000001430511475,0.5625
Age: 50-65,0,0.6290249824523926,0.3214285671710968,0.5,0.3913043439388275,0.6428571343421936
Race: White,0,0.6594247221946716,0.3193277418613434,0.5,0.3897435963153839,0.6386554837226868
Race: Black,0,0.6038461923599243,0.3030303120613098,0.5,0.37735849618911743,0.6060606241226196
Race: Other,0,0.5516993403434753,0.27666667103767395,0.5,0.3562231659889221,0.5533333420753479
Overall,1,0.506648063659668,0.3222591280937195,0.5,0.39191919565200806,0.644518256187439
Gender: Male,1,0.540104866027832,0.3044692873954773,0.5,0.3784722089767456,0.6089385151863098
Gender: Female,1,0.47249603271484375,0.34836065769195557,0.5,0.4106280207633972,0.6967212557792664
Age: <40,1,0.5374677181243896,0.32824426889419556,0.5,0.3963133692741394,0.6564885377883911
Age: 40-50,1,0.4119047522544861,0.28915661573410034,0.5,0.3664122223854065,0.5783132314682007
Age: 50-65,1,0.5623457431793213,0.3448275923728943,0.5,0.40816327929496765,0.6896551847457886
Race: White,1,0.6349654197692871,0.3192307651042938,0.5,0.38967135548591614,0.6384615302085876
Race: Black,1,0.4276094138622284,0.3552631437778473,0.5,0.4153846204280853,0.7105263471603394
Race: Other,1,0.4305150508880615,0.31578946113586426,0.5,0.3870967626571655,0.6315789818763733
Overall,2,0.5585345029830933,0.266211599111557,0.5,0.3474387526512146,0.532423198223114
Gender: Male,2,0.5544332265853882,0.26035502552986145,0.5,0.34241244196891785,0.5207100510597229
Gender: Female,2,0.5614495873451233,0.27419355511665344,0.5,0.3541666567325592,0.5483870506286621
Age: <40,2,0.6587064862251282,0.26408451795578003,0.5,0.34562212228775024,0.5281689763069153
Age: 40-50,2,0.4166666865348816,0.2461538463830948,0.5,0.3298968970775604,0.4923076927661896
Age: 50-65,2,0.48097074031829834,0.2848837077617645,0.5,0.3629629611968994,0.569767415523529
Race: White,2,0.608367919921875,0.2936508059501648,0.5,0.3700000047683716,0.5873016119003296
Race: Black,2,0.7395833730697632,0.20000000298023224,0.5,0.2857142984867096,0.4000000059604645
Race: Other,2,0.4981488287448883,0.25170066952705383,0.5,0.33484163880348206,0.5034013390541077
Overall,3,0.5221281051635742,0.27721089124679565,0.5,0.3566739559173584,0.5544217824935913
Gender: Male,3,0.5350475311279297,0.2738853394985199,0.5,0.3539094626903534,0.5477707386016846
