group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5399296283721924,0.5314410924911499,0.5218989849090576,0.4895041584968567,0.5360825061798096
Gender: Male,0,0.5523104071617126,0.5289733409881592,0.5222865343093872,0.4956693649291992,0.5275182127952576
Gender: Female,0,0.5221114158630371,0.5316012501716614,0.519449770450592,0.480066180229187,0.544524073600769
Age: <40,0,0.5290368795394897,0.5335365533828735,0.5214838981628418,0.4692174792289734,0.5121951103210449
Age: 40-50,0,0.5444666147232056,0.5278419256210327,0.5201384425163269,0.4963858723640442,0.5472837090492249
Age: 50-65,0,0.5436384081840515,0.5352412462234497,0.5255521535873413,0.500462532043457,0.5471014380455017
Race: White,0,0.5473484992980957,0.5345317125320435,0.5246320962905884,0.49225354194641113,0.5332699418067932
Race: Black,0,0.5447943210601807,0.513566792011261,0.50822913646698,0.47005176544189453,0.5437500476837158
Race: Other,0,0.513251543045044,0.5359476804733276,0.5269840955734253,0.49922481179237366,0.5343137383460999
Overall,1,0.5212374925613403,0.501085638999939,0.5007954835891724,0.4683477580547333,0.5077160596847534
Gender: Male,1,0.5322851538658142,0.5045086145401001,0.503523051738739,0.46886008977890015,0.4926004111766815
Gender: Female,1,0.5008634328842163,0.4926193952560425,0.4949128031730652,0.4637690484523773,0.5220441222190857
Age: <40,1,0.5188631415367126,0.505733847618103,0.5043714642524719,0.4777008593082428,0.5142857432365417
Age: 40-50,1,0.5610603094100952,0.5241511464118958,0.5155172348022461,0.4705128073692322,0.5205811262130737
Age: 50-65,1,0.5034416913986206,0.4884187877178192,0.4913237690925598,0.4597412943840027,0.4965358078479767
Race: White,1,0.5310702323913574,0.5050370693206787,0.50371253490448,0.4716026782989502,0.5095368027687073
Race: Black,1,0.4916428327560425,0.48872828483581543,0.49183928966522217,0.4606092572212219,0.5063290596008301
Race: Other,1,0.5240893363952637,0.5045946836471558,0.5033636689186096,0.4680609703063965,0.5040650367736816
Overall,2,0.5169240832328796,0.5033113360404968,0.5024862289428711,0.4704025387763977,0.5044432878494263
Gender: Male,2,0.5130951404571533,0.495974063873291,0.4965386986732483,0.4731873869895935,0.4874274730682373
Gender: Female,2,0.5059486031532288,0.5011821389198303,0.5006975531578064,0.4543907344341278,0.5244596004486084
Age: <40,2,0.4641945958137512,0.4803147315979004,0.48645132780075073,0.4395078718662262,0.4793650805950165
Age: 40-50,2,0.5832606554031372,0.5249121189117432,0.5188275575637817,0.48896896839141846,0.5216401219367981
Age: 50-65,2,0.5210578441619873,0.509070873260498,0.507180392742157,0.48344528675079346,0.5142180323600769
Race: White,2,0.5338656902313232,0.5098748803138733,0.507818877696991,0.47656917572021484,0.5
Race: Black,2,0.4823409914970398,0.48265379667282104,0.4886181652545929,0.4488207697868347,0.5075471997261047
Race: Other,2,0.5026308298110962,0.5013605356216431,0.5010374784469604,0.4752790927886963,0.5136778354644775
Overall,3,0.4927358031272888,0.48709940910339355,0.49125316739082336,0.4479680061340332,0.4938650131225586
Gender: Male,3,0.5066993236541748,0.4920542240142822,0.4940102696418762,0.45723462104797363,0.48704102635383606
Gender: Female,3,0.4755062460899353,0.4776002764701843,0.4864962100982666,0.43598610162734985,0.5
Age: <40,3,0.4588998258113861,0.43808552622795105,0.46055322885513306,0.40569889545440674,0.4582701027393341
Age: 40-50,3,0.5653393268585205,0.5517335534095764,0.5326657295227051,0.49358242750167847,0.5494071245193481
Age: 50-65,3,0.4725152254104614,0.4859158992767334,0.48960769176483154,0.4530213475227356,0.4879899024963379
Race: White,3,0.4916835129261017,0.4928881525993347,0.49477508664131165,0.4555225968360901,0.48821866512298584
Race: Black,3,0.48615047335624695,0.4498687982559204,0.47164303064346313,0.40941059589385986,0.47638604044914246
Race: Other,3,0.4966428279876709,0.5027618408203125,0.50180584192276,0.46660855412483215,0.529411792755127
Overall,4,0.5012757778167725,0.4922008812427521,0.49437567591667175,0.460530549287796,0.5030863881111145
