group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5083872079849243,0.25141826272010803,0.4994876980781555,0.33447685837745667,0.5025773644447327
Gender: Male,0,0.5043331384658813,0.262474000453949,0.4990118443965912,0.34400543570518494,0.524402916431427
Gender: Female,0,0.5177850723266602,0.24053223431110382,0.5,0.3248099386692047,0.48106446862220764
Age: <40,0,0.5566425323486328,0.26140064001083374,0.4984472095966339,0.34294870495796204,0.5219511985778809
Age: 40-50,0,0.46809887886047363,0.24446679651737213,0.5,0.3283783793449402,0.48893359303474426
Age: 50-65,0,0.5017650127410889,0.24818840622901917,0.5,0.33171913027763367,0.49637681245803833
Race: White,0,0.4982684254646301,0.24667300283908844,0.5,0.33036282658576965,0.4933460056781769
Race: Black,0,0.5502352714538574,0.2510416805744171,0.5,0.33425796031951904,0.5020833611488342
Race: Other,0,0.4796488881111145,0.2641277611255646,0.49768519401550293,0.3451043367385864,0.5269607901573181
Overall,1,0.5069721341133118,0.24871398508548737,0.5,0.3321882486343384,0.49742797017097473
Gender: Male,1,0.49839305877685547,0.2521141767501831,0.5,0.3352073132991791,0.5042282938957214
Gender: Female,1,0.5168166756629944,0.24549098312854767,0.5,0.3293010890483856,0.49098196625709534
Age: <40,1,0.5117514133453369,0.26240602135658264,0.5,0.34418144822120667,0.5248120427131653
Age: 40-50,1,0.48818010091781616,0.24818402528762817,0.5,0.3317151963710785,0.49636805057525635
Age: 50-65,1,0.518694281578064,0.23845265805721283,0.5,0.32290852069854736,0.47690531611442566
Race: White,1,0.5112892389297485,0.23569482564926147,0.5,0.3203703761100769,0.47138965129852295
Race: Black,1,0.5365310907363892,0.2552742660045624,0.5,0.33798882365226746,0.51054847240448
Race: Other,1,0.4397522211074829,0.27913278341293335,0.5,0.3582608699798584,0.5582655668258667
Overall,2,0.5123632550239563,0.24320083856582642,0.49946293234825134,0.32711923122406006,0.486147403717041
Gender: Male,2,0.5040310621261597,0.24636979401111603,0.499019593000412,0.3298768699169159,0.4922630786895752
Gender: Female,2,0.522478461265564,0.23947668075561523,0.5,0.32384616136550903,0.4789533317089081
Age: <40,2,0.535646915435791,0.2416534125804901,0.49836066365242004,0.3254818022251129,0.48253968358039856
Age: 40-50,2,0.46521487832069397,0.24145786464214325,0.5,0.3256528377532959,0.4829157292842865
Age: 50-65,2,0.519108772277832,0.24526067078113556,0.5,0.3290938138961792,0.4905213415622711
Race: White,2,0.5082207918167114,0.23814041912555695,0.5,0.3226221203804016,0.4762808382511139
Race: Black,2,0.5409625768661499,0.24056604504585266,0.5,0.3248407542705536,0.4811320900917053
Race: Other,2,0.46336668729782104,0.26371949911117554,0.49712643027305603,0.3446215093135834,0.5258358716964722
Overall,3,0.5015329122543335,0.2606137990951538,0.4995098114013672,0.3425210118293762,0.5209611058235168
Gender: Male,3,0.4682772755622864,0.26486486196517944,0.49898168444633484,0.34604519605636597,0.5291576385498047
Gender: Female,3,0.530651330947876,0.25679612159729004,0.5,0.3393200635910034,0.5135922431945801
Age: <40,3,0.526512861251831,0.2583586573600769,0.4985337257385254,0.34034034609794617,0.5159332156181335
Age: 40-50,3,0.4862312078475952,0.26284584403038025,0.5,0.34455958008766174,0.5256917476654053
Age: 50-65,3,0.49089765548706055,0.2610619366168976,0.5,0.34302327036857605,0.5221239328384399
Race: White,3,0.48721933364868164,0.2591894567012787,0.5,0.3414028584957123,0.5183788537979126
Race: Black,3,0.5766713619232178,0.24948665499687195,0.5,0.33287671208381653,0.4989733099937439
Race: Other,3,0.4451286196708679,0.27764126658439636,0.4977973699569702,0.3564668893814087,0.5539215803146362
