group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5104895830154419,0.2590000033378601,0.5,0.34123846888542175,0.5180000066757202
Gender: Male,0,0.5083121061325073,0.2728215754032135,0.5,0.3530201315879822,0.5456432104110718
Gender: Female,0,0.5115336179733276,0.24613898992538452,0.5,0.3298835754394531,0.49227797985076904
Age: <40,0,0.513648271560669,0.24281150102615356,0.5,0.3268817067146301,0.48562300205230713
Age: 40-50,0,0.5151214599609375,0.25581395626068115,0.5,0.3384615480899811,0.5116279125213623
Age: 50-65,0,0.5061582326889038,0.27272728085517883,0.5,0.3529411852359772,0.5454545617103577
Race: White,0,0.5165260434150696,0.2639925479888916,0.5,0.34554335474967957,0.5279850363731384
Race: Black,0,0.4824545085430145,0.275390625,0.5,0.35516372323036194,0.55078125
Race: Other,0,0.529092013835907,0.22596153616905212,0.5,0.3112582862377167,0.45192310214042664
Overall,1,0.5129326581954956,0.24050000309944153,0.5,0.32478055357933044,0.48100003600120544
Gender: Male,1,0.5093541145324707,0.26489362120628357,0.5,0.34631431102752686,0.5297872424125671
Gender: Female,1,0.5149921774864197,0.2188679277896881,0.5,0.3044619560241699,0.4377358555793762
Age: <40,1,0.52178955078125,0.2283582091331482,0.5,0.31352460384368896,0.4567164182662964
Age: 40-50,1,0.503820538520813,0.2541666626930237,0.5,0.33701658248901367,0.5083333849906921
Age: 50-65,1,0.5101464986801147,0.2423529475927353,0.5,0.3264659345149994,0.4847058653831482
Race: White,1,0.5194557905197144,0.24166665971279144,0.5,0.3258427083492279,0.4833333194255829
Race: Black,1,0.5004017353057861,0.24810606241226196,0.5,0.33164557814598083,0.4962121248245239
Race: Other,1,0.513624906539917,0.22704081237316132,0.5,0.31228071451187134,0.45408162474632263
Overall,2,0.503085196018219,0.25200000405311584,0.5,0.33510637283325195,0.5040000081062317
Gender: Male,2,0.4881126284599304,0.23749999701976776,0.5,0.32203391194343567,0.4750000238418579
Gender: Female,2,0.516311764717102,0.26538461446762085,0.5,0.3467336595058441,0.5307692289352417
Age: <40,2,0.5029714107513428,0.239130437374115,0.5,0.3235294222831726,0.47826087474823
Age: 40-50,2,0.49665531516075134,0.2645833194255829,0.5,0.346049040555954,0.5291666984558105
Age: 50-65,2,0.5058090686798096,0.2554216980934143,0.5,0.3381180167198181,0.5108433961868286
Race: White,2,0.4927717447280884,0.25,0.5,0.3333333432674408,0.5
Race: Black,2,0.5322926044464111,0.25732216238975525,0.5,0.3397790193557739,0.5146443247795105
Race: Other,2,0.49785226583480835,0.2512953281402588,0.5,0.33448275923728943,0.5025906562805176
Overall,3,0.5125933885574341,0.23899999260902405,0.5,0.3234100043773651,0.4780000150203705
Gender: Male,3,0.49536389112472534,0.24630020558834076,0.5,0.33002832531929016,0.4926004111766815
Gender: Female,3,0.5276740789413452,0.2324478179216385,0.5,0.31735751032829285,0.464895635843277
Age: <40,3,0.5216607451438904,0.2421652376651764,0.5,0.3262955844402313,0.4843304753303528
Age: 40-50,3,0.5073578953742981,0.2521551847457886,0.5,0.3352435529232025,0.5043103694915771
Age: 50-65,3,0.5075927972793579,0.22901678085327148,0.5,0.31414473056793213,0.45803359150886536
Race: White,3,0.5182817578315735,0.24715909361839294,0.5,0.330798476934433,0.4943181872367859
Race: Black,3,0.4895246624946594,0.22900763154029846,0.5,0.3141361176967621,0.4580152630805969
Race: Other,3,0.5270276069641113,0.23095238208770752,0.5,0.31596091389656067,0.4619047939777374
Overall,4,0.515181303024292,0.24449999630451202,0.5,0.3284083306789398,0.48900002241134644
Gender: Male,4,0.5148960947990417,0.2281745970249176,0.5,0.31335151195526123,0.4563492238521576
Gender: Female,4,0.5162911415100098,0.26108869910240173,0.5,0.3430463671684265,0.5221773982048035
Age: <40,4,0.5143156051635742,0.2398843914270401,0.5,0.32421875,0.4797687828540802
Age: 40-50,4,0.5247727632522583,0.25,0.5,0.3333333432674408,0.5
Age: 50-65,4,0.5108311772346497,0.24534884095191956,0.5,0.32917317748069763,0.4906976819038391
Race: White,4,0.5162285566329956,0.24590164422988892,0.5,0.32967033982276917,0.49180328845977783
Race: Black,4,0.5036656856536865,0.2578125,0.5,0.34020617604255676,0.515625
Race: Other,4,0.5290548801422119,0.2230769246816635,0.5,0.3085106313228607,0.446153849363327
Overall,5,0.5109582543373108,0.2409999966621399,0.5,0.32523617148399353,0.4820000231266022
Gender: Male,5,0.5143727660179138,0.23150105774402618,0.5,0.31647399067878723,0.46300211548805237
Gender: Female,5,0.5083895325660706,0.24952562153339386,0.5,0.3329114019870758,0.4990512430667877
Age: <40,5,0.5193387866020203,0.2297687828540802,0.5,0.3148514926433563,0.4595375657081604
Age: 40-50,5,0.5176275968551636,0.24493926763534546,0.5,0.3288043439388275,0.4898785650730133
Age: 50-65,5,0.4989193081855774,0.24815724790096283,0.5,0.33169129490852356,0.49631449580192566
Race: White,5,0.5108152627944946,0.2430683970451355,0.5,0.32711443305015564,0.486136794090271
Race: Black,5,0.4947904348373413,0.262452095746994,0.5,0.3442211151123047,0.524904191493988
Race: Other,5,0.5352449417114258,0.2070707082748413,0.5,0.2928571403026581,0.4141414165496826
Overall,6,0.5098479390144348,0.24500000476837158,0.5,0.3288590610027313,0.49000000953674316
Gender: Male,6,0.5143057107925415,0.2351190447807312,0.5,0.3198380470275879,0.4702381193637848
Gender: Female,6,0.5067055225372314,0.25504031777381897,0.5,0.33778372406959534,0.5100806355476379
Age: <40,6,0.49949371814727783,0.24571429193019867,0.5,0.3295019268989563,0.49142855405807495
Age: 40-50,6,0.5209845900535583,0.2670682668685913,0.5,0.3481675386428833,0.5341365337371826
