group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.47415804862976074,0.3676767647266388,0.491327166557312,0.35259661078453064,0.5298013091087341
Gender: Male,0,0.4844789206981659,0.37272727489471436,0.4831854999065399,0.3607511818408966,0.5337837934494019
Gender: Female,0,0.4740402400493622,0.26298701763153076,0.5,0.3446808457374573,0.5259740352630615
Age: <40,0,0.45251283049583435,0.26618704199790955,0.4933333396911621,0.3457943797111511,0.5285714268684387
Age: 40-50,0,0.4642857313156128,0.44999998807907104,0.48701298236846924,0.42081448435783386,0.625
Age: 50-65,0,0.4816053509712219,0.23469388484954834,0.5,0.3194444477558136,0.4693877398967743
Race: White,0,0.5517438650131226,0.7796610593795776,0.5094339847564697,0.3772141635417938,0.5630252361297607
Race: Black,0,0.6766917705535889,0.28787878155708313,0.5,0.36538460850715637,0.575757622718811
Race: Other,0,0.3532763719558716,0.25342464447021484,0.4743589758872986,0.3303571343421936,0.4933333396911621
Overall,1,0.493993878364563,0.3835051357746124,0.4846911132335663,0.37009620666503906,0.554817259311676
Gender: Male,1,0.540359377861023,0.3070175349712372,0.4646017551422119,0.3697183132171631,0.5865921378135681
Gender: Female,1,0.44543009996414185,0.75,0.5161290168762207,0.3645833432674408,0.5081967115402222
Age: <40,1,0.4303259253501892,0.27165353298187256,0.4726027250289917,0.3449999988079071,0.5267175436019897
Age: 40-50,1,0.5383117198944092,0.42692306637763977,0.4814935028553009,0.4137616753578186,0.626505970954895
Age: 50-65,1,0.5534391403198242,0.7616279125213623,0.511904776096344,0.3667672872543335,0.5287356376647949
Race: White,1,0.47509485483169556,0.36317721009254456,0.4646584391593933,0.35092031955718994,0.48461538553237915
Race: Black,1,0.4649859666824341,0.2763157784938812,0.5,0.35593220591545105,0.5526315569877625
Race: Other,1,0.4922254681587219,0.31439393758773804,0.494047611951828,0.38425925374031067,0.6240601539611816
Overall,2,0.5521624684333801,0.5167332887649536,0.5016316175460815,0.3980403542518616,0.6006825566291809
Gender: Male,2,0.5364787578582764,0.41402438282966614,0.4893729090690613,0.3949991762638092,0.6153846383094788
Gender: Female,2,0.5714285373687744,0.7868852615356445,0.5185185074806213,0.4002976417541504,0.5806451439857483
Age: <40,2,0.49610018730163574,0.2928571403026581,0.488095223903656,0.3660714328289032,0.577464759349823
Age: 40-50,2,0.7345538139343262,0.6106557250022888,0.5308924317359924,0.49817147850990295,0.7076923251152039
Age: 50-65,2,0.5531915426254272,0.7764706015586853,0.5128205418586731,0.3810606002807617,0.5581395626068115
Race: White,2,0.5171195268630981,0.5336134433746338,0.5076087117195129,0.4385133385658264,0.626984179019928
Race: Black,2,0.4343434274196625,0.2750000059604645,0.5,0.35483869910240173,0.550000011920929
Race: Other,2,0.5935951471328735,0.2925170063972473,0.5,0.3690987229347229,0.5850340127944946
Overall,3,0.49019312858581543,0.37543705105781555,0.4858124256134033,0.38785797357559204,0.6122449040412903
Gender: Male,3,0.5066896080970764,0.3400000035762787,0.4678899049758911,0.39382240176200867,0.649681568145752
Gender: Female,3,0.48852813243865967,0.783088207244873,0.5083333253860474,0.3778958022594452,0.569343090057373
Age: <40,3,0.47281163930892944,0.307407408952713,0.477011501789093,0.37387385964393616,0.597122311592102
Age: 40-50,3,0.5090090036392212,0.32692307233810425,0.45945945382118225,0.3820224702358246,0.6181818246841431
Age: 50-65,3,0.5182512998580933,0.8131313323974609,0.5131579041481018,0.4107342064380646,0.6299999952316284
Race: White,3,0.49836331605911255,0.4349173605442047,0.49140751361846924,0.39649227261543274,0.6080000400543213
Race: Black,3,0.5882352590560913,0.3863636255264282,0.5,0.43589743971824646,0.7727273106575012
Race: Other,3,0.46075356006622314,0.3041957914829254,0.4780219793319702,0.3717948794364929,0.5918367505073547
Overall,4,0.48571711778640747,0.31569966673851013,0.49202126264572144,0.38461539149284363,0.625
Gender: Male,4,0.5280448794364929,0.33892616629600525,0.48557692766189575,0.39920949935913086,0.6644737124443054
Gender: Female,4,0.4406746029853821,0.2916666567325592,0.5,0.3684210479259491,0.5833333134651184
Age: <40,4,0.4447086453437805,0.2957746386528015,0.48275861144065857,0.36681222915649414,0.5793103575706482
Age: 40-50,4,0.6112440228462219,0.3166666626930237,0.5,0.3877550959587097,0.6333333849906921
Age: 50-65,4,0.478458046913147,0.3461538553237915,0.5,0.40909090638160706,0.692307710647583
Race: White,4,0.48245614767074585,0.32203391194343567,0.5,0.39175257086753845,0.6440678238868713
Race: Black,4,0.5833333730697632,0.3125,0.5,0.38461539149284363,0.625
Race: Other,4,0.45974230766296387,0.31118881702423096,0.4836956560611725,0.3787234127521515,0.6095890402793884
Overall,5,0.5289812684059143,0.4188034236431122,0.48980289697647095,0.39179545640945435,0.6033897995948792
Gender: Male,5,0.5349406003952026,0.43892568349838257,0.48549965023994446,0.4169600307941437,0.6312500238418579
Gender: Female,5,0.51836097240448,0.28518518805503845,0.5,0.36320754885673523,0.5703703761100769
Age: <40,5,0.4851851761341095,0.32283464074134827,0.488095223903656,0.3886255919933319,0.6356589198112488
Age: 40-50,5,0.621052622795105,0.49373435974121094,0.49707603454589844,0.4690799415111542,0.65625
Age: 50-65,5,0.5281635522842407,0.2647058963775635,0.5,0.3461538553237915,0.529411792755127
Race: White,5,0.5247193574905396,0.4642857313156128,0.49355149269104004,0.3997519612312317,0.5833333730697632
Race: Black,5,0.45578229427337646,0.375,0.5,0.4285714328289032,0.7500000596046448
Race: Other,5,0.5331325531005859,0.3030303120613098,0.4819277226924896,0.3720930218696594,0.5925925970077515
Overall,6,0.5241180062294006,0.48639458417892456,0.4982975423336029,0.41066962480545044,0.6303630471229553
Gender: Male,6,0.50388503074646,0.45017483830451965,0.4889277517795563,0.4176308512687683,0.6291390657424927
Gender: Female,6,0.5447829961776733,0.8145695328712463,0.5087719559669495,0.40342023968696594,0.6315789222717285
Age: <40,6,0.4467754364013672,0.35555556416511536,0.4848484992980957,0.41025641560554504,0.695652186870575
Age: 40-50,6,0.5976676344871521,0.5739436745643616,0.5229591727256775,0.47156861424446106,0.6363636255264282
Age: 50-65,6,0.5098344087600708,0.2613636255264282,0.5,0.34328359365463257,0.5227273106575012
Race: White,6,0.4763636291027069,0.48277559876441956,0.4960227310657501,0.40993788838386536,0.5777777433395386
Race: Black,6,0.6632653474807739,0.3333333432674408,0.5,0.4000000059604645,0.6666666865348816
Race: Other,6,0.5391489267349243,0.3390410840511322,0.4950000047683716,0.40243902802467346,0.6734693646430969
Overall,7,0.5249199271202087,0.5863984823226929,0.5106227397918701,0.4184355139732361,0.6153846383094788
Gender: Male,7,0.5054157972335815,0.42903226613998413,0.490391343832016,0.40775373578071594,0.643750011920929
Gender: Female,7,0.5429409742355347,0.7851852178573608,0.5322580337524414,0.4238136112689972,0.5827338099479675
Age: <40,7,0.5986597537994385,0.30078125,0.4873417615890503,0.3719806671142578,0.5923076868057251
Age: 40-50,7,0.5268518924713135,0.7452025413513184,0.6064814925193787,0.6149372458457947,0.7702702879905701
Age: 50-65,7,0.47022223472595215,0.2631579041481018,0.5,0.3448275923728943,0.5263158082962036
Race: White,7,0.5474073886871338,0.6756912469863892,0.5376543402671814,0.4730851352214813,0.6412214040756226
Race: Black,7,0.5320512652397156,0.40625,0.5,0.4482758641242981,0.8125
Race: Other,7,0.5142543315887451,0.2761194109916687,0.4868420958518982,0.3523809611797333,0.5441176295280457
Overall,8,0.5002892017364502,0.4138513505458832,0.4909248650074005,0.3763370215892792,0.5690789222717285
Gender: Male,8,0.5166115760803223,0.3361344635486603,0.4723665714263916,0.3499999940395355,0.512499988079071
Gender: Female,8,0.4934156537055969,0.8146853446960449,0.5092592835426331,0.40444791316986084,0.631944477558136
Age: <40,8,0.4010416865348816,0.27419355511665344,0.4722222089767456,0.3469387888908386,0.53125
Age: 40-50,8,0.6320754289627075,0.5530303120613098,0.5123820900917053,0.48120301961898804,0.7536231875419617
Age: 50-65,8,0.5506992340087891,0.7452830076217651,0.5090909004211426,0.3469710648059845,0.49532708525657654
Race: White,8,0.49357521533966064,0.42500001192092896,0.4861111044883728,0.3812499940395355,0.5510203838348389
Race: Black,8,0.6285713911056519,0.20588235557079315,0.5,0.2916666567325592,0.4117647111415863
Race: Other,8,0.4683462381362915,0.3057554066181183,0.49418604373931885,0.3777777850627899,0.6071428656578064
Overall,9,0.4637616276741028,0.4131355881690979,0.4908285439014435,0.37574899196624756,0.5676567554473877
Gender: Male,9,0.4632652997970581,0.2839506268501282,0.4693877696990967,0.35384616255760193,0.5476190447807312
Gender: Female,9,0.4635627269744873,0.7932330965995789,0.5175438523292542,0.40356653928756714,0.5925925970077515
Age: <40,9,0.410897433757782,0.2777777910232544,0.48076921701431274,0.35211268067359924,0.54347825050354
Age: 40-50,9,0.5537325143814087,0.5521126985549927,0.5151763558387756,0.4746543765068054,0.6842105388641357
Age: 50-65,9,0.49898990988731384,0.25280898809432983,0.5,0.33582088351249695,0.5056179761886597
Race: White,9,0.4734432101249695,0.4414682388305664,0.4891941547393799,0.3958081901073456,0.5827814340591431
Race: Black,9,0.6176470518112183,0.3400000035762787,0.5,0.4047619104385376,0.6800000071525574
Race: Other,9,0.4264706075191498,0.2658730149269104,0.49264705181121826,0.34536081552505493,0.5275590419769287
Overall,10,0.490278959274292,0.48620688915252686,0.4990607798099518,0.37692293524742126,0.5694915056228638
Gender: Male,10,0.4881822466850281,0.4166666567325592,0.4926900565624237,0.37708333134651184,0.5760869383811951
Gender: Female,10,0.4986885190010071,0.7772727012634277,0.5099999904632568,0.37633299827575684,0.5585585832595825
Age: <40,10,0.4762403964996338,0.24761904776096344,0.48148149251937866,0.3270440399646759,0.485981285572052
Age: 40-50,10,0.4909090995788574,0.6794872283935547,0.5293706655502319,0.47498056292533875,0.6913580298423767
Age: 50-65,10,0.554964542388916,0.28037384152412415,0.5,0.359281450510025,0.5607476234436035
Race: White,10,0.5543530583381653,0.5452755689620972,0.5055314898490906,0.40212979912757874,0.5877862572669983
Race: Black,10,0.3285714387893677,0.29411765933036804,0.5,0.37037035822868347,0.5882353186607361
Race: Other,10,0.460488498210907,0.27519381046295166,0.4930555522441864,0.35323384404182434,0.5461538434028625
Overall,11,0.4812982678413391,0.4419580399990082,0.4921801686286926,0.3857707679271698,0.5743243098258972
Gender: Male,11,0.488725483417511,0.30645161867141724,0.46568626165390015,0.3696497976779938,0.5864197611808777
Gender: Female,11,0.47379031777381897,0.7748091220855713,0.524193525314331,0.4008336365222931,0.5597015023231506
Age: <40,11,0.44458335638046265,0.2647058963775635,0.47999998927116394,0.3412322402000427,0.5179856419563293
Age: 40-50,11,0.5369318127632141,0.3857142925262451,0.46022728085517883,0.3827160596847534,0.5370370149612427
Age: 50-65,11,0.5302653312683105,0.8316831588745117,0.5277777910232544,0.45144110918045044,0.6699029207229614
Race: White,11,0.5035405158996582,0.4989572763442993,0.4998033046722412,0.3996426463127136,0.5625
Race: Black,11,0.6399999856948853,0.25,0.5,0.3333333432674408,0.5
Race: Other,11,0.4397560954093933,0.3062015473842621,0.48170730471611023,0.3744075894355774,0.5984848737716675
Overall,12,0.44830748438835144,0.3819444477558136,0.49014919996261597,0.37802255153656006,0.5884353518486023
Gender: Male,12,0.4422559142112732,0.39052289724349976,0.48308080434799194,0.3881673812866211,0.5974842309951782
Gender: Female,12,0.45748990774154663,0.2888889014720917,0.5,0.3661971688270569,0.5777777433395386
Age: <40,12,0.42500001192092896,0.277372270822525,0.4749999940395355,0.3502304255962372,0.5390070676803589
