group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5211637020111084,0.45424139499664307,0.49162405729293823,0.3714292049407959,0.5149484872817993
Gender: Male,0,0.5311523675918579,0.45736390352249146,0.49175986647605896,0.36776453256607056,0.5015576481819153
Gender: Female,0,0.5047200918197632,0.4497710168361664,0.4913022220134735,0.37468573451042175,0.5281473994255066
Age: <40,0,0.4789024591445923,0.3981521725654602,0.475202739238739,0.3468383848667145,0.4617885947227478
Age: 40-50,0,0.5642368793487549,0.5369188189506531,0.5076675415039062,0.40680643916130066,0.5533198714256287
Age: 50-65,0,0.5212289094924927,0.4417801797389984,0.49286890029907227,0.36696746945381165,0.5314009785652161
Race: White,0,0.5582606792449951,0.4751057028770447,0.4964415729045868,0.36585479974746704,0.5114068388938904
Race: Black,0,0.4460269808769226,0.38777777552604675,0.4733607769012451,0.3691134452819824,0.5229166746139526
Race: Other,0,0.5162338018417358,0.5078125,0.5017316341400146,0.38738739490509033,0.5147058963775635
Overall,1,0.5171065926551819,0.45344340801239014,0.49194586277008057,0.3649633526802063,0.5041152238845825
Gender: Male,1,0.5108602046966553,0.462697297334671,0.49209165573120117,0.357783704996109,0.47145876288414
Gender: Female,1,0.5114613771438599,0.4286901354789734,0.49025726318359375,0.36899134516716003,0.5350701212882996
Age: <40,1,0.48396360874176025,0.4044000208377838,0.4783463478088379,0.3609236180782318,0.49624061584472656
Age: 40-50,1,0.5532958507537842,0.5044529438018799,0.5008209943771362,0.37651801109313965,0.508474588394165
Age: 50-65,1,0.5265570282936096,0.48691612482070923,0.49836185574531555,0.3623548150062561,0.508083164691925
Race: White,1,0.5434327125549316,0.5059241652488708,0.5009492039680481,0.3731289207935333,0.5113533139228821
Race: Black,1,0.4996607303619385,0.40223902463912964,0.4833928644657135,0.3587714433670044,0.508438766002655
Race: Other,1,0.45907753705978394,0.38711002469062805,0.47576379776000977,0.348217636346817,0.4769647717475891
Overall,2,0.526270866394043,0.47710683941841125,0.4952067732810974,0.3724553883075714,0.4986931383609772
Gender: Male,2,0.5419179201126099,0.5064579248428345,0.5016125440597534,0.3762736916542053,0.4806576669216156
Gender: Female,2,0.4984539747238159,0.4134942591190338,0.4859711229801178,0.3641963601112366,0.5199089646339417
Age: <40,2,0.49732252955436707,0.5243781805038452,0.5049818158149719,0.376587837934494,0.49365079402923584
Age: 40-50,2,0.5367210507392883,0.45990288257598877,0.4873168170452118,0.3837723731994629,0.4920273423194885
Age: 50-65,2,0.5406907796859741,0.4467320442199707,0.4917544722557068,0.3618754744529724,0.5059241652488708
Race: White,2,0.5705322623252869,0.5533351898193359,0.5105639696121216,0.38027408719062805,0.4952561557292938
Race: Black,2,0.4507978558540344,0.3797634243965149,0.4718027710914612,0.35837987065315247,0.5
Race: Other,2,0.5133763551712036,0.42550909519195557,0.4845486879348755,0.367127388715744,0.5075988173484802
Overall,3,0.5133129358291626,0.48038390278816223,0.49681147933006287,0.3654922842979431,0.501022458076477
Gender: Male,3,0.542530357837677,0.4979754686355591,0.4995938241481781,0.3686439096927643,0.48704102635383606
Gender: Female,3,0.48139500617980957,0.45021262764930725,0.493631511926651,0.36126282811164856,0.5135922431945801
Age: <40,3,0.4679175317287445,0.4651615023612976,0.49356141686439514,0.3623608946800232,0.4901365637779236
Age: 40-50,3,0.5412063598632812,0.5147058963775635,0.5032908916473389,0.39492762088775635,0.5276679992675781
