group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.4997624158859253,0.5016043186187744,0.5002232193946838,0.3644886016845703,0.5030928254127502
Gender: Male,0,0.5333633422851562,0.5412698984146118,0.5030357837677002,0.36426421999931335,0.5275182127952576
Gender: Female,0,0.4712870717048645,0.4798440635204315,0.4959314167499542,0.36228543519973755,0.4790174067020416
Age: <40,0,0.4840162992477417,0.4505771994590759,0.4934655427932739,0.36281394958496094,0.5154471397399902
Age: 40-50,0,0.4708207845687866,0.48280131816864014,0.49696218967437744,0.3618869185447693,0.4869215190410614
Age: 50-65,0,0.5284356474876404,0.557692289352417,0.5070192217826843,0.36670270562171936,0.5036231875419617
Race: White,0,0.4958662986755371,0.5028828978538513,0.500432014465332,0.36272916197776794,0.4942965805530548
Race: Black,0,0.5226305723190308,0.372863233089447,0.48760396242141724,0.33917364478111267,0.4895833730697632
Race: Other,0,0.4808545708656311,0.5920716524124146,0.5147569179534912,0.39859533309936523,0.5416666865348816
Overall,1,0.5011820793151855,0.5212674140930176,0.5024212598800659,0.35969334840774536,0.4999999701976776
Gender: Male,1,0.5213756561279297,0.5630373358726501,0.5054735541343689,0.3610527217388153,0.5095137357711792
Gender: Female,1,0.48294830322265625,0.49532222747802734,0.4993491768836975,0.35815709829330444,0.49098196625709534
Age: <40,1,0.4742392301559448,0.47593170404434204,0.4970485270023346,0.3660818338394165,0.5203007459640503
Age: 40-50,1,0.5201219320297241,0.6006203293800354,0.5095098614692688,0.3643469512462616,0.5060532689094543
Age: 50-65,1,0.5128815770149231,0.5277472734451294,0.503239095211029,0.352145254611969,0.481524258852005
Race: White,1,0.5154134035110474,0.5900731682777405,0.5117394924163818,0.3629128932952881,0.4850136339664459
Race: Black,1,0.5032238364219666,0.29599452018737793,0.4814940392971039,0.33319324254989624,0.4915611445903778
Race: Other,1,0.44916313886642456,0.5013889074325562,0.5001339912414551,0.3783794939517975,0.5555555820465088
Overall,2,0.5051819086074829,0.4890047311782837,0.4985983073711395,0.35293009877204895,0.486147403717041
Gender: Male,2,0.5200437307357788,0.4452923536300659,0.49483609199523926,0.3440872132778168,0.4883945882320404
Gender: Female,2,0.4921117424964905,0.516506016254425,0.5027357339859009,0.3624654710292816,0.48350396752357483
Age: <40,2,0.5104867219924927,0.45484399795532227,0.4941740334033966,0.34658047556877136,0.4793650805950165
Age: 40-50,2,0.5155432224273682,0.5084119439125061,0.5011116862297058,0.355384886264801,0.4851936399936676
Age: 50-65,2,0.49063870310783386,0.5046693086624146,0.5005785822868347,0.3563860058784485,0.4917061924934387
Race: White,2,0.4892711639404297,0.5143986344337463,0.5015445351600647,0.347774475812912,0.4791271388530731
Race: Black,2,0.5666452646255493,0.36138132214546204,0.4837433099746704,0.3297404944896698,0.4660377502441406
Race: Other,2,0.4634779393672943,0.5740442872047424,0.5153689384460449,0.4079137146472931,0.5410334467887878
Overall,3,0.5001809597015381,0.47732770442962646,0.4969079792499542,0.3673120439052582,0.5168711543083191
Gender: Male,3,0.5149167776107788,0.4603483974933624,0.4953320622444153,0.3650107979774475,0.5237581133842468
Gender: Female,3,0.48668068647384644,0.48802685737609863,0.49816814064979553,0.3690474331378937,0.5106796026229858
Age: <40,3,0.48970842361450195,0.4855145215988159,0.49812793731689453,0.3658125698566437,0.5144158005714417
Age: 40-50,3,0.5102599859237671,0.549941897392273,0.5053884983062744,0.3745039701461792,0.5296443104743958
Age: 50-65,3,0.5002529621124268,0.4403933882713318,0.49044927954673767,0.36395367980003357,0.5107458829879761
Race: White,3,0.5089521408081055,0.4868815541267395,0.4978206753730774,0.37316522002220154,0.5146088600158691
Race: Black,3,0.5220097303390503,0.3832123875617981,0.48968663811683655,0.3386075496673584,0.4887063801288605
Race: Other,3,0.4423540234565735,0.5290403962135315,0.5033587217330933,0.38582324981689453,0.5563725829124451
Overall,4,0.4965752065181732,0.4592403471469879,0.49496185779571533,0.3470797836780548,0.4814814627170563
Gender: Male,4,0.5142327547073364,0.44700121879577637,0.4953586161136627,0.34072136878967285,0.4832146465778351
Gender: Female,4,0.4809638559818268,0.4654994606971741,0.49448925256729126,0.35320690274238586,0.4797086715698242
Age: <40,4,0.5131258964538574,0.375,0.4843318462371826,0.35219326615333557,0.5131964683532715
Age: 40-50,4,0.46006637811660767,0.5646067261695862,0.5056779980659485,0.32473480701446533,0.4351648688316345
Age: 50-65,4,0.5075627565383911,0.49002575874328613,0.4985698461532593,0.35357925295829773,0.4807930588722229
Race: White,4,0.5090216398239136,0.5205166339874268,0.5024574398994446,0.35363098978996277,0.48457351326942444
Race: Black,4,0.48436129093170166,0.2623879313468933,0.4758709967136383,0.30768778920173645,0.43824702501296997
Race: Other,4,0.45849430561065674,0.5025641322135925,0.5004350543022156,0.3851858675479889,0.5352941155433655
Overall,5,0.49320873618125916,0.4836212396621704,0.49752211570739746,0.35414525866508484,0.48034271597862244
Gender: Male,5,0.5095062255859375,0.4790547788143158,0.49684086441993713,0.35526540875434875,0.4840041399002075
Gender: Female,5,0.4800003170967102,0.4879487156867981,0.49817124009132385,0.3530523180961609,0.4768472909927368
Age: <40,5,0.5025659203529358,0.46875,0.4963095486164093,0.33875706791877747,0.46411481499671936
Age: 40-50,5,0.4937637448310852,0.5491198897361755,0.5065363645553589,0.3627327084541321,0.4913958013057709
Age: 50-65,5,0.4821603000164032,0.4635222852230072,0.4931776225566864,0.36040544509887695,0.48561152815818787
Race: White,5,0.4901793897151947,0.5066186189651489,0.5010443925857544,0.3644593358039856,0.49357324838638306
Race: Black,5,0.5286880731582642,0.3520866930484772,0.482504278421402,0.3357372283935547,0.4814814627170563
Race: Other,5,0.46704137325286865,0.5259503126144409,0.5045349597930908,0.3405916094779968,0.4357541799545288
Overall,6,0.4800304174423218,0.46600285172462463,0.4953118562698364,0.35732921957969666,0.4967982769012451
Gender: Male,6,0.47397714853286743,0.4556947350502014,0.495225727558136,0.356126993894577,0.5083056688308716
Gender: Female,6,0.4827635586261749,0.4700010418891907,0.49503225088119507,0.3578016757965088,0.4860968291759491
Age: <40,6,0.48372167348861694,0.46517711877822876,0.4950046241283417,0.3641434609889984,0.5100775361061096
Age: 40-50,6,0.4760129451751709,0.5016483664512634,0.5001909732818604,0.3597438335418701,0.5031983256340027
