group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5042762160301208,0.24948453903198242,0.5,0.3328748345375061,0.49896907806396484
Gender: Male,0,0.5088886022567749,0.2502596080303192,0.5,0.33356401324272156,0.5005192160606384
Gender: Female,0,0.4930036962032318,0.24872057139873505,0.5,0.33219411969184875,0.4974411427974701
Age: <40,0,0.4805449843406677,0.25609755516052246,0.5,0.33870968222618103,0.5121951103210449
Age: 40-50,0,0.5115871429443359,0.23440644145011902,0.5,0.3191780745983124,0.46881285309791565
Age: 50-65,0,0.5176631212234497,0.25362318754196167,0.5,0.3365384638309479,0.5072463750839233
Race: White,0,0.5070427656173706,0.2542775571346283,0.5,0.3371140658855438,0.5085551142692566
Race: Black,0,0.4794430136680603,0.25208333134651184,0.5,0.33518004417419434,0.5041667222976685
Race: Other,0,0.5187106132507324,0.2340686321258545,0.5,0.31886476278305054,0.468137264251709
Overall,1,0.5079395771026611,0.2528292238712311,0.5,0.3358387351036072,0.5056584477424622
Gender: Male,1,0.5116584300994873,0.24630020558834076,0.5,0.33002832531929016,0.4926004111766815
Gender: Female,1,0.5048385858535767,0.25901803374290466,0.5,0.3412541151046753,0.5180360674858093
Age: <40,1,0.5093778967857361,0.2541353404521942,0.5,0.33698904514312744,0.5082706809043884
Age: 40-50,1,0.5779937505722046,0.25544795393943787,0.5,0.3381410241127014,0.5108959078788757
Age: 50-65,1,0.4807067811489105,0.2505773603916168,0.5,0.33384615182876587,0.5011547207832336
Race: White,1,0.5303806662559509,0.25204360485076904,0.5,0.33514493703842163,0.5040872097015381
Race: Black,1,0.4529578685760498,0.2594936788082123,0.5,0.34166666865348816,0.5189872980117798
Race: Other,1,0.5083445906639099,0.24661245942115784,0.5,0.3303085267543793,0.49322494864463806
Overall,2,0.4813980162143707,0.25143754482269287,0.5,0.33460870385169983,0.502875030040741
Gender: Male,2,0.4857476055622101,0.2470986396074295,0.5,0.33074432611465454,0.4941973090171814
Gender: Female,2,0.47664201259613037,0.25654152035713196,0.5,0.3390977382659912,0.5130830407142639
Age: <40,2,0.501346230506897,0.24365079402923584,0.5,0.32764139771461487,0.4873015880584717
Age: 40-50,2,0.46349430084228516,0.25626423954963684,0.5,0.33885541558265686,0.5125284790992737
Age: 50-65,2,0.4746236205101013,0.25473934412002563,0.5,0.3375196158885956,0.5094786882400513
Race: White,2,0.4990980327129364,0.24905122816562653,0.5,0.33248892426490784,0.49810245633125305
Race: Black,2,0.44047465920448303,0.2632075548171997,0.5,0.3448702096939087,0.5264151096343994
Race: Other,2,0.4884706735610962,0.24012157320976257,0.5,0.3244353234767914,0.48024317622184753
Overall,3,0.4739837348461151,0.24514314532279968,0.5,0.3289879858493805,0.49028629064559937
Gender: Male,3,0.4890826344490051,0.2516198754310608,0.5,0.3347701132297516,0.5032397508621216
Gender: Female,3,0.4547916650772095,0.23932038247585297,0.5,0.32370322942733765,0.4786407947540283
Age: <40,3,0.4541892409324646,0.2450682818889618,0.5,0.3289205729961395,0.4901365637779236
Age: 40-50,3,0.4795975685119629,0.23814229667186737,0.5,0.3226238191127777,0.47628459334373474
Age: 50-65,3,0.4892772436141968,0.2496839463710785,0.5,0.33305227756500244,0.499367892742157
Race: White,3,0.4785075783729553,0.2558906674385071,0.5,0.33852869272232056,0.5117813348770142
Race: Black,3,0.43774282932281494,0.24024640023708344,0.5,0.32454922795295715,0.48049283027648926
Race: Other,3,0.4949248731136322,0.22303920984268188,0.5,0.3084745705127716,0.44607844948768616
Overall,4,0.46218016743659973,0.2430555522441864,0.5,0.32710281014442444,0.4861111044883728
Gender: Male,4,0.4417661726474762,0.24059003591537476,0.5,0.32486262917518616,0.4811800718307495
Gender: Female,4,0.4777574837207794,0.24557752907276154,0.5,0.3293789327144623,0.49115505814552307
Age: <40,4,0.4672558307647705,0.24266862869262695,0.5,0.3267522156238556,0.4853372573852539
Age: 40-50,4,0.4034574031829834,0.2461538463830948,0.5,0.3298968970775604,0.49230772256851196
Age: 50-65,4,0.49315163493156433,0.24163569509983063,0.5,0.32581454515457153,0.48327139019966125
Race: White,4,0.47981250286102295,0.24500907957553864,0.5,0.32886722683906555,0.49001815915107727
Race: Black,4,0.39135313034057617,0.2370517998933792,0.5,0.3216216266155243,0.4741035997867584
Race: Other,4,0.5001730918884277,0.24558822810649872,0.5,0.3293885588645935,0.4911764860153198
Overall,5,0.4629304111003876,0.2489919364452362,0.5,0.33243608474731445,0.49798384308815
Gender: Male,5,0.4586109519004822,0.24097007513046265,0.5,0.3252089023590088,0.4819401800632477
Gender: Female,5,0.4691402316093445,0.25665023922920227,0.5,0.3391927182674408,0.5133004784584045
Age: <40,5,0.45690348744392395,0.2464114874601364,0.5,0.33012819290161133,0.4928229749202728
Age: 40-50,5,0.5044237971305847,0.2514340281486511,0.5,0.3346056044101715,0.5028680562973022
Age: 50-65,5,0.443427711725235,0.24940048158168793,0.5,0.3328000009059906,0.49880096316337585
