group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6890953779220581,0.6503759622573853,0.6415616273880005,0.641269326210022,0.6523178815841675
Gender: Male,0,0.684099555015564,0.6601874828338623,0.6113026738166809,0.6063616275787354,0.6689189076423645
Gender: Female,0,0.6865823268890381,0.636056125164032,0.6357805728912354,0.6358107924461365,0.6363636255264282
Age: <40,0,0.6333742141723633,0.6184440851211548,0.610702633857727,0.6062500476837158,0.6142857074737549
Age: 40-50,0,0.7932131290435791,0.7910628318786621,0.7555673122406006,0.7667508125305176,0.796875
Age: 50-65,0,0.6755852699279785,0.6101190447807312,0.6082775592803955,0.6081649661064148,0.6122449040412903
Race: White,0,0.6013133525848389,0.591532826423645,0.5855221748352051,0.5872388482093811,0.6386554837226868
Race: Black,0,0.49632352590560913,0.43913042545318604,0.4485294222831726,0.42884618043899536,0.4545454680919647
Race: Other,0,0.786592960357666,0.7346819639205933,0.7151007652282715,0.7023809552192688,0.7066667079925537
Overall,1,0.6751683950424194,0.6557823419570923,0.6439604759216309,0.6445540189743042,0.6611295342445374
Gender: Male,1,0.665744423866272,0.6595417261123657,0.6229249238967896,0.6231852769851685,0.6759776473045349
Gender: Female,1,0.6846774220466614,0.6392472982406616,0.6392472982406616,0.6392472982406616,0.6393442153930664
Age: <40,1,0.6323943138122559,0.5908054709434509,0.5841549634933472,0.5813686847686768,0.5954198241233826
Age: 40-50,1,0.6140351295471191,0.6020480394363403,0.5975033640861511,0.5993103384971619,0.6626505851745605
Age: 50-65,1,0.8015873432159424,0.7755271792411804,0.7626984119415283,0.7565622925758362,0.7586206793785095
Race: White,1,0.6217532157897949,0.6355311870574951,0.6301407217979431,0.6323884725570679,0.6846153736114502
Race: Black,1,0.484375,0.5168067216873169,0.53125,0.4700574278831482,0.5526315569877625
Race: Other,1,0.690443217754364,0.6631313562393188,0.6491228342056274,0.6501674056053162,0.6691729426383972
Overall,2,0.6554762125015259,0.6723177433013916,0.6517381072044373,0.6523797512054443,0.6757678985595703
Gender: Male,2,0.5948808193206787,0.6203599572181702,0.5944395065307617,0.5917874574661255,0.6449704170227051
Gender: Female,2,0.7475879788398743,0.7213513851165771,0.7135593295097351,0.7135502696037292,0.7177419066429138
Age: <40,2,0.6570222973823547,0.6669565439224243,0.654309868812561,0.6546084880828857,0.6690140962600708
Age: 40-50,2,0.6544444561004639,0.7135854363441467,0.6694444417953491,0.6813725233078003,0.7538461685180664
Age: 50-65,2,0.6461039185523987,0.6410098075866699,0.6239177584648132,0.6145658493041992,0.6279069781303406
Race: White,2,0.5965526103973389,0.6734694242477417,0.6281982660293579,0.6298304796218872,0.6904762387275696
Race: Black,2,0.5151515007019043,0.4166666865348816,0.4292929172515869,0.41333335638046265,0.45000001788139343
Race: Other,2,0.6923507452011108,0.7002061605453491,0.6811567544937134,0.6805737018585205,0.6938775181770325
Overall,3,0.6762048006057739,0.6057795286178589,0.5979386568069458,0.5971479415893555,0.615646243095398
Gender: Male,3,0.665859580039978,0.6336538791656494,0.608180582523346,0.609067440032959,0.662420392036438
Gender: Female,3,0.6775362491607666,0.5627413392066956,0.5623401403427124,0.5614596605300903,0.5620437860488892
Age: <40,3,0.6255707740783691,0.5508400201797485,0.5477376580238342,0.5435381531715393,0.5539568662643433
Age: 40-50,3,0.7266666889190674,0.6986433863639832,0.6708333492279053,0.6809459924697876,0.7636363506317139
Age: 50-65,3,0.6973103284835815,0.619167685508728,0.6138097047805786,0.612403154373169,0.6200000047683716
Race: White,3,0.5411230325698853,0.524416446685791,0.5225468277931213,0.5220588445663452,0.5840000510215759
Race: Black,3,0.3035714030265808,0.25,0.2857142984867096,0.2666666805744171,0.3636363744735718
Race: Other,3,0.7939213514328003,0.6947422623634338,0.6750370264053345,0.6699469685554504,0.680272102355957
Overall,4,0.6719789505004883,0.6415108442306519,0.6310975551605225,0.6305936574935913,0.6452702879905701
Gender: Male,4,0.5561755895614624,0.5350877046585083,0.5282738208770752,0.5225937366485596,0.5921052694320679
Gender: Female,4,0.7457430362701416,0.7043031454086304,0.7039473652839661,0.7013745307922363,0.7013888955116272
Age: <40,4,0.6938736438751221,0.69420325756073,0.670186460018158,0.658823549747467,0.6689655184745789
Age: 40-50,4,0.6875,0.6190476417541504,0.6124999523162842,0.6148908734321594,0.6666666865348816
Age: 50-65,4,0.6572978496551514,0.5860294103622437,0.5865384340286255,0.5862111449241638,0.593406617641449
Race: White,4,0.6080127954483032,0.5923891067504883,0.5727564096450806,0.5727280974388123,0.6525423526763916
Race: Black,4,0.34375,0.4529411792755127,0.4375,0.4231176972389221,0.46875
Race: Other,4,0.7462292909622192,0.6772420406341553,0.6732654571533203,0.6736576557159424,0.6780821681022644
Overall,5,0.6780611276626587,0.6453317403793335,0.6336041688919067,0.6336022615432739,0.6508474349975586
Gender: Male,5,0.6634999513626099,0.6331719160079956,0.6100000143051147,0.611440896987915,0.6625000238418579
Gender: Female,5,0.6906017065048218,0.6399999856948853,0.6383398771286011,0.6363186836242676,0.6370370388031006
