group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.7175846099853516,0.6586005687713623,0.6470028758049011,0.646341860294342,0.6589403748512268
Gender: Male,0,0.7620689868927002,0.7770543098449707,0.6181992292404175,0.5981900691986084,0.6959459781646729
Gender: Female,0,0.6811814308166504,0.6251526474952698,0.6210970878601074,0.6192668676376343,0.6233766078948975
Age: <40,0,0.703227162361145,0.6666666269302368,0.6531863212585449,0.6484620571136475,0.6571428775787354
Age: 40-50,0,0.9215270280838013,0.84375,0.7799575328826904,0.7971765995025635,0.828125
Age: 50-65,0,0.5844481587409973,0.547619104385376,0.5468227863311768,0.5462962985038757,0.5510203838348389
Race: White,0,0.630081295967102,0.5534709095954895,0.5534709095954895,0.5534709095954895,0.5966386795043945
Race: Black,0,0.5220588445663452,0.4248120188713074,0.4264705777168274,0.42211979627609253,0.42424243688583374
Race: Other,0,0.8211802244186401,0.7930363416671753,0.7685861587524414,0.7564935088157654,0.7599999904632568
Overall,1,0.6871126890182495,0.6341286301612854,0.587090253829956,0.5667188763618469,0.6245846748352051
Gender: Male,1,0.6998682618141174,0.7483781576156616,0.5706192255020142,0.5254507064819336,0.6648044586181641
Gender: Female,1,0.6379032135009766,0.5712056756019592,0.5674731135368347,0.5605844259262085,0.5655737519264221
Age: <40,1,0.6690140962600708,0.6441223621368408,0.5840375423431396,0.5503129959106445,0.6106870174407959
Age: 40-50,1,0.7017543911933899,0.6791208982467651,0.6099864840507507,0.614577054977417,0.7228915691375732
Age: 50-65,1,0.688359797000885,0.574404776096344,0.5595238208770752,0.5316770076751709,0.5517241358757019
Race: White,1,0.6439393758773804,0.5384615659713745,0.5281385183334351,0.5220588445663452,0.6307692527770996
Race: Black,1,0.7604166865348816,0.6034482717514038,0.640625,0.39094078540802,0.3947368562221527
Race: Other,1,0.7289935350418091,0.7287037372589111,0.6425438523292542,0.6297720074653625,0.6842105388641357
Overall,2,0.5851428508758545,0.5448318123817444,0.5349047780036926,0.5217875242233276,0.5699658393859863
Gender: Male,2,0.6022359728813171,0.5604575276374817,0.5217710733413696,0.46865472197532654,0.6094674468040466
Gender: Female,2,0.5295958518981934,0.5149934887886047,0.5149934887886047,0.5149934887886047,0.5161290168762207
Age: <40,2,0.6160337924957275,0.5563417673110962,0.5431987047195435,0.5270543098449707,0.5704225301742554
Age: 40-50,2,0.801111102104187,0.7333333492279053,0.6944444179534912,0.7067669630050659,0.7692307829856873
Age: 50-65,2,0.38257575035095215,0.39247310161590576,0.4134199023246765,0.38536307215690613,0.41860464215278625
Race: White,2,0.4793967008590698,0.3979592025279999,0.42458927631378174,0.4020339250564575,0.5
Race: Black,2,0.3333333134651184,0.3541666865348816,0.3585858643054962,0.34837090969085693,0.3499999940395355
Race: Other,2,0.7024253606796265,0.6784188151359558,0.6402052640914917,0.6311721801757812,0.6598639488220215
Overall,3,0.6956890225410461,0.6679403781890869,0.6251412034034729,0.6164110898971558,0.656462550163269
Gender: Male,3,0.6919751167297363,0.714476466178894,0.5694396495819092,0.5314508676528931,0.668789803981781
Gender: Female,3,0.6800937652587891,0.6463334560394287,0.6429027915000916,0.6404199600219727,0.6423357725143433
Age: <40,3,0.7235367298126221,0.6791208982467651,0.6353258490562439,0.6190077066421509,0.6474820375442505
Age: 40-50,3,0.8116666078567505,0.8019323348999023,0.7083333134651184,0.7335271239280701,0.8181818127632141
Age: 50-65,3,0.6105982065200806,0.5839675664901733,0.566439151763916,0.5495495796203613,0.5799999833106995
Race: White,3,0.6245037317276001,0.5707508325576782,0.5486387014389038,0.5412282943725586,0.64000004529953
Race: Black,3,0.3125,0.33760684728622437,0.3303571343421936,0.31677019596099854,0.3181818127632141
Race: Other,3,0.7955893278121948,0.7776436805725098,0.7131208181381226,0.7011157870292664,0.7210884094238281
Overall,4,0.647357702255249,0.6301572918891907,0.6055063009262085,0.5974879860877991,0.6283783912658691
Gender: Male,4,0.5498511791229248,0.6350304484367371,0.5453869104385376,0.5031760931015015,0.6513158082962036
Gender: Female,4,0.6904025077819824,0.6055072546005249,0.6056501865386963,0.6041475534439087,0.6041666865348816
Age: <40,4,0.6436453461647034,0.6215230226516724,0.6014079451560974,0.5833333730697632,0.6000000238418579
Age: 40-50,4,0.7512500286102295,0.7222222089767456,0.6875,0.6974790096282959,0.7500000596046448
