group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6928998231887817,0.6624211072921753,0.6286219954490662,0.619575023651123,0.6490066051483154
Gender: Male,0,0.7103447914123535,0.7911680936813354,0.597892701625824,0.5645696520805359,0.6824324727058411
Gender: Female,0,0.6656540632247925,0.620041012763977,0.6184810400009155,0.616089940071106,0.6168830990791321
Age: <40,0,0.6478757858276367,0.6523809432983398,0.6143790483474731,0.5930009484291077,0.6214285492897034
Age: 40-50,0,0.8557794094085693,0.8560701012611389,0.8016967177391052,0.8181818127632141,0.84375
Age: 50-65,0,0.6484113931655884,0.5584707260131836,0.5489130616188049,0.5356473922729492,0.5612244606018066
Race: White,0,0.6747967004776001,0.5973684191703796,0.5694183707237244,0.5661182999610901,0.6554622054100037
Race: Black,0,0.4742646813392639,0.4833333492279053,0.4834558963775635,0.48294931650161743,0.4848484992980957
Race: Other,0,0.7668033838272095,0.7505197525024414,0.6933499574661255,0.6647420525550842,0.6800000071525574
Overall,1,0.671845555305481,0.638520359992981,0.5853390097618103,0.5617163777351379,0.6245846748352051
Gender: Male,1,0.6762846112251282,0.7001533508300781,0.5687747001647949,0.5294548869132996,0.6592178344726562
Gender: Female,1,0.6327956914901733,0.5868902206420898,0.5766128897666931,0.5619994401931763,0.5737704634666443
Age: <40,1,0.6971831321716309,0.6344870328903198,0.5757042169570923,0.5384824275970459,0.6030534505844116
Age: 40-50,1,0.5708502531051636,0.5619429349899292,0.5468961000442505,0.5449045300483704,0.650602400302887
Age: 50-65,1,0.7423280477523804,0.7268908023834229,0.6428571343421936,0.599078357219696,0.6321839094161987
Race: White,1,0.6471861600875854,0.6008771657943726,0.5497835874557495,0.5339706540107727,0.6769230961799622
Race: Black,1,0.6041666269302368,0.5823863744735718,0.6510416269302368,0.4910714328289032,0.5263158082962036
Race: Other,1,0.6454293727874756,0.5944189429283142,0.5570175647735596,0.5295962691307068,0.6015037894248962
Overall,2,0.5742857456207275,0.5790330171585083,0.5485714077949524,0.5214061141014099,0.5938566327095032
Gender: Male,2,0.5420712232589722,0.5801281929016113,0.5239040851593018,0.46312499046325684,0.6153846383094788
Gender: Female,2,0.5775749683380127,0.5636203289031982,0.5564537048339844,0.5475675463676453,0.5645161271095276
Age: <40,2,0.6043801307678223,0.5190869569778442,0.5097448229789734,0.4590476155281067,0.5492957830429077
Age: 40-50,2,0.6899999976158142,0.675000011920929,0.675000011920929,0.675000011920929,0.7230769395828247
Age: 50-65,2,0.4675324559211731,0.620126485824585,0.5616883039474487,0.5055167078971863,0.569767415523529
Race: White,2,0.5620791912078857,0.46534091234207153,0.48357123136520386,0.43915343284606934,0.5793651342391968
Race: Black,2,0.35353535413742065,0.39393940567970276,0.39393940567970276,0.39393940567970276,0.4000000059604645
Race: Other,2,0.5893656611442566,0.6745370626449585,0.6055037379264832,0.577765941619873,0.6326530575752258
Overall,3,0.6677805185317993,0.6329254508018494,0.5899849534034729,0.5723353624343872,0.6258503198623657
Gender: Male,3,0.7026979923248291,0.7083333730697632,0.5812867879867554,0.553305447101593,0.675159215927124
Gender: Female,3,0.5995310544967651,0.5790730714797974,0.5705456137657166,0.5579436421394348,0.569343090057373
Age: <40,3,0.7042341232299805,0.6718937158584595,0.6194478869438171,0.5962294340133667,0.633093535900116
Age: 40-50,3,0.5800000429153442,0.5920542478561401,0.5791666507720947,0.5827755331993103,0.6909090876579285
Age: 50-65,3,0.6459253430366516,0.5997400879859924,0.5616218447685242,0.5251017808914185,0.5799999833106995
Race: White,3,0.602665901184082,0.47380954027175903,0.4844015836715698,0.4588744640350342,0.5920000076293945
Race: Black,3,0.3571428656578064,0.4791666865348816,0.4821428656578064,0.4761905074119568,0.5454545617103577
Race: Other,3,0.720163106918335,0.7673236131668091,0.655856192111969,0.6230571866035461,0.6666666269302368
Overall,4,0.6165003776550293,0.668730616569519,0.6208425760269165,0.6073469519615173,0.6486486792564392
Gender: Male,4,0.523809552192688,0.656862735748291,0.5669642686843872,0.5402953028678894,0.6644737124443054
Gender: Female,4,0.6410603523254395,0.6530677080154419,0.6404798626899719,0.6267423629760742,0.631944477558136
Age: <40,4,0.6335616111755371,0.6516695022583008,0.6019786596298218,0.5652398467063904,0.6000000238418579
