group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.7045633792877197,0.6337860822677612,0.6143627762794495,0.6118618249893188,0.6407216787338257
Gender: Male,0,0.7228633165359497,0.6329017281532288,0.6244055032730103,0.6223613023757935,0.632398784160614
Gender: Female,0,0.6768797636032104,0.6272763609886169,0.5941550731658936,0.5893977284431458,0.648925244808197
Age: <40,0,0.6721872687339783,0.6211308240890503,0.6172674894332886,0.6111069917678833,0.6130081415176392
Age: 40-50,0,0.7328478097915649,0.6711846590042114,0.6481647491455078,0.6446245908737183,0.6639838814735413
Age: 50-65,0,0.6826144456863403,0.5856859087944031,0.5627411007881165,0.5593529343605042,0.6473429799079895
Race: White,0,0.6903179883956909,0.621415376663208,0.6156719923019409,0.6093732714653015,0.6131178736686707
Race: Black,0,0.646733283996582,0.5899248123168945,0.5481418967247009,0.5421324968338013,0.7104166746139526
Race: Other,0,0.6833103895187378,0.6061317920684814,0.5871165990829468,0.5844008922576904,0.6299020051956177
Overall,1,0.6706899404525757,0.6184413433074951,0.6079920530319214,0.607986330986023,0.6316872239112854
Gender: Male,1,0.6931568384170532,0.6212537288665771,0.6190956234931946,0.619303822517395,0.6247357130050659
Gender: Female,1,0.6350307464599609,0.6075382828712463,0.5850637555122375,0.5824214220046997,0.6382765769958496
Age: <40,1,0.6780444979667664,0.6229554414749146,0.623314619064331,0.622389018535614,0.6225563883781433
Age: 40-50,1,0.6583716869354248,0.6260329484939575,0.6162734627723694,0.6165131330490112,0.636803925037384
Age: 50-65,1,0.6292843818664551,0.5607688426971436,0.544476330280304,0.5394760370254517,0.6362586617469788
Race: White,1,0.6713359355926514,0.6171231269836426,0.613551139831543,0.6096771955490112,0.6121707558631897
Race: Black,1,0.638045072555542,0.5987161993980408,0.5666393041610718,0.5690909028053284,0.713080108165741
Race: Other,1,0.5828660726547241,0.5416666865348816,0.5396648645401001,0.5398964881896973,0.585365891456604
Overall,2,0.6693071126937866,0.5948366522789001,0.5848714113235474,0.5840039253234863,0.6147412061691284
Gender: Male,2,0.6937041282653809,0.5977845191955566,0.5962783098220825,0.5968360900878906,0.6150870323181152
Gender: Female,2,0.6466999650001526,0.6005141735076904,0.5747358202934265,0.5634880065917969,0.6143344640731812
Age: <40,2,0.6736491918563843,0.5899686813354492,0.5871471762657166,0.5829814672470093,0.5857142806053162
Age: 40-50,2,0.681716799736023,0.6331539154052734,0.6202503442764282,0.6188174486160278,0.6378132104873657
Age: 50-65,2,0.6254563331604004,0.5431745052337646,0.5358648896217346,0.5344521999359131,0.6244075894355774
Race: White,2,0.6418768167495728,0.5831600427627563,0.5799778699874878,0.5772439241409302,0.5825427174568176
Race: Black,2,0.7081228494644165,0.5952734351158142,0.5607894659042358,0.5599454641342163,0.699999988079071
Race: Other,2,0.6011524200439453,0.5388134717941284,0.5356578826904297,0.5349680781364441,0.5805470943450928
