group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.675224781036377,0.6304219365119934,0.6001110672950745,0.5916646718978882,0.6335051655769348
Gender: Male,0,0.695074737071991,0.6324390172958374,0.6040935516357422,0.58991938829422,0.6188992857933044
Gender: Female,0,0.652976393699646,0.625307023525238,0.5947204232215881,0.5907873511314392,0.647901713848114
Age: <40,0,0.6452836990356445,0.6115288734436035,0.6018500924110413,0.5885027647018433,0.5951219201087952
Age: 40-50,0,0.7082421779632568,0.6454880237579346,0.6160892248153687,0.6063374876976013,0.6358148455619812
Age: 50-65,0,0.6551581621170044,0.6020061373710632,0.5620335340499878,0.552505612373352,0.6606280207633972
Race: White,0,0.6954240798950195,0.6312011480331421,0.6101464033126831,0.5908735990524292,0.6055132746696472
Race: Black,0,0.5843741297721863,0.5590317249298096,0.5404864549636841,0.538223385810852,0.6854166984558105
Race: Other,0,0.6518092155456543,0.6274901628494263,0.5942281484603882,0.588202953338623,0.6446078419685364
Overall,1,0.6728711128234863,0.6267499923706055,0.6058542728424072,0.6028407216072083,0.6373456716537476
Gender: Male,1,0.683373212814331,0.6225689649581909,0.6055362224578857,0.5990176200866699,0.6205074191093445
Gender: Female,1,0.6539682149887085,0.6273243427276611,0.6036195158958435,0.6034078598022461,0.6533066034317017
Age: <40,1,0.6809842586517334,0.6420984268188477,0.6363121271133423,0.6278865337371826,0.630075216293335
Age: 40-50,1,0.6471998691558838,0.5904120206832886,0.5800728797912598,0.5774949193000793,0.6053268909454346
Age: 50-65,1,0.6534827351570129,0.5907946825027466,0.5609980821609497,0.555666446685791,0.6581985950469971
Race: White,1,0.7011663913726807,0.6424787640571594,0.6249051094055176,0.6111839413642883,0.6221616864204407
Race: Black,1,0.6441799402236938,0.6133699417114258,0.5847017168998718,0.590166449546814,0.7172995209693909
Race: Other,1,0.5577609539031982,0.5296866297721863,0.5272237658500671,0.5264726877212524,0.5799458026885986
Overall,2,0.6710140705108643,0.6282084584236145,0.6017236113548279,0.597622275352478,0.641400933265686
Gender: Male,2,0.7063456773757935,0.6333457231521606,0.6085115075111389,0.6068986058235168,0.6499032974243164
Gender: Female,2,0.6286040544509888,0.622454822063446,0.5942680835723877,0.586725115776062,0.6313992738723755
Age: <40,2,0.6908468008041382,0.6441975235939026,0.6324596405029297,0.6233014464378357,0.6301587224006653
Age: 40-50,2,0.6532715559005737,0.6221727132797241,0.5952345728874207,0.5849054455757141,0.6218678951263428
Age: 50-65,2,0.6366850137710571,0.5798264145851135,0.5553398728370667,0.5515218377113342,0.6599526405334473
Race: White,2,0.6773644685745239,0.627948522567749,0.6120893955230713,0.6023814678192139,0.6166982650756836
Race: Black,2,0.6451929807662964,0.5991941690444946,0.5593859553337097,0.5570991635322571,0.7037736177444458
Race: Other,2,0.6138606071472168,0.5750752687454224,0.5590220093727112,0.5547555685043335,0.6200608015060425
Overall,3,0.6654312610626221,0.6235539317131042,0.5994889736175537,0.5984414219856262,0.6492842435836792
Gender: Male,3,0.6773074865341187,0.6317808628082275,0.6115975379943848,0.6114745736122131,0.6501079797744751
Gender: Female,3,0.6535416841506958,0.6142405271530151,0.587133526802063,0.584642231464386,0.6485437154769897
Age: <40,3,0.6890246868133545,0.6376175284385681,0.6277114152908325,0.6257327795028687,0.6373292803764343
Age: 40-50,3,0.6971418857574463,0.6569126844406128,0.6272727251052856,0.6321070194244385,0.6936759352684021
Age: 50-65,3,0.6080836057662964,0.557732343673706,0.5374314188957214,0.5252881646156311,0.6308470368385315
Race: White,3,0.675059974193573,0.6257928609848022,0.609778106212616,0.6034184694290161,0.6220546364784241
Race: Black,3,0.5950019359588623,0.5696503520011902,0.5445778369903564,0.5451867580413818,0.7330595850944519
Race: Other,3,0.6267589330673218,0.576797366142273,0.5614379048347473,0.5579322576522827,0.6200980544090271
Overall,4,0.6554656028747559,0.6226887702941895,0.59965580701828,0.595181941986084,0.6337448358535767
Gender: Male,4,0.6792364120483398,0.6239989995956421,0.6001873016357422,0.5958764553070068,0.6358087658882141
Gender: Female,4,0.6312075853347778,0.6213371157646179,0.599085807800293,0.5944470763206482,0.6316337585449219
Age: <40,4,0.6649948358535767,0.6231405138969421,0.6131905913352966,0.6096147298812866,0.6217008829116821
Age: 40-50,4,0.6857081651687622,0.6400784254074097,0.617158830165863,0.6112138032913208,0.6373626589775085
Age: 50-65,4,0.6141906976699829,0.591293454170227,0.5607460737228394,0.5516709685325623,0.6418835520744324
Race: White,4,0.690644383430481,0.6497975587844849,0.6321428418159485,0.6244218349456787,0.6379310488700867
Race: Black,4,0.581517219543457,0.5411175489425659,0.5270132422447205,0.5231949090957642,0.6992031931877136
Race: Other,4,0.5386914014816284,0.5114930272102356,0.5092949867248535,0.4909615218639374,0.5235294103622437
Overall,5,0.644189715385437,0.6146182417869568,0.5925068855285645,0.5857188701629639,0.6224797964096069
Gender: Male,5,0.6243067979812622,0.5699004530906677,0.5576143860816956,0.5479812026023865,0.5820433497428894
Gender: Female,5,0.6564998626708984,0.6592094302177429,0.6258020401000977,0.6223664283752441,0.6610837578773499
Age: <40,5,0.622672438621521,0.5978423357009888,0.5880851745605469,0.5803862810134888,0.5933014154434204
Age: 40-50,5,0.6657139658927917,0.6182183027267456,0.6009879112243652,0.5908421277999878,0.609942615032196
Age: 50-65,5,0.6275145411491394,0.6085911989212036,0.574266791343689,0.5682089328765869,0.6522781848907471
Race: White,5,0.6661426424980164,0.6264629364013672,0.6117605566978455,0.6067768931388855,0.6246786713600159
Race: Black,5,0.5724586248397827,0.5195187926292419,0.5098633766174316,0.4875205159187317,0.655773401260376
Race: Other,5,0.5935002565383911,0.584256649017334,0.5690871477127075,0.5507492423057556,0.5726256966590881
Overall,6,0.6833479404449463,0.6363903284072876,0.6092503070831299,0.6059351563453674,0.6472785472869873
Gender: Male,6,0.69231116771698,0.6207214593887329,0.6026002764701843,0.5975602865219116,0.6245847344398499
