group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.678526759147644,0.6199793815612793,0.6093793511390686,0.6088989973068237,0.6304123997688293
Gender: Male,0,0.6773489117622375,0.6230901479721069,0.614814817905426,0.6123519539833069,0.6230530142784119
Gender: Female,0,0.6790663599967957,0.6123288869857788,0.6003739833831787,0.6013182401657104,0.6376663446426392
Age: <40,0,0.6439803838729858,0.6106688976287842,0.609320342540741,0.6059529185295105,0.6065040230751038
Age: 40-50,0,0.7385135293006897,0.6685105562210083,0.6529487371444702,0.6516081094741821,0.6659959554672241
Age: 50-65,0,0.6370068788528442,0.5666656494140625,0.5562566518783569,0.5558302402496338,0.6268115639686584
Race: White,0,0.6831216812133789,0.6210269927978516,0.6171401739120483,0.6126075983047485,0.6150190234184265
Race: Black,0,0.5901485681533813,0.5621345043182373,0.5481091141700745,0.5488170981407166,0.6791666746139526
Race: Other,0,0.6596719622612,0.5880618095397949,0.5800175666809082,0.5799515247344971,0.6127451062202454
Overall,1,0.6827617883682251,0.6239310503005981,0.6176731586456299,0.6185987591743469,0.6363168358802795
Gender: Male,1,0.6920093297958374,0.6299940347671509,0.6265571117401123,0.626674234867096,0.6331923604011536
Gender: Female,1,0.6684479713439941,0.6124078035354614,0.6034371852874756,0.604999303817749,0.6392785906791687
Age: <40,1,0.6875623464584351,0.6380572319030762,0.638144850730896,0.6380952596664429,0.6390977501869202
Age: 40-50,1,0.7083812952041626,0.650540828704834,0.6374544501304626,0.6382256746292114,0.6585956811904907
Age: 50-65,1,0.6304019093513489,0.5562589168548584,0.5476408004760742,0.5470042824745178,0.6235565543174744
Race: White,1,0.7051006555557251,0.6429142355918884,0.640468955039978,0.6381962299346924,0.6394187211990356
Race: Black,1,0.6382046937942505,0.5643637776374817,0.5515872836112976,0.5532236099243164,0.6835442781448364
Race: Other,1,0.568784236907959,0.5326264500617981,0.5330380797386169,0.5327635407447815,0.5663956999778748
Overall,2,0.6768898963928223,0.6203271150588989,0.6151286363601685,0.6162624359130859,0.6356508135795593
Gender: Male,2,0.7028216123580933,0.6284211874008179,0.626443088054657,0.6272252798080444,0.6441006064414978
Gender: Female,2,0.6449211835861206,0.6118671298027039,0.6030106544494629,0.6030545830726624,0.6257110238075256
Age: <40,2,0.646723747253418,0.6173344254493713,0.61728835105896,0.6172974109649658,0.617460310459137
Age: 40-50,2,0.7057437896728516,0.6574311256408691,0.6396907567977905,0.6384093165397644,0.6583144068717957
Age: 50-65,2,0.6543474793434143,0.5720221996307373,0.5657265186309814,0.5672056078910828,0.6374408006668091
Race: White,2,0.6645876169204712,0.6155462265014648,0.6145449280738831,0.6142826080322266,0.6157495379447937
Race: Black,2,0.7058771848678589,0.6282756328582764,0.5982456207275391,0.6043533086776733,0.7132075428962708
Race: Other,2,0.598271369934082,0.5428571701049805,0.5422685146331787,0.5424745678901672,0.5744680762290955
Overall,3,0.6568849086761475,0.6119183897972107,0.6040199995040894,0.6055382490158081,0.6375255584716797
Gender: Male,3,0.673431932926178,0.6220487952232361,0.6168937087059021,0.6182492971420288,0.6403887271881104
Gender: Female,3,0.6394377946853638,0.6011200547218323,0.5907942652702332,0.5920551419258118,0.6349514722824097
Age: <40,3,0.6372696161270142,0.6119900941848755,0.611517071723938,0.6116622686386108,0.6145675182342529
Age: 40-50,3,0.7371039390563965,0.6919174194335938,0.6670454740524292,0.6739020347595215,0.7213438749313354
Age: 50-65,3,0.6014703512191772,0.5405189990997314,0.5345680117607117,0.53263258934021,0.6030341386795044
Race: White,3,0.6508085131645203,0.6126912832260132,0.6107137203216553,0.6107234358787537,0.6154571175575256
Race: Black,3,0.5962717533111572,0.5149558186531067,0.5095720887184143,0.5032039880752563,0.7084189057350159
Race: Other,3,0.6278097629547119,0.5739955306053162,0.5679738521575928,0.5684837102890015,0.6102941632270813
Overall,4,0.6513046026229858,0.6026381254196167,0.5988214612007141,0.5994666218757629,0.6162551045417786
Gender: Male,4,0.6545566320419312,0.6042194366455078,0.6030349731445312,0.6034784317016602,0.6164801716804504
Gender: Female,4,0.648324728012085,0.6018930673599243,0.594829797744751,0.5947886109352112,0.6160250306129456
Age: <40,4,0.6171702146530151,0.5873022079467773,0.5875863432884216,0.5872302055358887,0.5879765152931213
Age: 40-50,4,0.6901023387908936,0.639112114906311,0.627109169960022,0.625786542892456,0.6417582631111145
Age: 50-65,4,0.6372123956680298,0.5834986567497253,0.5755585432052612,0.5766090154647827,0.6257745027542114
Race: White,4,0.6728894710540771,0.6238064765930176,0.6228070259094238,0.622708797454834,0.6243194341659546
Race: Black,4,0.5945252180099487,0.5143684148788452,0.512530505657196,0.511982262134552,0.6573705673217773
Race: Other,4,0.5445984601974487,0.5229434967041016,0.521699845790863,0.5181406140327454,0.529411792755127
Overall,5,0.6468280553817749,0.6028238534927368,0.5955803990364075,0.5951309204101562,0.6144152879714966
Gender: Male,5,0.6338599920272827,0.578060507774353,0.5751680135726929,0.5748769044876099,0.587203323841095
Gender: Female,5,0.6592378616333008,0.6281994581222534,0.6138218641281128,0.6134446859359741,0.6403940916061401
Age: <40,5,0.6124454736709595,0.6039246916770935,0.6026310920715332,0.6022306680679321,0.6044657230377197
Age: 40-50,5,0.6984727382659912,0.6446305513381958,0.6291003227233887,0.6232103109359741,0.6367112994194031
