group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6379988193511963,0.6091603636741638,0.6058907508850098,0.6064848303794861,0.6195876598358154
Gender: Male,0,0.6551050543785095,0.6261247396469116,0.6246004104614258,0.6247453093528748,0.6282451152801514
Gender: Female,0,0.6098904609680176,0.5850895643234253,0.5803995132446289,0.5811635255813599,0.6110542416572571
Age: <40,0,0.6073600649833679,0.5597612857818604,0.5598576068878174,0.5592750310897827,0.5593495965003967
Age: 40-50,0,0.6604022979736328,0.6561832427978516,0.6481403112411499,0.6481342315673828,0.6579476594924927
Age: 50-65,0,0.6200058460235596,0.5976788997650146,0.5939807891845703,0.5953618288040161,0.6413043141365051
Race: White,0,0.6516280174255371,0.6217001676559448,0.6208323240280151,0.6193742752075195,0.6197718381881714
Race: Black,0,0.5464468002319336,0.5455958247184753,0.5423566102981567,0.5433127880096436,0.6500000357627869
Race: Other,0,0.6178790330886841,0.5635547041893005,0.5627144575119019,0.5630040168762207,0.5833333730697632
Overall,1,0.6743345856666565,0.6277306079864502,0.6279819011688232,0.6278499364852905,0.6368312835693359
Gender: Male,1,0.6808710098266602,0.6434166431427002,0.6433656811714172,0.643390417098999,0.6458773612976074
Gender: Female,1,0.6642448902130127,0.6083943843841553,0.609112024307251,0.6087205410003662,0.6282564997673035
Age: <40,1,0.6755675077438354,0.6059327721595764,0.6028590202331543,0.602043867111206,0.6075187921524048
Age: 40-50,1,0.6612725257873535,0.6210924386978149,0.6209124326705933,0.6209986209869385,0.629539966583252
Age: 50-65,1,0.6358523368835449,0.6152012944221497,0.6077573299407959,0.610265851020813,0.6628175377845764
Race: White,1,0.6933506727218628,0.6471764445304871,0.6470073461532593,0.6466428637504578,0.6466848254203796
Race: Black,1,0.6124794483184814,0.5657373666763306,0.5650656819343567,0.5653868317604065,0.6624472141265869
Race: Other,1,0.6037976741790771,0.5639520883560181,0.5689276456832886,0.5604643225669861,0.574525773525238
Overall,2,0.6745057106018066,0.6323572397232056,0.6329470872879028,0.6326258778572083,0.6434918642044067
Gender: Male,2,0.6954388618469238,0.6485587358474731,0.6519362926483154,0.6494635939598083,0.6586073637008667
Gender: Female,2,0.6501035690307617,0.6141253709793091,0.6118674278259277,0.6125507354736328,0.6257110238075256
Age: <40,2,0.682772159576416,0.626903772354126,0.6269153356552124,0.6269079446792603,0.6269841194152832
Age: 40-50,2,0.6435514688491821,0.6319429874420166,0.6304439306259155,0.6309188604354858,0.6378132104873657
Age: 50-65,2,0.6588402986526489,0.615485429763794,0.6200251579284668,0.6172407865524292,0.658767819404602
Race: White,2,0.6762979626655579,0.6371012330055237,0.6366269588470459,0.6355423927307129,0.6356736421585083
Race: Black,2,0.6559298038482666,0.5830113291740417,0.57122802734375,0.574065089225769,0.6773585081100464
Race: Other,2,0.5939300656318665,0.5851272940635681,0.5836490392684937,0.5842363238334656,0.6139817833900452
Overall,3,0.6264214515686035,0.5885939598083496,0.5892592668533325,0.5888839364051819,0.6083844304084778
Gender: Male,3,0.6324032545089722,0.6048921942710876,0.6060246229171753,0.6053317785263062,0.6187905073165894
Gender: Female,3,0.6201203465461731,0.5727414488792419,0.5729652643203735,0.5728480219841003,0.5990291237831116
Age: <40,3,0.6215708255767822,0.5926258563995361,0.5931046009063721,0.592421293258667,0.5933232307434082
Age: 40-50,3,0.6262224912643433,0.5932357907295227,0.5967803001403809,0.5943322777748108,0.6245059370994568
Age: 50-65,3,0.6156817674636841,0.5660842061042786,0.5639334321022034,0.5646638870239258,0.6106194853782654
Race: White,3,0.635084867477417,0.601155161857605,0.6016609072685242,0.600752055644989,0.6013194918632507
Race: Black,3,0.5248706340789795,0.49168717861175537,0.4919014871120453,0.49174797534942627,0.6468172669410706
Race: Other,3,0.5933871269226074,0.5451690554618835,0.54313725233078,0.5433284044265747,0.5808823704719543
Overall,4,0.6580632925033569,0.6369869709014893,0.6378154754638672,0.6373376846313477,0.6455761194229126
Gender: Male,4,0.6352742910385132,0.6255637407302856,0.6277508735656738,0.6260131597518921,0.6327568888664246
Gender: Female,4,0.6850441694259644,0.6495805978775024,0.6482980251312256,0.6488324403762817,0.6586889028549194
