group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.703655481338501,0.6587499976158142,0.6681443452835083,0.6613215208053589,0.6830000281333923
Gender: Male,0,0.7372428178787231,0.6935609579086304,0.70462965965271,0.696500301361084,0.7123016119003296
Gender: Female,0,0.6707679033279419,0.6221439838409424,0.6295069456100464,0.6241298317909241,0.6532257795333862
Age: <40,0,0.6782774925231934,0.6258640289306641,0.6303232908248901,0.6023212671279907,0.602996289730072
Age: 40-50,0,0.7806062698364258,0.7279887199401855,0.741397500038147,0.7321603298187256,0.7481752038002014
Age: 50-65,0,0.6714563369750977,0.6433869004249573,0.6347249150276184,0.6380126476287842,0.6906318068504333
Race: White,0,0.6868526935577393,0.6627289056777954,0.6652432084083557,0.6622629165649414,0.6641650795936584
Race: Black,0,0.696521520614624,0.6200556755065918,0.6186636090278625,0.6193439960479736,0.7383512258529663
Race: Other,0,0.6934388875961304,0.6217048168182373,0.6481900215148926,0.6192553043365479,0.6542552709579468
Overall,1,0.7009865045547485,0.6349937319755554,0.6396749019622803,0.6366778612136841,0.6620000600814819
Gender: Male,1,0.6858546733856201,0.6264282464981079,0.6306871175765991,0.6278460025787354,0.6500993967056274
Gender: Female,1,0.7161589860916138,0.6435724496841431,0.6486563682556152,0.6455127000808716,0.6740442514419556
Age: <40,1,0.6994247436523438,0.6518608331680298,0.6535534858703613,0.6434897780418396,0.6436781287193298
Age: 40-50,1,0.7117940187454224,0.6480908989906311,0.6503322124481201,0.6489653587341309,0.6619718670845032
Age: 50-65,1,0.680803656578064,0.6047002673149109,0.6027393341064453,0.603644847869873,0.6711026430130005
Race: White,1,0.6812782287597656,0.6161878108978271,0.6186835765838623,0.6165052652359009,0.6236363649368286
Race: Black,1,0.6841264963150024,0.6411466002464294,0.6242414712905884,0.6308161616325378,0.75
Race: Other,1,0.7051742076873779,0.6353374719619751,0.6481813192367554,0.6344671249389648,0.6505376100540161
Overall,2,0.7123397588729858,0.6463942527770996,0.6513811349868774,0.648219645023346,0.6720000505447388
Gender: Male,2,0.7160099744796753,0.6402738690376282,0.6522963047027588,0.6433267593383789,0.6756756901741028
Gender: Female,2,0.7123287916183472,0.6521385312080383,0.6515681743621826,0.6518410444259644,0.6680498123168945
Age: <40,2,0.7354602813720703,0.6650294065475464,0.6647003889083862,0.6531318426132202,0.6531365513801575
Age: 40-50,2,0.750921368598938,0.677021861076355,0.6726044416427612,0.6744574308395386,0.6991525292396545
Age: 50-65,2,0.674984335899353,0.6075108051300049,0.6070996522903442,0.6073018312454224,0.6693711876869202
Race: White,2,0.7086730003356934,0.6552968621253967,0.6576236486434937,0.6558039784431458,0.6605504751205444
Race: Black,2,0.6936582922935486,0.6048791408538818,0.6004542112350464,0.6024980545043945,0.7481203079223633
Race: Other,2,0.6498792171478271,0.5851809978485107,0.5909420251846313,0.5836038589477539,0.5978835821151733
Overall,3,0.7011224031448364,0.651355504989624,0.6551291346549988,0.6526833772659302,0.6680000424385071
