group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6142184734344482,0.5740008354187012,0.5726621150970459,0.5729175806045532,0.5850515961647034
Gender: Male,0,0.6093610525131226,0.5693209767341614,0.568693995475769,0.5686497092247009,0.5721703171730042
Gender: Female,0,0.609894871711731,0.5734432339668274,0.5713493824005127,0.5719159841537476,0.5977482199668884
Age: <40,0,0.5565091967582703,0.5557882785797119,0.5558840036392212,0.5557169914245605,0.5560975670814514
Age: 40-50,0,0.6547856330871582,0.5942639708518982,0.5909610390663147,0.5905197262763977,0.5995975732803345
Age: 50-65,0,0.6023779511451721,0.5503067970275879,0.5491615533828735,0.5495758056640625,0.5978260636329651
Race: White,0,0.6364868879318237,0.5887761116027832,0.5871580839157104,0.5841987729072571,0.5855513215065002
Race: Black,0,0.5048667192459106,0.4945114850997925,0.49362409114837646,0.4897304177284241,0.5583333373069763
Race: Other,0,0.6409164667129517,0.5963544249534607,0.5943783521652222,0.5950512886047363,0.6151961088180542
Overall,1,0.6232796907424927,0.5973345637321472,0.5969287753105164,0.5971078872680664,0.6080246567726135
Gender: Male,1,0.6174755096435547,0.5904092788696289,0.5905008316040039,0.5904490351676941,0.5930232405662537
Gender: Female,1,0.6179805994033813,0.5989396572113037,0.59739750623703,0.5980187654495239,0.6222444772720337
Age: <40,1,0.6603970527648926,0.6316148042678833,0.6304326057434082,0.6305555701255798,0.6330826878547668
Age: 40-50,1,0.6108313798904419,0.5775527358055115,0.5747267007827759,0.574846625328064,0.5907990336418152
Age: 50-65,1,0.562270998954773,0.5446306467056274,0.543765127658844,0.5440943241119385,0.5969976782798767
Race: White,1,0.6462416648864746,0.6146491765975952,0.6131023168563843,0.6111648082733154,0.6121707558631897
Race: Black,1,0.5861840844154358,0.556897759437561,0.5667077302932739,0.5562628507614136,0.6202531456947327
Race: Other,1,0.565438985824585,0.5571337938308716,0.5600388646125793,0.5569884777069092,0.5799458026885986
Overall,2,0.6089552640914917,0.575861930847168,0.5767558217048645,0.5761194229125977,0.5870360732078552
Gender: Male,2,0.6147738695144653,0.5721783638000488,0.574593186378479,0.571332573890686,0.5793036818504333
Gender: Female,2,0.60172039270401,0.582761287689209,0.580791711807251,0.5811954736709595,0.5961319208145142
Age: <40,2,0.6103830337524414,0.585606575012207,0.585131049156189,0.5848345756530762,0.5857142806053162
