group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6491328477859497,0.6313515901565552,0.605211615562439,0.5992692708969116,0.6360824704170227
Gender: Male,0,0.6565432548522949,0.6302584409713745,0.6076803207397461,0.5971925258636475,0.6209761500358582
Gender: Female,0,0.6437766551971436,0.628808319568634,0.6005213856697083,0.5982250571250916,0.6509723663330078
Age: <40,0,0.6315828561782837,0.6295527219772339,0.6206847429275513,0.6098645329475403,0.6146341562271118
Age: 40-50,0,0.6647127866744995,0.637832522392273,0.6201303005218506,0.6155897378921509,0.6358148455619812
Age: 50-65,0,0.6217246055603027,0.5867831707000732,0.5530871152877808,0.5420740842819214,0.6521738767623901
Race: White,0,0.6651345491409302,0.6282821297645569,0.6090434193611145,0.5909369587898254,0.6045627593994141
Race: Black,0,0.5932544469833374,0.5753694772720337,0.5543209314346313,0.5550099015235901,0.6916667222976685
Race: Other,0,0.6243395805358887,0.6335361003875732,0.6126706004142761,0.6126340627670288,0.6519607901573181
Overall,1,0.6583911180496216,0.6257323622703552,0.6062462329864502,0.6037111282348633,0.6368312835693359
Gender: Male,1,0.6694358587265015,0.6247780323028564,0.6078404188156128,0.6016616821289062,0.6226215362548828
Gender: Female,1,0.647669792175293,0.6234058141708374,0.6026397943496704,0.6028388142585754,0.6503006219863892
Age: <40,1,0.6710944175720215,0.6519492864608765,0.6475402116775513,0.6407396793365479,0.6421052813529968
Age: 40-50,1,0.6268219947814941,0.571229875087738,0.5638425350189209,0.5610777735710144,0.5883777737617493
Age: 50-65,1,0.6278679370880127,0.5865262746810913,0.5575616359710693,0.5513671040534973,0.6558891534805298
Race: White,1,0.684283971786499,0.6456507444381714,0.629321277141571,0.6169137954711914,0.6267030239105225
Race: Black,1,0.6392993927001953,0.5916666388511658,0.5684865713119507,0.5718157291412354,0.7046413421630859
Race: Other,1,0.5634318590164185,0.5311661958694458,0.5288645029067993,0.5283936858177185,0.5799458026885986
Overall,2,0.6643095016479492,0.6320335865020752,0.6095073223114014,0.6076246500015259,0.6455828547477722
Gender: Male,2,0.7064740657806396,0.647394061088562,0.6264936327934265,0.6274611949920654,0.6624758243560791
Gender: Female,2,0.6136356592178345,0.6138167381286621,0.5904635190963745,0.5841114521026611,0.6257110238075256
Age: <40,2,0.6750806570053101,0.6493829488754272,0.6443548202514648,0.6403114795684814,0.6428571343421936
Age: 40-50,2,0.6203029751777649,0.5885831117630005,0.5717126131057739,0.5618540048599243,0.5968109369277954
Age: 50-65,2,0.6462039947509766,0.6007528305053711,0.5688117146492004,0.566706120967865,0.6729857921600342
Race: White,2,0.6796813011169434,0.6352293491363525,0.6198866367340088,0.6113930940628052,0.6242884397506714
Race: Black,2,0.6770000457763672,0.6181259155273438,0.5835087895393372,0.5876861810684204,0.7094339728355408
Race: Other,2,0.5351251363754272,0.5681965351104736,0.5582919120788574,0.5567904114723206,0.6109422445297241
Overall,3,0.6433157324790955,0.6234776973724365,0.6007064580917358,0.6000953912734985,0.6492842435836792
Gender: Male,3,0.6554770469665527,0.6435406804084778,0.6223865151405334,0.6231176257133484,0.6598271727561951
Gender: Female,3,0.6297831535339355,0.6023469567298889,0.5796270370483398,0.5769580602645874,0.6398058533668518
Age: <40,3,0.6543021202087402,0.6327452063560486,0.6264749765396118,0.6256749629974365,0.6342943906784058
Age: 40-50,3,0.6750344038009644,0.6386252045631409,0.6166666746139526,0.620563268661499,0.679841935634613
Age: 50-65,3,0.5909526348114014,0.5740473866462708,0.5444878339767456,0.5303964018821716,0.6422250270843506
Race: White,3,0.6513012647628784,0.6329972743988037,0.6166096329689026,0.6108386516571045,0.6286522150039673
Race: Black,3,0.6284263134002686,0.5562026500701904,0.5397738218307495,0.5405150651931763,0.7207392454147339
Race: Other,3,0.5859540700912476,0.5731931328773499,0.558169960975647,0.5541233420372009,0.6176470518112183
Overall,4,0.6359652876853943,0.6100203990936279,0.5907254219055176,0.5862465500831604,0.623971164226532
Gender: Male,4,0.6413825750350952,0.5880995392799377,0.5750606656074524,0.5712875127792358,0.6073245406150818
Gender: Female,4,0.6300714015960693,0.6344292163848877,0.606863260269165,0.6016601920127869,0.6409990191459656
Age: <40,4,0.6541695594787598,0.6179661750793457,0.6120597124099731,0.6103918552398682,0.6187683343887329
Age: 40-50,4,0.648054838180542,0.6183449029922485,0.5998457074165344,0.5933491587638855,0.6197802424430847
Age: 50-65,4,0.5933102965354919,0.5714083909988403,0.5453351736068726,0.5317713022232056,0.6307311058044434
Race: White,4,0.6677911877632141,0.6333914995193481,0.616478681564331,0.6074221730232239,0.6225045323371887
Race: Black,4,0.6096127033233643,0.5696431398391724,0.5523819327354431,0.5544200539588928,0.7051793336868286
Race: Other,4,0.5084958076477051,0.4950980544090271,0.4958650469779968,0.4807926118373871,0.5088235139846802
Overall,5,0.6344925165176392,0.6090502738952637,0.5912685990333557,0.5862210392951965,0.6189516186714172
Gender: Male,5,0.6321021914482117,0.5938805341720581,0.5826869606971741,0.5785228610038757,0.6026831865310669
Gender: Female,5,0.6368277072906494,0.624754786491394,0.5983344912528992,0.5924396514892578,0.6344828009605408
Age: <40,5,0.6004868745803833,0.6030333042144775,0.5951136946678162,0.5896564722061157,0.59968101978302
Age: 40-50,5,0.642291784286499,0.6075394749641418,0.596795916557312,0.590406060218811,0.6042065024375916
Age: 50-65,5,0.6330665349960327,0.5937902331352234,0.5653164386749268,0.5586047768592834,0.6426858901977539
Race: White,5,0.6574399471282959,0.6235871315002441,0.6124446392059326,0.6091639399528503,0.6238217353820801
Race: Black,5,0.5815495252609253,0.5622581839561462,0.5324227809906006,0.5170454978942871,0.6732025742530823
Race: Other,5,0.557879626750946,0.5354524850845337,0.5303446650505066,0.5144205093383789,0.5335195660591125
Overall,6,0.6587437391281128,0.6197080612182617,0.5993833541870117,0.5966331362724304,0.6350052952766418
Gender: Male,6,0.6594462394714355,0.6000022888183594,0.588241457939148,0.5844141244888306,0.6079734563827515
Gender: Female,6,0.6511075496673584,0.6375784277915955,0.6062644124031067,0.6049302816390991,0.6601442098617554
Age: <40,6,0.6142937541007996,0.6055557727813721,0.5999767780303955,0.5986666679382324,0.6093023419380188
Age: 40-50,6,0.722832441329956,0.6531077027320862,0.6312399506568909,0.6236386299133301,0.641791045665741
Age: 50-65,6,0.6314561367034912,0.5809212923049927,0.5526103973388672,0.5447242856025696,0.6526315808296204
Race: White,6,0.6478102207183838,0.6015913486480713,0.590975284576416,0.5800997018814087,0.5911379456520081
Race: Black,6,0.6585811972618103,0.5622294545173645,0.5464396476745605,0.5496243238449097,0.7510287761688232
Race: Other,6,0.6143012046813965,0.6027477979660034,0.5878733992576599,0.57973313331604,0.6025316715240479
Overall,7,0.6511917114257812,0.625995934009552,0.6032180786132812,0.6026307940483093,0.6498231291770935
Gender: Male,7,0.6375820636749268,0.5996854901313782,0.5855975151062012,0.580824077129364,0.6093394160270691
Gender: Female,7,0.6645605564117432,0.6451269388198853,0.614269495010376,0.6173256635665894,0.6821072101593018
Age: <40,7,0.6696624159812927,0.6510684490203857,0.6418712139129639,0.6424354910850525,0.6563379764556885
Age: 40-50,7,0.6250048875808716,0.5970010757446289,0.577616810798645,0.5684698820114136,0.6061269044876099
Age: 50-65,7,0.6299170255661011,0.5916500091552734,0.561302661895752,0.557564914226532,0.6687191724777222
Race: White,7,0.6512606143951416,0.6161143183708191,0.6020073890686035,0.5945884585380554,0.6114285588264465
Race: Black,7,0.6944949626922607,0.6548424959182739,0.606224000453949,0.6160301566123962,0.7485265731811523
Race: Other,7,0.554858922958374,0.5656471848487854,0.5547962188720703,0.5539742708206177,0.6261904835700989
Overall,8,0.651495099067688,0.6271408796310425,0.6143430471420288,0.615237295627594,0.6447035074234009
Gender: Male,8,0.6499811410903931,0.6193442344665527,0.6134756207466125,0.6146876215934753,0.6361808776855469
Gender: Female,8,0.650776207447052,0.6378728151321411,0.6149705648422241,0.6143797636032104,0.653374195098877
Age: <40,8,0.6495722532272339,0.6526075005531311,0.6460055112838745,0.6439573764801025,0.6491477489471436
Age: 40-50,8,0.6996411085128784,0.6483133435249329,0.6436768770217896,0.6449096202850342,0.6581395268440247
Age: 50-65,8,0.6092411279678345,0.556567370891571,0.5437934398651123,0.5408983826637268,0.6340882182121277
Race: White,8,0.6396582722663879,0.6102638244628906,0.6054176092147827,0.6027700901031494,0.6086564660072327
Race: Black,8,0.6445020437240601,0.6430618762969971,0.6050108671188354,0.6151443123817444,0.7594432830810547
Race: Other,8,0.5850907564163208,0.5692771077156067,0.5615482330322266,0.5597266554832458,0.5955678224563599
Overall,9,0.6283766627311707,0.6002020239830017,0.5833624601364136,0.578082263469696,0.613636314868927
Gender: Male,9,0.6514827013015747,0.6123312711715698,0.5999113917350769,0.5985729694366455,0.625
Gender: Female,9,0.604629635810852,0.589073121547699,0.5687999725341797,0.5581853985786438,0.603515625
Age: <40,9,0.6268273591995239,0.5906996130943298,0.5841704607009888,0.5790151357650757,0.5888717174530029
Age: 40-50,9,0.6543618440628052,0.6453304290771484,0.620215654373169,0.6143689155578613,0.6421470642089844
Age: 50-65,9,0.5970409512519836,0.5589572191238403,0.5430471897125244,0.5347580909729004,0.6157760620117188
Race: White,9,0.642220139503479,0.6121312379837036,0.6016165614128113,0.5929210186004639,0.6030828356742859
Race: Black,9,0.623866081237793,0.5499043464660645,0.533664345741272,0.5298030376434326,0.6804733872413635
Race: Other,9,0.539260983467102,0.5338994264602661,0.5276980400085449,0.5159789323806763,0.5549871921539307
Overall,10,0.6476056575775146,0.6267351508140564,0.6046690940856934,0.5992847084999084,0.631168782711029
Gender: Male,10,0.628280758857727,0.6037230491638184,0.5904321074485779,0.5874608159065247,0.6158730387687683
Gender: Female,10,0.6659358739852905,0.6531117558479309,0.6189595460891724,0.6106368899345398,0.6459183096885681
Age: <40,10,0.6486561298370361,0.6462092399597168,0.6367421746253967,0.6326680183410645,0.6399394869804382
Age: 40-50,10,0.6294642686843872,0.5916682481765747,0.5806838274002075,0.562353253364563,0.5723404288291931
Age: 50-65,10,0.6353903412818909,0.5945691466331482,0.5633528232574463,0.5579782128334045,0.6586901545524597
Race: White,10,0.6618379354476929,0.6193796992301941,0.6067173480987549,0.5927544832229614,0.6017357707023621
Race: Black,10,0.6353133916854858,0.6111111044883728,0.5874669551849365,0.5934343338012695,0.7233201861381531
Race: Other,10,0.5916080474853516,0.588233232498169,0.5704209804534912,0.5567823052406311,0.5890052318572998
Overall,11,0.6593732833862305,0.6443254351615906,0.6277629733085632,0.6282334923744202,0.6553671956062317
Gender: Male,11,0.6758725643157959,0.6574769020080566,0.6483601331710815,0.6503282189369202,0.6696969866752625
Gender: Female,11,0.640749454498291,0.6319444179534912,0.6073559522628784,0.6033638715744019,0.6405433416366577
Age: <40,11,0.6574599742889404,0.644739031791687,0.6434829831123352,0.6418355703353882,0.642313539981842
Age: 40-50,11,0.6941865682601929,0.6846405267715454,0.6665157675743103,0.6670001745223999,0.6840958595275879
Age: 50-65,11,0.6019207835197449,0.5713533759117126,0.5502875447273254,0.5455833673477173,0.6498194932937622
Race: White,11,0.6698828935623169,0.646344780921936,0.6350867748260498,0.6333063840866089,0.6456620693206787
Race: Black,11,0.6734199523925781,0.6890922784805298,0.6396510004997253,0.6494954824447632,0.7351851463317871
Race: Other,11,0.5663621425628662,0.5404040813446045,0.5378737449645996,0.5352202653884888,0.5512820482254028
Overall,12,0.6337640285491943,0.6202232241630554,0.5989058017730713,0.5912085771560669,0.6209514141082764
Gender: Male,12,0.6156445145606995,0.5978084802627563,0.5836161971092224,0.5765536427497864,0.6017786860466003
Gender: Female,12,0.6537160277366638,0.6459254026412964,0.6145890951156616,0.6064378023147583,0.6410788893699646
Age: <40,12,0.6304134130477905,0.636505126953125,0.6282801032066345,0.6218905448913574,0.6271929740905762
Age: 40-50,12,0.681077778339386,0.6595487594604492,0.6303714513778687,0.6099792122840881,0.6263048052787781
Age: 50-65,12,0.5923799276351929,0.5460792183876038,0.5324822664260864,0.5219013094902039,0.6125460863113403
Race: White,12,0.6110166311264038,0.5883657932281494,0.5804477334022522,0.5684889554977417,0.5766758322715759
Race: Black,12,0.6697626113891602,0.6529275178909302,0.6009631752967834,0.6063397526741028,0.7198443412780762
Race: Other,12,0.5999073386192322,0.6232109069824219,0.5942041873931885,0.5793232917785645,0.6139410138130188
Overall,13,0.6462008953094482,0.6329571008682251,0.6073916554450989,0.5985831022262573,0.6286445260047913
Gender: Male,13,0.6191796064376831,0.6106456518173218,0.5937070846557617,0.5816166400909424,0.6010256409645081
Gender: Female,13,0.6752573251724243,0.6546239852905273,0.6187382340431213,0.6136293411254883,0.6561224460601807
Age: <40,13,0.6408607959747314,0.637691855430603,0.6306846141815186,0.624603807926178,0.6287051439285278
Age: 40-50,13,0.6583819389343262,0.6254948377609253,0.6103836297988892,0.5977961421012878,0.6095890402793884
Age: 50-65,13,0.6230251789093018,0.6058962345123291,0.5633658766746521,0.5469411611557007,0.6381278038024902
Race: White,13,0.6450257301330566,0.6186990737915039,0.6077686548233032,0.584020733833313,0.5886256098747253
Race: Black,13,0.6336575746536255,0.5854508280754089,0.5643970370292664,0.5685209035873413,0.7242798209190369
Race: Other,13,0.6095091104507446,0.6128679513931274,0.5859503149986267,0.5751695036888123,0.6183574795722961
Overall,14,0.6377720832824707,0.6110950112342834,0.5905827283859253,0.5865491628646851,0.6281859278678894
Gender: Male,14,0.6396797895431519,0.6052349805831909,0.5850691795349121,0.5792170763015747,0.6197637319564819
Gender: Female,14,0.6379753351211548,0.616209864616394,0.59550940990448,0.5929511189460754,0.6355140209197998
Age: <40,14,0.6261169910430908,0.6199831366539001,0.613154947757721,0.6037998199462891,0.6077265739440918
Age: 40-50,14,0.6403540968894958,0.594468355178833,0.5749287605285645,0.5694952011108398,0.6194690465927124
Age: 50-65,14,0.6182923316955566,0.5733731985092163,0.5519605278968811,0.5472868084907532,0.6484017968177795
Race: White,14,0.678999662399292,0.64396733045578,0.6222500801086426,0.6141781806945801,0.6342957019805908
Race: Black,14,0.6043341159820557,0.5569282174110413,0.5456900596618652,0.5471622347831726,0.6901710033416748
Race: Other,14,0.5293065309524536,0.5105397701263428,0.5085716843605042,0.49498850107192993,0.535897433757782
Overall,15,0.6260645389556885,0.6150553822517395,0.5941896438598633,0.5885703563690186,0.6242804527282715
Gender: Male,15,0.632096529006958,0.6060705184936523,0.5912576913833618,0.5879026055335999,0.6183465123176575
Gender: Female,15,0.6200559139251709,0.6242265701293945,0.5967910289764404,0.5887805819511414,0.6293774247169495
Age: <40,15,0.630028247833252,0.6254376769065857,0.620628297328949,0.6174466013908386,0.6214405298233032
Age: 40-50,15,0.6541852951049805,0.6624735593795776,0.6319993138313293,0.6225329041481018,0.6470587849617004
Age: 50-65,15,0.5874438285827637,0.5452011227607727,0.5299352407455444,0.5158716440200806,0.6140350699424744
Race: White,15,0.636796236038208,0.6028918623924255,0.5914257764816284,0.5760952830314636,0.5857700109481812
Race: Black,15,0.6135705709457397,0.5903902053833008,0.5658942461013794,0.5707454681396484,0.7372881174087524
Race: Other,15,0.5653934478759766,0.5788135528564453,0.5653338432312012,0.5570497512817383,0.5907990336418152
Overall,16,0.6782968044281006,0.6489452719688416,0.6271801590919495,0.62334144115448,0.6474291086196899
