group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5907477140426636,0.5637580752372742,0.554764986038208,0.5514485836029053,0.5940000414848328
Gender: Male,0,0.5614403486251831,0.5300791263580322,0.5289511680603027,0.528720498085022,0.5560166239738464
Gender: Female,0,0.6168687343597412,0.6092674732208252,0.5793809294700623,0.5703102350234985,0.6293436288833618
Age: <40,0,0.6097550988197327,0.5875046253204346,0.5781558156013489,0.5726233124732971,0.5910543203353882
Age: 40-50,0,0.6441134810447693,0.6399000883102417,0.6064533591270447,0.5979220867156982,0.6395348906517029
Age: 50-65,0,0.535650372505188,0.5007970929145813,0.5007261037826538,0.49908798933029175,0.5687645673751831
Race: White,0,0.5968342423439026,0.5606831312179565,0.5562928915023804,0.5531641244888306,0.5690298080444336
Race: Black,0,0.5806220173835754,0.4840482175350189,0.48923444747924805,0.4788346588611603,0.66015625
Race: Other,0,0.5291416645050049,0.5639640092849731,0.5532233715057373,0.5438596606254578,0.5769230723381042
Overall,1,0.5807408094406128,0.5583062171936035,0.5479491949081421,0.5398632884025574,0.581000030040741
Gender: Male,1,0.5619953870773315,0.5518191456794739,0.5487645864486694,0.5480315089225769,0.5723404288291931
Gender: Female,1,0.6043918132781982,0.5725606679916382,0.5493348836898804,0.5280228853225708,0.5886792540550232
Age: <40,1,0.5928934216499329,0.5859851837158203,0.5796715021133423,0.5757781267166138,0.5880597233772278
Age: 40-50,1,0.6359586715698242,0.5888888835906982,0.5678732991218567,0.5554183125495911,0.6000000238418579
Age: 50-65,1,0.532178521156311,0.5001728534698486,0.5001291036605835,0.48634278774261475,0.5647058486938477
Race: White,1,0.6018956303596497,0.5685251951217651,0.560302197933197,0.5499743819236755,0.5666666626930237
Race: Black,1,0.6143250465393066,0.5488038063049316,0.5429292917251587,0.5443377494812012,0.6780303120613098
Race: Other,1,0.46058523654937744,0.4823647141456604,0.48713943362236023,0.4511649012565613,0.4897959232330322
Overall,2,0.586222767829895,0.5483995676040649,0.5396778583526611,0.5297218561172485,0.5690000057220459
Gender: Male,2,0.5911586284637451,0.5385690927505493,0.5369910001754761,0.5365782976150513,0.5583333373069763
Gender: Female,2,0.5867865085601807,0.5749835968017578,0.5478084683418274,0.5178151726722717,0.5788461565971375
Age: <40,2,0.6244454383850098,0.5797619223594666,0.5675494074821472,0.5506595373153687,0.5681159496307373
Age: 40-50,2,0.6152316331863403,0.5885122418403625,0.5701193809509277,0.5613275766372681,0.6041666865348816
Age: 50-65,2,0.5230261087417603,0.4922504425048828,0.4935600757598877,0.4857497215270996,0.5493975877761841
Race: White,2,0.6059027910232544,0.5593324303627014,0.5521329045295715,0.5394324064254761,0.5545774698257446
Race: Black,2,0.5501326322555542,0.49778270721435547,0.4984084963798523,0.4908703565597534,0.6485355496406555
Race: Other,2,0.5058555603027344,0.48840969800949097,0.4906744658946991,0.4732288122177124,0.5129533410072327
Overall,3,0.5910131931304932,0.5511668920516968,0.5411701202392578,0.5304591655731201,0.5730000138282776
Gender: Male,3,0.5899854898452759,0.5421159863471985,0.5374093055725098,0.5318938493728638,0.5581395030021667
Gender: Female,3,0.5921095609664917,0.5600688457489014,0.5426093339920044,0.5252801179885864,0.5863377451896667
Age: <40,3,0.5966439247131348,0.5812252759933472,0.573655903339386,0.5571434497833252,0.5641025900840759
Age: 40-50,3,0.5845674276351929,0.550000011920929,0.5400242805480957,0.5291802287101746,0.5732758641242981
Age: 50-65,3,0.5575141906738281,0.4851619601249695,0.4891636371612549,0.4761043190956116,0.5803357362747192
Race: White,3,0.5978304147720337,0.5733628869056702,0.5638667345046997,0.548492431640625,0.5625
Race: Black,3,0.6315906047821045,0.49386072158813477,0.4955018162727356,0.4883134961128235,0.6450381875038147
Race: Other,3,0.5015659332275391,0.4741935729980469,0.47973471879959106,0.46101516485214233,0.5095238089561462
Overall,4,0.5983660221099854,0.5761908292770386,0.564265251159668,0.5596305131912231,0.5990000367164612
Gender: Male,4,0.5640684962272644,0.5277777910232544,0.525928258895874,0.52335524559021,0.5436508059501648
Gender: Female,4,0.6290366649627686,0.6379285454750061,0.5979893207550049,0.5922130942344666,0.6552419066429138
Age: <40,4,0.6427305936813354,0.5932621955871582,0.582088053226471,0.566683828830719,0.5780346393585205
Age: 40-50,4,0.6301312446594238,0.6404139399528503,0.6090986132621765,0.6088566184043884,0.6651785969734192
Age: 50-65,4,0.5345749855041504,0.5206989049911499,0.5182222723960876,0.5160564184188843,0.5813953280448914
Race: White,4,0.5692387819290161,0.5505024194717407,0.5454889535903931,0.5334425568580627,0.5446265935897827
Race: Black,4,0.671868085861206,0.5729126334190369,0.5662082433700562,0.568755030632019,0.71484375
Race: Other,4,0.5817630290985107,0.576949954032898,0.5596166253089905,0.550000011920929,0.6000000238418579
Overall,5,0.5710283517837524,0.5508367419242859,0.5422195196151733,0.5348576307296753,0.5770000219345093
Gender: Male,5,0.5727304220199585,0.5422333478927612,0.5414643883705139,0.5415412187576294,0.5581395030021667
Gender: Female,5,0.5711560845375061,0.5716618299484253,0.5434892177581787,0.5164059400558472,0.5939278602600098
Age: <40,5,0.5972667932510376,0.5670164823532104,0.5597434043884277,0.5479922890663147,0.560693621635437
Age: 40-50,5,0.5652379989624023,0.563995361328125,0.5446223020553589,0.5282658338546753,0.5951417088508606
Age: 50-65,5,0.5383127331733704,0.5190829038619995,0.5165964961051941,0.5138142704963684,0.5798525810241699
Race: White,5,0.5848096013069153,0.5555999279022217,0.5485319495201111,0.5349422097206116,0.5508317947387695
Race: Black,5,0.5758377313613892,0.5391181707382202,0.5274471044540405,0.5233989953994751,0.6704980731010437
Race: Other,5,0.4865439832210541,0.48677247762680054,0.4880331754684448,0.4839746952056885,0.5252525210380554
Overall,6,0.6130765080451965,0.5788033604621887,0.5649076700210571,0.5580127239227295,0.597000002861023
Gender: Male,6,0.6278488636016846,0.5929194688796997,0.5879641771316528,0.5875816345214844,0.60317462682724
Gender: Female,6,0.5910723805427551,0.5578991174697876,0.5364289283752441,0.5122060179710388,0.5907257795333862
