group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6304814219474792,0.5823096036911011,0.5714074373245239,0.5694738626480103,0.609000027179718
Gender: Male,0,0.6133979558944702,0.5624125003814697,0.5520294308662415,0.5474178194999695,0.5954357385635376
Gender: Female,0,0.6494170427322388,0.5995161533355713,0.5891671180725098,0.5889687538146973,0.6216216087341309
Age: <40,0,0.6322320699691772,0.5766658186912537,0.5744165182113647,0.5737955570220947,0.5814696550369263
Age: 40-50,0,0.660170316696167,0.6315826177597046,0.6163817048072815,0.6151044964790344,0.6395348906517029
Age: 50-65,0,0.5889685153961182,0.5244504809379578,0.5176073312759399,0.508030891418457,0.6107226014137268
Race: White,0,0.6557254791259766,0.5975790619850159,0.5887653231620789,0.5854691863059998,0.6026118993759155
Race: Black,0,0.6351674795150757,0.5593973994255066,0.5495215058326721,0.5513145327568054,0.68359375
Race: Other,0,0.5447901487350464,0.5118211507797241,0.5099325180053711,0.4985958933830261,0.5336538553237915
Overall,1,0.6023575067520142,0.5751205682754517,0.5642620325088501,0.5594618320465088,0.5940000414848328
Gender: Male,1,0.6055757999420166,0.5345948934555054,0.5295571088790894,0.5233289003372192,0.563829779624939
Gender: Female,1,0.5993232727050781,0.6105121374130249,0.5946758389472961,0.590978741645813,0.6207547187805176
Age: <40,1,0.5991555452346802,0.5799756050109863,0.5796893835067749,0.5797491073608398,0.5820895433425903
Age: 40-50,1,0.6322822570800781,0.604385256767273,0.5822963714599609,0.572994589805603,0.612500011920929
Age: 50-65,1,0.5844717025756836,0.5314563512802124,0.5205722451210022,0.501528799533844,0.592941164970398
Race: White,1,0.6122390031814575,0.5794849991798401,0.5722527503967285,0.5651559829711914,0.5777777433395386
Race: Black,1,0.572237491607666,0.5469862222671509,0.5378787517547607,0.5386461615562439,0.685606062412262
Race: Other,1,0.5741956233978271,0.5156862735748291,0.5133291482925415,0.4953245520591736,0.5153061151504517
Overall,2,0.6190418004989624,0.5845788717269897,0.5757368206977844,0.572992742061615,0.5980000495910645
Gender: Male,2,0.616552472114563,0.59241783618927,0.5851410031318665,0.5849037170410156,0.6104167103767395
Gender: Female,2,0.6177865266799927,0.5780007839202881,0.5681012868881226,0.5620340704917908,0.5865384340286255
