group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6426470279693604,0.6099056005477905,0.5964663028717041,0.5940612554550171,0.6211340427398682
Gender: Male,0,0.6505132913589478,0.607661247253418,0.5958089828491211,0.589790403842926,0.6064382195472717
Gender: Female,0,0.6341986060142517,0.609289288520813,0.595413327217102,0.5956990718841553,0.6356192231178284
Age: <40,0,0.5929917097091675,0.5693116188049316,0.5685199499130249,0.5652973651885986,0.5658536553382874
Age: 40-50,0,0.7034091949462891,0.6617928743362427,0.643364429473877,0.6406638026237488,0.6579476594924927
Age: 50-65,0,0.6110820770263672,0.574725329875946,0.5547155141830444,0.5502985715866089,0.6400966048240662
Race: White,0,0.6415640711784363,0.5873938202857971,0.5825799703598022,0.575031042098999,0.5798479318618774
Race: Black,0,0.6251887083053589,0.6152476072311401,0.5877206325531006,0.5931203961372375,0.7125000357627869
Race: Other,0,0.5994741320610046,0.5942962169647217,0.5799799561500549,0.5779018998146057,0.6200980544090271
Overall,1,0.6630759239196777,0.6264955997467041,0.6177198886871338,0.6184437274932861,0.6388888955116272
Gender: Male,1,0.6544228792190552,0.6118078231811523,0.6059187650680542,0.604747474193573,0.6152219772338867
Gender: Female,1,0.6736224889755249,0.6376340985298157,0.626230001449585,0.6286565065383911,0.6613226532936096
Age: <40,1,0.6545084714889526,0.6169393062591553,0.6172809600830078,0.6163712739944458,0.6165413856506348
Age: 40-50,1,0.6877877116203308,0.6418731808662415,0.632587730884552,0.6335403919219971,0.6513317227363586
Age: 50-65,1,0.6214851140975952,0.5875581502914429,0.5701867341995239,0.5704216957092285,0.6501154899597168
Race: White,1,0.6813894510269165,0.6292475461959839,0.6237829327583313,0.6186937093734741,0.6221616864204407
Race: Black,1,0.6450009346008301,0.621660590171814,0.609674334526062,0.6141636371612549,0.713080108165741
Race: Other,1,0.5765579342842102,0.5578933954238892,0.5575060844421387,0.5576812028884888,0.5934959650039673
Overall,2,0.6656292676925659,0.621688961982727,0.6128612756729126,0.6138328909873962,0.63774174451828
Gender: Male,2,0.6795183420181274,0.6163065433502197,0.6093400120735168,0.6105850338935852,0.6353965401649475
