group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.7012516260147095,0.6369191408157349,0.623962938785553,0.6238428354263306,0.6453608274459839
Gender: Male,0,0.7161533832550049,0.6540912389755249,0.6480116844177246,0.6475841999053955,0.6542056202888489
Gender: Female,0,0.6787364482879639,0.609699010848999,0.5906308889389038,0.5892065167427063,0.6366427540779114
Age: <40,0,0.6502214670181274,0.6049954295158386,0.6022474765777588,0.5968347787857056,0.5983739495277405
Age: 40-50,0,0.7676582932472229,0.7024101614952087,0.6831955909729004,0.6828173398971558,0.696177065372467
Age: 50-65,0,0.6736196279525757,0.5981510281562805,0.5845885276794434,0.5864335298538208,0.6497584581375122
Race: White,0,0.6993765830993652,0.6397399306297302,0.6359878778457642,0.6321607828140259,0.6340304017066956
Race: Black,0,0.5996413230895996,0.555354654788971,0.5428596138954163,0.542957603931427,0.675000011920929
Race: Other,0,0.7084012031555176,0.6184210777282715,0.5993865132331848,0.5982934236526489,0.6397058963775635
Overall,1,0.6903203725814819,0.6377979516983032,0.6291087865829468,0.6302343606948853,0.6491769552230835
Gender: Male,1,0.7081292867660522,0.6450634002685547,0.6432126760482788,0.6436008214950562,0.6479915380477905
Gender: Female,1,0.6632523536682129,0.6235038638114929,0.6050785183906555,0.6058946847915649,0.6503006219863892
Age: <40,1,0.7091658115386963,0.6602791547775269,0.6607736349105835,0.6599281430244446,0.660150408744812
Age: 40-50,1,0.6809550523757935,0.6526486873626709,0.6417577266693115,0.6429101228713989,0.6610170006752014
Age: 50-65,1,0.6501718759536743,0.5692341327667236,0.5571851134300232,0.5568037033081055,0.6351039409637451
Race: White,1,0.6869542002677917,0.6354779601097107,0.6339272260665894,0.6322718262672424,0.633060872554779
Race: Black,1,0.6511129140853882,0.5784474015235901,0.561302661895752,0.5638821125030518,0.6940928101539612
Race: Other,1,0.6152350902557373,0.5979087352752686,0.586959958076477,0.5884907841682434,0.6395664215087891
Overall,2,0.6845279932022095,0.6263874769210815,0.617565393447876,0.6187119483947754,0.6419236660003662
Gender: Male,2,0.7071119546890259,0.6279789805412292,0.6268125772476196,0.6273189783096313,0.6431334614753723
Gender: Female,2,0.6582222580909729,0.6307090520858765,0.6091381907463074,0.6063212156295776,0.640500545501709
Age: <40,2,0.6821874976158142,0.6353516578674316,0.63286292552948,0.6304013729095459,0.6317460536956787
Age: 40-50,2,0.7123501300811768,0.6555132865905762,0.6418367624282837,0.6415272951126099,0.6583144068717957
Age: 50-65,2,0.6467181444168091,0.5768036842346191,0.5702771544456482,0.571935772895813,0.6409952640533447
Race: White,2,0.6568119525909424,0.6165610551834106,0.6154186725616455,0.6150962114334106,0.6166982650756836
Race: Black,2,0.6868771910667419,0.5786678791046143,0.5556139945983887,0.5555578470230103,0.6867924928665161
Race: Other,2,0.6579445600509644,0.6174105405807495,0.5996724367141724,0.6008334755897522,0.6504559516906738
Overall,3,0.6699726581573486,0.601057231426239,0.5941487550735474,0.595350980758667,0.627811849117279
Gender: Male,3,0.7005318403244019,0.6194904446601868,0.6177581548690796,0.6184477806091309,0.636069118976593
Gender: Female,3,0.6367827653884888,0.581032395362854,0.5698074102401733,0.5692151188850403,0.620388388633728
Age: <40,3,0.6710104942321777,0.607548713684082,0.6072797775268555,0.6073789000511169,0.6100151538848877
Age: 40-50,3,0.7186467051506042,0.6693793535232544,0.6494318246841431,0.6548995971679688,0.7035573124885559
Age: 50-65,3,0.6178486347198486,0.5278864502906799,0.5235682725906372,0.5205435752868652,0.5941845774650574
Race: White,3,0.6467231512069702,0.5944839119911194,0.5931848287582397,0.5931766629219055,0.5975494980812073
Race: Black,3,0.5813446044921875,0.48189589381217957,0.48645052313804626,0.4804680347442627,0.6776180863380432
Race: Other,3,0.68155837059021,0.6137045621871948,0.5960784554481506,0.5968379378318787,0.6470588445663452
Overall,4,0.6790117025375366,0.6324713826179504,0.6254041194915771,0.6265287399291992,0.6445472836494446
Gender: Male,4,0.6993274688720703,0.6303409337997437,0.6298748254776001,0.6300906538963318,0.6408952474594116
Gender: Female,4,0.6579239368438721,0.6390113830566406,0.6214352250099182,0.620734691619873,0.648283064365387
Age: <40,4,0.6498963832855225,0.6141920685768127,0.6140106916427612,0.6140800714492798,0.6158357858657837
Age: 40-50,4,0.7111749649047852,0.6544691324234009,0.6447250247001648,0.6447447538375854,0.6571428775787354
Age: 50-65,4,0.6705944538116455,0.6245806217193604,0.6066797375679016,0.6091233491897583,0.6617100238800049
Race: White,4,0.6827298402786255,0.6466161012649536,0.6456767320632935,0.6456958055496216,0.6470054388046265
Race: Black,4,0.5958620309829712,0.5240532159805298,0.5177506804466248,0.5148820877075195,0.6812748908996582
Race: Other,4,0.6256645917892456,0.5802898406982422,0.5721880793571472,0.5659990906715393,0.5823529362678528
Overall,5,0.6742419600486755,0.6244161128997803,0.6152681112289429,0.6153243780136108,0.6340725421905518
Gender: Male,5,0.6634088754653931,0.6032754182815552,0.602088987827301,0.6024171113967896,0.6099071502685547
Gender: Female,5,0.681755542755127,0.6510832905769348,0.6250050067901611,0.623111367225647,0.6571428775787354
Age: <40,5,0.6709754467010498,0.6397218704223633,0.6375442743301392,0.6371527910232544,0.639553427696228
Age: 40-50,5,0.718186616897583,0.672907829284668,0.6614121198654175,0.6591277122497559,0.6673040390014648
Age: 50-65,5,0.64030522108078,0.5581552982330322,0.5497373342514038,0.5483053922653198,0.6091127395629883
Race: White,5,0.6743074655532837,0.6286641359329224,0.6273972988128662,0.6276623010635376,0.6315338611602783
Race: Black,5,0.6460591554641724,0.5629923939704895,0.5397447347640991,0.5323344469070435,0.6666666269302368
Race: Other,5,0.6407966613769531,0.6148446798324585,0.5973089337348938,0.5832295417785645,0.6005586385726929
Overall,6,0.6918454170227051,0.6341153383255005,0.6219131946563721,0.6228774189949036,0.6483457684516907
Gender: Male,6,0.7002625465393066,0.6362481117248535,0.633615255355835,0.6342493295669556,0.642303466796875
Gender: Female,6,0.671969473361969,0.6286868453025818,0.6022379994392395,0.6012670993804932,0.6539649963378906
Age: <40,6,0.6400042772293091,0.6119665503501892,0.6105813980102539,0.6107877492904663,0.6155038475990295
Age: 40-50,6,0.7686103582382202,0.7177959680557251,0.6921252608299255,0.6887207627296448,0.7014925479888916
Age: 50-65,6,0.6690770387649536,0.5804613828659058,0.5658482313156128,0.5659970641136169,0.6434210538864136
Race: White,6,0.6332186460494995,0.5944033265113831,0.5930928587913513,0.5917106866836548,0.5931520462036133
Race: Black,6,0.6679229736328125,0.5583901405334473,0.54245525598526,0.5450811386108398,0.7510287761688232
Race: Other,6,0.7094360589981079,0.676930844783783,0.6446628570556641,0.6370282173156738,0.6607595086097717
Overall,7,0.7066528797149658,0.6499910354614258,0.6391618251800537,0.6417583227157593,0.6700353622436523
Gender: Male,7,0.7082206010818481,0.6457714438438416,0.6428858041763306,0.6436892151832581,0.6526196002960205
Gender: Female,7,0.6941559910774231,0.6476489901542664,0.6267529129981995,0.6309895515441895,0.6839237213134766
Age: <40,7,0.7124403715133667,0.670706033706665,0.6684625148773193,0.6692296266555786,0.6760563254356384
Age: 40-50,7,0.7118148803710938,0.6605774164199829,0.6477543115615845,0.6483713984489441,0.6652078628540039
Age: 50-65,7,0.6903505325317383,0.6028063297271729,0.5866101980209351,0.5894597172737122,0.6674876809120178
Race: White,7,0.6871033310890198,0.639793872833252,0.6375844478607178,0.6375992298126221,0.6409523487091064
Race: Black,7,0.6706854104995728,0.597547173500061,0.574932336807251,0.5794626474380493,0.7131630778312683
Race: Other,7,0.6964514255523682,0.650861382484436,0.626708447933197,0.6315193176269531,0.6904762387275696
Overall,8,0.6838576793670654,0.6361752152442932,0.632405161857605,0.6336474418640137,0.6512925028800964
Gender: Male,8,0.6956350803375244,0.6366989612579346,0.6386691927909851,0.6373850107192993,0.647236168384552
Gender: Female,8,0.6736565828323364,0.6387988328933716,0.6256660223007202,0.6272170543670654,0.6554192304611206
Age: <40,8,0.654241681098938,0.6273637413978577,0.6269439458847046,0.6269708275794983,0.6278409361839294
Age: 40-50,8,0.7628500461578369,0.7174122929573059,0.7096331119537354,0.7120022773742676,0.7232558131217957
Age: 50-65,8,0.6424515247344971,0.57762610912323,0.5730854272842407,0.5744880437850952,0.6340882182121277
Race: White,8,0.6537647247314453,0.6186188459396362,0.6187362670898438,0.6184958815574646,0.6185752749443054
Race: Black,8,0.634537935256958,0.5872790813446045,0.564733624458313,0.569110631942749,0.7296222448348999
Race: Other,8,0.6683019995689392,0.6244605779647827,0.606578528881073,0.6060851812362671,0.6426592469215393
