group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5682620406150818,0.2855670154094696,0.5,0.36351704597473145,0.5711340308189392
Gender: Male,0,0.5266894102096558,0.26635512709617615,0.5,0.34756097197532654,0.5327103137969971
Gender: Female,0,0.5929572582244873,0.30450358986854553,0.5,0.37849873304367065,0.6090071797370911
Age: <40,0,0.5671186447143555,0.23902438580989838,0.5,0.3234323561191559,0.47804877161979675
Age: 40-50,0,0.6054068803787231,0.272635817527771,0.5,0.3528645932674408,0.545271635055542
Age: 50-65,0,0.5279361009597778,0.3278985619544983,0.5,0.3960612714290619,0.6557970643043518
Race: White,0,0.5669642686843872,0.2442965805530548,0.5,0.328224778175354,0.4885931611061096
Race: Black,0,0.428547203540802,0.3635416626930237,0.5,0.42098915576934814,0.7270833849906921
Race: Other,0,0.6896957159042358,0.30024510622024536,0.5,0.37519142031669617,0.6004902124404907
Overall,1,0.5600146055221558,0.28960904479026794,0.5,0.366775244474411,0.5792180895805359
Gender: Male,1,0.5251690149307251,0.2706131041049957,0.5,0.3511659801006317,0.5412262082099915
Gender: Female,1,0.5746290683746338,0.3076152205467224,0.5,0.3808932900428772,0.6152304410934448
Age: <40,1,0.5620248317718506,0.23609022796154022,0.5,0.32073545455932617,0.47218045592308044
Age: 40-50,1,0.5646036863327026,0.28692492842674255,0.5,0.36461538076400757,0.5738499164581299
Age: 50-65,1,0.5252830982208252,0.33198612928390503,0.5,0.3990284502506256,0.6639722585678101
Race: White,1,0.5684653520584106,0.24613986909389496,0.5,0.3298843502998352,0.4922797679901123
Race: Black,1,0.532954752445221,0.3670886158943176,0.5,0.42335766553878784,0.7341771721839905
Race: Other,1,0.5359611511230469,0.31978321075439453,0.5,0.3900826573371887,0.6395664215087891
Overall,2,0.5247118473052979,0.29456350207328796,0.5,0.370723694562912,0.5891270041465759
Gender: Male,2,0.47823023796081543,0.2988394498825073,0.5,0.3740920126438141,0.5976789593696594
Gender: Female,2,0.5840134620666504,0.2895335555076599,0.5,0.3667146861553192,0.5790671110153198
Age: <40,2,0.5796471834182739,0.2460317462682724,0.5,0.3297872245311737,0.4920634925365448
Age: 40-50,2,0.5178150534629822,0.2790432870388031,0.5,0.35818713903427124,0.5580865740776062
Age: 50-65,2,0.4626038074493408,0.3388625681400299,0.5,0.40395480394363403,0.6777251362800598
Race: White,2,0.5100366473197937,0.25664135813713074,0.5,0.3391849398612976,0.5132827162742615
Race: Black,2,0.4510263204574585,0.35849055647850037,0.5,0.4175824224948883,0.7169811725616455
Race: Other,2,0.6167120337486267,0.3130699098110199,0.5,0.38504672050476074,0.6261398196220398
Overall,3,0.560937225818634,0.3064928352832794,0.5,0.3800317049026489,0.6129856705665588
Gender: Male,3,0.5284718871116638,0.2996760308742523,0.5,0.37474679946899414,0.5993520617485046
Gender: Female,3,0.5865290760993958,0.3126213550567627,0.5,0.3847073018550873,0.6252427101135254
Age: <40,3,0.5707974433898926,0.2685887813568115,0.5,0.3494570553302765,0.537177562713623
Age: 40-50,3,0.5502066612243652,0.32608696818351746,0.5,0.3947368562221527,0.6521739363670349
Age: 50-65,3,0.5296960473060608,0.3255372941493988,0.5,0.3943338394165039,0.6510745882987976
Race: White,3,0.5302679538726807,0.26767200231552124,0.5,0.34868016839027405,0.5353440046310425
Race: Black,3,0.4987480938434601,0.3860369622707367,0.5,0.43568944931030273,0.7720739245414734
Race: Other,3,0.6084582805633545,0.3125,0.5,0.38461539149284363,0.625
Overall,4,0.5685111880302429,0.29012346267700195,0.5,0.3671875,0.5802469253540039
Gender: Male,4,0.5684586763381958,0.2914547324180603,0.5,0.3682519197463989,0.5829094648361206
Gender: Female,4,0.5771579742431641,0.288761705160141,0.5,0.3660949766635895,0.5775234699249268
Age: <40,4,0.5747884511947632,0.2653958797454834,0.5,0.34674328565597534,0.5307917594909668
Age: 40-50,4,0.5929566025733948,0.2758241891860962,0.5,0.35552409291267395,0.5516483783721924
Age: 50-65,4,0.5370146036148071,0.319083034992218,0.5,0.389561265707016,0.638166069984436
Race: White,4,0.5758639574050903,0.2586206793785095,0.5,0.34090909361839294,0.517241358757019
Race: Black,4,0.5056286454200745,0.3754979968070984,0.5,0.4288964867591858,0.7509960532188416
Race: Other,4,0.5470482110977173,0.2661764621734619,0.5,0.34740883111953735,0.5323529243469238
Overall,5,0.5228453874588013,0.2847782373428345,0.5,0.36287733912467957,0.5695564150810242
Gender: Male,5,0.4494154453277588,0.2791537642478943,0.5,0.35827815532684326,0.5583075881004333
Gender: Female,5,0.589015543460846,0.2901477813720703,0.5,0.36720699071884155,0.5802955627441406
Age: <40,5,0.6085366010665894,0.2583732008934021,0.5,0.34069401025772095,0.5167464017868042
Age: 40-50,5,0.49538302421569824,0.26195028424263,0.5,0.3437892198562622,0.52390056848526
Age: 50-65,5,0.4573224186897278,0.3189448416233063,0.5,0.3894582688808441,0.6378896832466125
Race: White,5,0.5203559398651123,0.2694944441318512,0.5,0.35022270679473877,0.5389888882637024
Race: Black,5,0.45429354906082153,0.34749454259872437,0.5,0.4100257158279419,0.6949890851974487
Race: Other,5,0.559838593006134,0.25418993830680847,0.5,0.33703702688217163,0.5083798766136169
Overall,6,0.5363814234733582,0.2937566637992859,0.5,0.3700840473175049,0.5875133275985718
Gender: Male,6,0.4581195116043091,0.27906978130340576,0.5,0.35820895433425903,0.5581395626068115
Gender: Female,6,0.5900514125823975,0.30741503834724426,0.5,0.38073980808258057,0.6148300766944885
Age: <40,6,0.5383818745613098,0.27054262161254883,0.5,0.3511066436767578,0.5410852432250977
Age: 40-50,6,0.574797511100769,0.26439231634140015,0.5,0.34588563442230225,0.5287846326828003
Age: 50-65,6,0.4920712411403656,0.33157894015312195,0.5,0.3987341821193695,0.6631579399108887
Race: White,6,0.5032736659049988,0.25025177001953125,0.5,0.33355703949928284,0.5005035400390625
Race: Black,6,0.45349979400634766,0.4022633731365204,0.5,0.4458380937576294,0.8045267462730408
Race: Other,6,0.6129017472267151,0.26962023973464966,0.5,0.3503289520740509,0.5392405390739441
Overall,7,0.5787835121154785,0.3049519956111908,0.5,0.3788449466228485,0.6099039912223816
Gender: Male,7,0.5510364770889282,0.2818906605243683,0.5,0.36052438616752625,0.5637813210487366
Gender: Female,7,0.581256628036499,0.3233424127101898,0.5,0.39271923899650574,0.6466848254203796
Age: <40,7,0.6285272836685181,0.2802816927433014,0.5,0.35920578241348267,0.5605633854866028
Age: 40-50,7,0.5402107238769531,0.2822757065296173,0.5,0.3608391582965851,0.5645514130592346
Age: 50-65,7,0.5471051931381226,0.3392857015132904,0.5,0.40425533056259155,0.6785714030265808
Race: White,7,0.5884830951690674,0.26380953192710876,0.5,0.3453865349292755,0.5276190638542175
Race: Black,7,0.517125129699707,0.3713163137435913,0.5,0.42615556716918945,0.7426326274871826
Race: Other,7,0.5865579843521118,0.3273809552192688,0.5,0.3956834673881531,0.6547619104385376
Overall,8,0.5547388792037964,0.2972630560398102,0.5,0.37285441160202026,0.5945261120796204
Gender: Male,8,0.4956643581390381,0.2964824140071869,0.5,0.37223973870277405,0.5929648280143738
Gender: Female,8,0.6126864552497864,0.2980572581291199,0.5,0.3734785318374634,0.5961145162582397
Age: <40,8,0.5735015869140625,0.2578125,0.5,0.34020617604255676,0.515625
Age: 40-50,8,0.6468284726142883,0.28837209939956665,0.5,0.3657817244529724,0.5767441987991333
Age: 50-65,8,0.46020209789276123,0.33492252230644226,0.5,0.40114203095436096,0.6698450446128845
Race: White,8,0.5566033124923706,0.257889986038208,0.5,0.3402736485004425,0.515779972076416
Race: Black,8,0.48888444900512695,0.3836978077888489,0.5,0.43419572710990906,0.7673956155776978
Race: Other,8,0.5760592222213745,0.2977839410305023,0.5,0.3732638955116272,0.5955678224563599
Overall,9,0.5559842586517334,0.2871900796890259,0.5,0.3648293912410736,0.5743801593780518
Gender: Male,9,0.5580669641494751,0.2878289520740509,0.5,0.36534446477890015,0.5756579041481018
Gender: Female,9,0.563035249710083,0.28662109375,0.5,0.3643699586391449,0.5732421875
Age: <40,9,0.5371770858764648,0.2588871717453003,0.5,0.3411405384540558,0.5177743434906006
Age: 40-50,9,0.6084909439086914,0.2773359715938568,0.5,0.35677748918533325,0.5546719431877136
Age: 50-65,9,0.5324161052703857,0.31679388880729675,0.5,0.38785046339035034,0.6335877776145935
Race: White,9,0.558748185634613,0.2524084746837616,0.5,0.3354673385620117,0.5048169493675232
Race: Black,9,0.48064106702804565,0.3629191219806671,0.5,0.4205714166164398,0.725838303565979
Race: Other,9,0.5940855741500854,0.2813299298286438,0.5,0.3600654602050781,0.5626598596572876
Overall,10,0.5393924713134766,0.2825973927974701,0.5,0.361101895570755,0.5651947855949402
Gender: Male,10,0.49616941809654236,0.2857142984867096,0.5,0.3636363744735718,0.5714285969734192
Gender: Female,10,0.5880759358406067,0.279591828584671,0.5,0.358638733625412,0.559183657169342
Age: <40,10,0.5822867155075073,0.25642964243888855,0.5,0.33899998664855957,0.5128592848777771
Age: 40-50,10,0.544620156288147,0.23829787969589233,0.5,0.32276657223701477,0.4765957295894623
Age: 50-65,10,0.48698529601097107,0.33060452342033386,0.5,0.39802882075309753,0.6612090468406677
Race: White,10,0.52991783618927,0.24252651631832123,0.5,0.3266233801841736,0.48505303263664246
Race: Black,10,0.4797711968421936,0.373517781496048,0.5,0.42760181427001953,0.7470356225967407
Race: Other,10,0.5660731792449951,0.27094241976737976,0.5,0.3514431118965149,0.5418848395347595
Overall,11,0.5523165464401245,0.2917308807373047,0.5,0.36847227811813354,0.5834617018699646
Gender: Male,11,0.5477383136749268,0.29393938183784485,0.5,0.37022900581359863,0.5878788232803345
Gender: Female,11,0.5695169568061829,0.2894461750984192,0.5,0.36664462089538574,0.5788923501968384
Age: <40,11,0.5859803557395935,0.2442922443151474,0.5,0.32822084426879883,0.4885844886302948
Age: 40-50,11,0.5703182220458984,0.2799564301967621,0.5,0.3589385449886322,0.5599128603935242
Age: 50-65,11,0.4842139482498169,0.3357400596141815,0.5,0.4017278552055359,0.6714801788330078
Race: White,11,0.5401064157485962,0.2698630094528198,0.5,0.3505338132381439,0.5397260189056396
Race: Black,11,0.5666388869285583,0.3453703820705414,0.5,0.40854325890541077,0.690740704536438
Race: Other,11,0.5276682376861572,0.2756410241127014,0.5,0.35537189245224,0.5512820482254028
