group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6488291025161743,0.6151019334793091,0.5835878849029541,0.5705488324165344,0.620103120803833
Gender: Male,0,0.6435607671737671,0.5979115962982178,0.5786354541778564,0.5642735362052917,0.5929387807846069
Gender: Female,0,0.6422896385192871,0.6292617917060852,0.5826345086097717,0.5705001950263977,0.646878182888031
Age: <40,0,0.6150634288787842,0.5678366422653198,0.5624642372131348,0.5495762825012207,0.5560975670814514
Age: 40-50,0,0.6812200546264648,0.683310866355896,0.6330699324607849,0.6193925142288208,0.6559355854988098
Age: 50-65,0,0.6197861433029175,0.569433331489563,0.5359794497489929,0.5146201848983765,0.6461352705955505
Race: White,0,0.6562567949295044,0.6055329442024231,0.5832381248474121,0.5567600727081299,0.5779467821121216
Race: Black,0,0.5183840394020081,0.5563622713088989,0.5390537977218628,0.5367619395256042,0.6833333969116211
Race: Other,0,0.7124326825141907,0.6446988582611084,0.6003380417823792,0.5925288200378418,0.654411792755127
Overall,1,0.6639922261238098,0.6057655811309814,0.5831230878829956,0.5756160020828247,0.6193415522575378
Gender: Male,1,0.6697373390197754,0.6031689643859863,0.5881561636924744,0.5802704095840454,0.6035940647125244
Gender: Female,1,0.6503418684005737,0.6015998125076294,0.572051465511322,0.5638545751571655,0.6342685222625732
Age: <40,1,0.6588636636734009,0.5794658660888672,0.577648937702179,0.5717460513114929,0.5729323625564575
Age: 40-50,1,0.6601457595825195,0.6548701524734497,0.6200733780860901,0.6143589615821838,0.6537530422210693
Age: 50-65,1,0.6258478760719299,0.5409566760063171,0.5216046571731567,0.49906766414642334,0.638568103313446
Race: White,1,0.6734052896499634,0.6086657643318176,0.589965283870697,0.5695526599884033,0.5867393612861633
Race: Black,1,0.6236088275909424,0.5531047582626343,0.5389299392700195,0.5380717515945435,0.6835442781448364
Race: Other,1,0.6191856861114502,0.5880714058876038,0.5745189189910889,0.5746561288833618,0.6341463327407837
Overall,2,0.654515266418457,0.6140698194503784,0.5851677656173706,0.5768508315086365,0.6293779015541077
Gender: Male,2,0.6803351640701294,0.6170395612716675,0.5976008176803589,0.5959233045578003,0.6373307704925537
Gender: Female,2,0.6329315900802612,0.6155773401260376,0.5726357698440552,0.5517716407775879,0.620022714138031
Age: <40,2,0.6611995697021484,0.5801892876625061,0.5763608813285828,0.5701673030853271,0.5746031999588013
Age: 40-50,2,0.6141594648361206,0.6316063404083252,0.582568883895874,0.5578417778015137,0.6173120737075806
Age: 50-65,2,0.6296148300170898,0.6016429662704468,0.5579365491867065,0.5488619208335876,0.6765403151512146
Race: White,2,0.6542717218399048,0.6141246557235718,0.5930159687995911,0.5765319466590881,0.5986717343330383
Race: Black,2,0.6283859610557556,0.5789769887924194,0.5467544198036194,0.5415028929710388,0.6943396329879761
Race: Other,2,0.610348105430603,0.5788354277610779,0.5614491701126099,0.5571044087409973,0.6231003403663635
Overall,3,0.649446964263916,0.6008840799331665,0.5767184495925903,0.571591854095459,0.6324130892753601
Gender: Male,3,0.6610378623008728,0.5999174118041992,0.5846142768859863,0.5826948881149292,0.6241900324821472
Gender: Female,3,0.6405038237571716,0.6009742021560669,0.5671724677085876,0.5571432709693909,0.6398058533668518
Age: <40,3,0.6470130681991577,0.5655290484428406,0.5626146197319031,0.5608497858047485,0.5705614686012268
Age: 40-50,3,0.6733298897743225,0.704806923866272,0.6308712363243103,0.6344724893569946,0.717391312122345
Age: 50-65,3,0.6004291772842407,0.546019434928894,0.5255311727523804,0.5040136575698853,0.6295828223228455
Race: White,3,0.6480122804641724,0.5968485474586487,0.580366313457489,0.5690414309501648,0.5947219729423523
Race: Black,3,0.5367069244384766,0.5172675848007202,0.5109018683433533,0.5044705867767334,0.7104722857475281
Race: Other,3,0.6674356460571289,0.598121166229248,0.572549045085907,0.5673506855964661,0.6372549533843994
Overall,4,0.6373928785324097,0.5901733636856079,0.574611485004425,0.5691409111022949,0.6080246567726135
Gender: Male,4,0.655097246170044,0.5999244451522827,0.5912399291992188,0.590856671333313,0.6164801716804504
Gender: Female,4,0.6242355704307556,0.5813171863555908,0.5582634210586548,0.5428203344345093,0.5993756651878357
Age: <40,4,0.6312673091888428,0.5488813519477844,0.5475483536720276,0.5463873147964478,0.5527859330177307
Age: 40-50,4,0.6692836284637451,0.670895516872406,0.6341692209243774,0.6261534690856934,0.6571428775787354
Age: 50-65,4,0.6008245944976807,0.5648379921913147,0.5409396290779114,0.5263724327087402,0.627013623714447
Race: White,4,0.659632682800293,0.6024349927902222,0.5927944779396057,0.5858207941055298,0.598003625869751
Race: Black,4,0.540350079536438,0.490564227104187,0.49372947216033936,0.4841216206550598,0.6733068227767944
Race: Other,4,0.5703811645507812,0.5371111035346985,0.5290142297744751,0.5089406371116638,0.5441176295280457
Overall,5,0.6438229084014893,0.5976777672767639,0.5740979909896851,0.5623185634613037,0.6078628897666931
Gender: Male,5,0.6099642515182495,0.5604243278503418,0.5526607632637024,0.546424925327301,0.5737874507904053
Gender: Female,5,0.6712100505828857,0.6491836309432983,0.5920594334602356,0.5734906196594238,0.6403940916061401
Age: <40,5,0.6426680088043213,0.5598507523536682,0.5551429986953735,0.5485537052154541,0.559808611869812
Age: 40-50,5,0.663251519203186,0.6339698433876038,0.5976899862289429,0.5754870176315308,0.609942615032196
Age: 50-65,5,0.6134915351867676,0.5914368629455566,0.5552955269813538,0.541362464427948,0.6426858901977539
Race: White,5,0.6474548578262329,0.6037555932998657,0.5886608362197876,0.5804651975631714,0.6032562255859375
Race: Black,5,0.5874384641647339,0.5078754425048828,0.5034146904945374,0.47282674908638,0.657952070236206
