group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6489332318305969,0.6235020756721497,0.6050446033477783,0.6017874479293823,0.6319587826728821
Gender: Male,0,0.6673901081085205,0.6238949298858643,0.6141325235366821,0.6109281182289124,0.6230530142784119
Gender: Female,0,0.6210216283798218,0.6153192520141602,0.5874323844909668,0.5828306078910828,0.6407369375228882
Age: <40,0,0.5985864996910095,0.5990810990333557,0.597002387046814,0.5923221111297607,0.5934959053993225
Age: 40-50,0,0.6674394607543945,0.6353181600570679,0.6079744100570679,0.5976377725601196,0.6277665495872498
Age: 50-65,0,0.6458401679992676,0.609965443611145,0.582213819026947,0.5817720293998718,0.6630434989929199
Race: White,0,0.6840799450874329,0.6299035549163818,0.6176428198814392,0.6060593724250793,0.6140684485435486
Race: Black,0,0.5414379239082336,0.5688470602035522,0.5605000257492065,0.5626715421676636,0.6729167103767395
Race: Other,0,0.6185802221298218,0.6062091588973999,0.5830098986625671,0.5780707597732544,0.6299020051956177
Overall,1,0.6572980880737305,0.6254687905311584,0.6133206486701965,0.6132912635803223,0.6378600597381592
Gender: Male,1,0.6709164381027222,0.6246967315673828,0.6202701926231384,0.620054304599762,0.6279069781303406
Gender: Female,1,0.6335546970367432,0.6195226311683655,0.5972703099250793,0.596530556678772,0.6472945809364319
Age: <40,1,0.6706044673919678,0.6560317277908325,0.6560826897621155,0.6541345715522766,0.6541353464126587
Age: 40-50,1,0.6263904571533203,0.5720696449279785,0.5660361647605896,0.5643460154533386,0.5883777737617493
Age: 50-65,1,0.6247303485870361,0.5809493064880371,0.5599820613861084,0.5573312044143677,0.6489607095718384
Race: White,1,0.6896638870239258,0.6447696685791016,0.6342671513557434,0.6261070966720581,0.6321526169776917
Race: Black,1,0.6359469294548035,0.6169580221176147,0.6068007946014404,0.6107169985771179,0.7088607549667358
Race: Other,1,0.547183632850647,0.5200790166854858,0.5194342136383057,0.5194107294082642,0.5636856555938721
Overall,2,0.6585713624954224,0.6171306371688843,0.6030189990997314,0.6025286912918091,0.634082555770874
Gender: Male,2,0.6946026086807251,0.6200803518295288,0.6164581775665283,0.6175775527954102,0.6373307704925537
Gender: Female,2,0.6124939918518066,0.6231273412704468,0.5903334617614746,0.5800286531448364,0.6302616596221924
Age: <40,2,0.6582257747650146,0.6355383396148682,0.6341733932495117,0.6326586008071899,0.6333333253860474
Age: 40-50,2,0.6093835830688477,0.5628992915153503,0.5501261949539185,0.5376120805740356,0.5763098001480103
