group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5572400689125061,0.5296586751937866,0.5199772119522095,0.4995161294937134,0.578000009059906
Gender: Male,0,0.49791666865348816,0.49110275506973267,0.49234914779663086,0.485435426235199,0.5352697372436523
Gender: Female,0,0.6040863990783691,0.6046398282051086,0.5464455485343933,0.5064482688903809,0.6177605986595154
Age: <40,0,0.6181377172470093,0.5792434811592102,0.557589590549469,0.5354830026626587,0.5782747268676758
Age: 40-50,0,0.6206104159355164,0.5843254327774048,0.5468836426734924,0.512234628200531,0.5930232405662537
Age: 50-65,0,0.4697226285934448,0.45956844091415405,0.47088438272476196,0.4550042748451233,0.5687645673751831
Race: White,0,0.5514965057373047,0.5281603336334229,0.5207657217979431,0.49775731563568115,0.5447760820388794
Race: Black,0,0.49314194917678833,0.43341952562332153,0.45893141627311707,0.4387993812561035,0.64453125
Race: Other,0,0.5769302845001221,0.5749506950378418,0.546289324760437,0.5153073668479919,0.5817307829856873
Overall,1,0.5348443984985352,0.5169157981872559,0.5114577412605286,0.48645347356796265,0.5560000538825989
Gender: Male,1,0.49387413263320923,0.4956708550453186,0.4963170289993286,0.48775362968444824,0.5319148898124695
Gender: Female,1,0.5750987529754639,0.5564653277397156,0.5270419120788574,0.4792982339859009,0.5773584842681885
Age: <40,1,0.6008373498916626,0.59492027759552,0.5732841491699219,0.5552412867546082,0.5880597233772278
Age: 40-50,1,0.618990421295166,0.4994674324989319,0.49971717596054077,0.4527082145214081,0.5458333492279053
Age: 50-65,1,0.4277331829071045,0.44558823108673096,0.46309202909469604,0.43786466121673584,0.5364705920219421
Race: White,1,0.5219093561172485,0.52506023645401,0.5178571343421936,0.4853779375553131,0.5277777910232544
Race: Black,1,0.530609130859375,0.5030378699302673,0.502525269985199,0.5004055500030518,0.6553030610084534
Race: Other,1,0.5532646179199219,0.4939579963684082,0.4966156482696533,0.4360540211200714,0.5
Overall,2,0.5519285202026367,0.5408068895339966,0.5287232995033264,0.5069773197174072,0.5660000443458557
Gender: Male,2,0.553443431854248,0.5411044955253601,0.5367764234542847,0.5334928035736084,0.5666667222976685
Gender: Female,2,0.5636672973632812,0.5591760873794556,0.5275381207466125,0.4727112948894501,0.5653846263885498
Age: <40,2,0.5821347236633301,0.5814189910888672,0.5645583868026733,0.5411583185195923,0.5652174353599548
Age: 40-50,2,0.6007388830184937,0.5180890560150146,0.5110827088356018,0.4783036708831787,0.5583333373069763
Age: 50-65,2,0.4933507442474365,0.5001438856124878,0.5000985264778137,0.4808708429336548,0.5710843205451965
Race: White,2,0.576103687286377,0.5465801954269409,0.5352678298950195,0.5070489645004272,0.5387324094772339
Race: Black,2,0.37276744842529297,0.4241808354854584,0.4455791413784027,0.43025970458984375,0.6066945195198059
Race: Other,2,0.5788332223892212,0.6056826114654541,0.5661461353302002,0.5366289019584656,0.5958548784255981
Overall,3,0.5611796379089355,0.5313650369644165,0.5222567915916443,0.500904381275177,0.5610000491142273
Gender: Male,3,0.5333091020584106,0.5184215903282166,0.5164731740951538,0.5105254650115967,0.5369978547096252
Gender: Female,3,0.5891668796539307,0.5505664348602295,0.5236299633979797,0.47671061754226685,0.5825427174568176
Age: <40,3,0.587943971157074,0.5740127563476562,0.5582600235939026,0.5247122645378113,0.5441595315933228
