group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6012347936630249,0.5743294954299927,0.555302083492279,0.5450577735900879,0.6060000061988831
Gender: Male,0,0.5681573152542114,0.546214759349823,0.538164496421814,0.5320682525634766,0.5829876065254211
Gender: Female,0,0.6317182779312134,0.6089272499084473,0.5715690851211548,0.5566071271896362,0.6274130940437317
Age: <40,0,0.6088922023773193,0.5734272003173828,0.5642669200897217,0.5567333102226257,0.5782747268676758
Age: 40-50,0,0.6408040523529053,0.6887595653533936,0.6291597485542297,0.6181067228317261,0.6666666865348816
Age: 50-65,0,0.5422092080116272,0.4800570011138916,0.4867854118347168,0.468341588973999,0.5897436141967773
Race: White,0,0.594811737537384,0.5461714267730713,0.5369246602058411,0.5218734741210938,0.5578358173370361
Race: Black,0,0.6438596248626709,0.6163773536682129,0.5834130644798279,0.5892922878265381,0.7265625
Race: Other,0,0.5443215370178223,0.572256326675415,0.549662709236145,0.5265677571296692,0.5817307829856873
Overall,1,0.5920449495315552,0.5676834583282471,0.5536196231842041,0.5437262654304504,0.5890000462532043
Gender: Male,1,0.5976503491401672,0.5680844783782959,0.5584149360656738,0.5541589856147766,0.591489315032959
Gender: Female,1,0.5872400403022766,0.5692754983901978,0.5503659844398499,0.5335913300514221,0.5867924690246582
Age: <40,1,0.5648393630981445,0.5632925629615784,0.5600085854530334,0.5573023557662964,0.5671641826629639
Age: 40-50,1,0.6553308963775635,0.6081081628799438,0.5777714848518372,0.562687337398529,0.612500011920929
Age: 50-65,1,0.5681594610214233,0.530218780040741,0.5193869471549988,0.4990427494049072,0.592941164970398
Race: White,1,0.5801510810852051,0.5496281385421753,0.5435439348220825,0.5323175191879272,0.550000011920929
Race: Black,1,0.6001683473587036,0.5460709929466248,0.5353535413742065,0.5353708863258362,0.689393937587738
Race: Other,1,0.5696136951446533,0.5880409479141235,0.5582630634307861,0.5191144347190857,0.5612244606018066
Overall,2,0.6187565326690674,0.5746666789054871,0.5570552945137024,0.5438748002052307,0.5900000333786011
Gender: Male,2,0.5963804721832275,0.5516908168792725,0.543053388595581,0.5362629294395447,0.5791667103767395
Gender: Female,2,0.6425206661224365,0.6031132340431213,0.5718173980712891,0.5508604049682617,0.6000000238418579
Age: <40,2,0.6263946294784546,0.5927268862724304,0.5850920677185059,0.576614499092102,0.5855072736740112
Age: 40-50,2,0.6784597635269165,0.6873675584793091,0.6319267153739929,0.6236228346824646,0.6708333492279053
Age: 50-65,2,0.5559523105621338,0.4492351710796356,0.46845293045043945,0.43763697147369385,0.5469879508018494
Race: White,2,0.6336061358451843,0.5813150405883789,0.565575361251831,0.545203447341919,0.5686619877815247
Race: Black,2,0.5815207958221436,0.5213461518287659,0.5147215127944946,0.5084327459335327,0.6652719378471375
