group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6728962659835815,0.6219940185546875,0.6262765526771545,0.6125105023384094,0.6140000224113464
Gender: Male,0,0.6488146781921387,0.596861720085144,0.5981142520904541,0.5766468644142151,0.5767635107040405
Gender: Female,0,0.7012279033660889,0.6471930742263794,0.6528545618057251,0.644788384437561,0.6486486196517944
Age: <40,0,0.6312869787216187,0.6190168857574463,0.6136176586151123,0.6016830801963806,0.6038338541984558
Age: 40-50,0,0.7025801539421082,0.6135134696960449,0.6132560968399048,0.6007691621780396,0.6007751822471619
Age: 50-65,0,0.6751294732093811,0.6171232461929321,0.6295561194419861,0.6138526201248169,0.6293706297874451
Race: White,0,0.6847708821296692,0.6257502436637878,0.6238851547241211,0.6153289079666138,0.6156716346740723
Race: Black,0,0.6448963284492493,0.6202846169471741,0.6563795804977417,0.6064468026161194,0.63671875
Race: Other,0,0.6291229724884033,0.5847002267837524,0.5856446623802185,0.5812565088272095,0.5817307829856873
Overall,1,0.6907416582107544,0.6400563716888428,0.642540454864502,0.6324968934059143,0.6330000162124634
Gender: Male,1,0.6949183940887451,0.640928328037262,0.6433566808700562,0.629458487033844,0.6297872066497803
Gender: Female,1,0.6906732320785522,0.6399277448654175,0.6423114538192749,0.6351619958877563,0.6358490586280823
Age: <40,1,0.6449223756790161,0.6289417743682861,0.6226114630699158,0.6122163534164429,0.6149253845214844
Age: 40-50,1,0.7557975053787231,0.6414141654968262,0.6425338983535767,0.6332314610481262,0.6333333849906921
Age: 50-65,1,0.683659553527832,0.6415331363677979,0.6496385335922241,0.6396350860595703,0.6470587849617004
Race: White,1,0.683983564376831,0.6361702680587769,0.6340659260749817,0.6306899189949036,0.6314814686775208
Race: Black,1,0.683272123336792,0.6048951148986816,0.6388888955116272,0.5901328325271606,0.625
Race: Other,1,0.6682286858558655,0.6528669595718384,0.6488076448440552,0.645885169506073,0.6479591727256775
Overall,2,0.6841500401496887,0.6334185004234314,0.6327921152114868,0.6199756860733032,0.6200000047683716
Gender: Male,2,0.6800550222396851,0.6304613351821899,0.629866361618042,0.610401451587677,0.6104167103767395
Gender: Female,2,0.6934545636177063,0.6373167037963867,0.6367110013961792,0.6288118362426758,0.6288461685180664
Age: <40,2,0.6649751663208008,0.6363883018493652,0.6264786720275879,0.6193193197250366,0.626086950302124
Age: 40-50,2,0.7726626396179199,0.6843434572219849,0.6867007613182068,0.6747967600822449,0.675000011920929
Age: 50-65,2,0.6340442299842834,0.5938596725463867,0.5988154411315918,0.580639123916626,0.5831325650215149
Race: White,2,0.7057291269302368,0.6447579860687256,0.6372023820877075,0.6313110589981079,0.6355633735656738
Race: Black,2,0.6424403190612793,0.615104615688324,0.6439876556396484,0.6059319972991943,0.6359832286834717
Race: Other,2,0.6119062900543213,0.5696684122085571,0.5665256977081299,0.5523732900619507,0.5544041395187378
Overall,3,0.6624578237533569,0.6200684905052185,0.6211100816726685,0.6108875274658203,0.6110000014305115
Gender: Male,3,0.6807873845100403,0.6538923978805542,0.6532111763954163,0.6426805853843689,0.6427060961723328
Gender: Female,3,0.6443380117416382,0.5897201895713806,0.5915032625198364,0.5818787813186646,0.5825427174568176
Age: <40,3,0.6155750751495361,0.5873866081237793,0.5834799408912659,0.58158940076828,0.5897436141967773
Age: 40-50,3,0.7151211500167847,0.6340893507003784,0.6306675672531128,0.6116071343421936,0.6120689511299133
Age: 50-65,3,0.661757230758667,0.6215020418167114,0.634081244468689,0.6162112951278687,0.6282973885536194
Race: White,3,0.6659731864929199,0.6095653176307678,0.6053205728530884,0.6018965244293213,0.6060606241226196
Race: Black,3,0.6604232788085938,0.6058647036552429,0.6328442096710205,0.5953986644744873,0.6259542107582092
Race: Other,3,0.6121960282325745,0.6150614023208618,0.6147752404212952,0.6047529578208923,0.6047618985176086
