group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.7111186981201172,0.6522440314292908,0.6462100148200989,0.6480649709701538,0.6680000424385071
Gender: Male,0,0.7059446573257446,0.6581062078475952,0.6625359058380127,0.6591230630874634,0.6680498123168945
Gender: Female,0,0.7192362546920776,0.654899001121521,0.6318731307983398,0.6329329013824463,0.6679536700248718
Age: <40,0,0.6937869787216187,0.6163912415504456,0.6140285730361938,0.6141207218170166,0.6198083162307739
Age: 40-50,0,0.7598209977149963,0.7117270231246948,0.7064718008041382,0.7081764340400696,0.7170542478561401
Age: 50-65,0,0.6797521710395813,0.6304895281791687,0.6216782331466675,0.6246625185012817,0.6736596822738647
Race: White,0,0.7065127491950989,0.6459152102470398,0.645472526550293,0.6456572413444519,0.6492537260055542
Race: Black,0,0.7410686016082764,0.6741200685501099,0.6341307759284973,0.645714282989502,0.7578125
Race: Other,0,0.6264992952346802,0.5972886681556702,0.591454267501831,0.5906298160552979,0.6057692766189575
Overall,1,0.7027422189712524,0.6437333822250366,0.6380233764648438,0.6392812132835388,0.6540000438690186
Gender: Male,1,0.7057715654373169,0.6640070676803589,0.6621445417404175,0.662918210029602,0.6744680404663086
Gender: Female,1,0.7012025117874146,0.6262375116348267,0.6175932288169861,0.6178574562072754,0.6358490586280823
Age: <40,1,0.6714377403259277,0.6036297678947449,0.6021612882614136,0.6021091341972351,0.6059701442718506
Age: 40-50,1,0.7301329374313354,0.6859515905380249,0.6804298758506775,0.6819256544113159,0.6916667222976685
Age: 50-65,1,0.703938364982605,0.6468425989151001,0.6354621648788452,0.6382890939712524,0.6705881953239441
Race: White,1,0.6922801733016968,0.6383640766143799,0.6383241415023804,0.6383419036865234,0.6388888955116272
Race: Black,1,0.7157943248748779,0.6019917726516724,0.5909090638160706,0.594928503036499,0.7121212482452393
Race: Other,1,0.6515672206878662,0.6357843279838562,0.615380585193634,0.6015720367431641,0.6173469424247742
Overall,2,0.695243239402771,0.6260268688201904,0.6216092705726624,0.6223529577255249,0.6350000500679016
Gender: Male,2,0.696418046951294,0.6141335964202881,0.6144602298736572,0.6142857074737549,0.6250000596046448
Gender: Female,2,0.6992268562316895,0.6411103010177612,0.6304601430892944,0.6297023296356201,0.6442307829856873
Age: <40,2,0.6928014755249023,0.6365387439727783,0.6346114873886108,0.6334244012832642,0.634782612323761
Age: 40-50,2,0.7804774045944214,0.6928008794784546,0.6879795789718628,0.6895659565925598,0.7000000476837158
Age: 50-65,2,0.6318524479866028,0.565334677696228,0.5617272853851318,0.56219482421875,0.5975903868675232
Race: White,2,0.6866071224212646,0.617861807346344,0.6177083253860474,0.6176910996437073,0.6179577112197876
Race: Black,2,0.6860300302505493,0.6269066333770752,0.5838638544082642,0.5887046456336975,0.723849356174469
Race: Other,2,0.6225330829620361,0.567514181137085,0.5647907257080078,0.5638778805732727,0.575129508972168
Overall,3,0.6959940195083618,0.6392038464546204,0.6294522285461426,0.6300966739654541,0.6480000019073486
Gender: Male,3,0.7102140188217163,0.656758189201355,0.6479589939117432,0.6487319469451904,0.6617336273193359
Gender: Female,3,0.6808475852012634,0.622389018535614,0.6121166348457336,0.612452507019043,0.6356736421585083
Age: <40,3,0.6601499319076538,0.6161258220672607,0.6142717599868774,0.6090646982192993,0.6096866130828857
Age: 40-50,3,0.7377535104751587,0.673319399356842,0.6701602935791016,0.671262264251709,0.681034505367279
Age: 50-65,3,0.6778082847595215,0.6134609580039978,0.5957341194152832,0.5981972813606262,0.661870539188385
Race: White,3,0.6759025454521179,0.6083455085754395,0.6065545678138733,0.6046082973480225,0.6060606241226196
Race: Black,3,0.7198584079742432,0.6652576327323914,0.6210825443267822,0.6313656568527222,0.7442747950553894
Race: Other,3,0.651160717010498,0.6259258985519409,0.6174465417861938,0.6172871589660645,0.6333333849906921
Overall,4,0.690940797328949,0.6507334113121033,0.6426233649253845,0.6443493366241455,0.6630000472068787
Gender: Male,4,0.6899328231811523,0.660777747631073,0.6535211205482483,0.6546536684036255,0.6666666865348816
