group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.711381196975708,0.6572761535644531,0.6408028602600098,0.6410980224609375,0.6628866195678711
Gender: Male,0,0.7153346538543701,0.6604207754135132,0.650682270526886,0.6493930816650391,0.6583593487739563
Gender: Female,0,0.7024198174476624,0.6481921076774597,0.6247437000274658,0.6262446641921997,0.6673490405082703
Age: <40,0,0.681797981262207,0.6211066842079163,0.6202237606048584,0.6176273822784424,0.6178861856460571
Age: 40-50,0,0.7458119988441467,0.7013646960258484,0.6717745065689087,0.6688219308853149,0.6881287693977356
Age: 50-65,0,0.6820263862609863,0.6373634338378906,0.611863911151886,0.6155745387077332,0.6811594367027283
Race: White,0,0.7121562957763672,0.648479700088501,0.6429708003997803,0.6380351781845093,0.6406844258308411
Race: Black,0,0.6199172735214233,0.5958269238471985,0.5710208415985107,0.5742754340171814,0.7020833492279053
Race: Other,0,0.7222737073898315,0.6597222089767456,0.6382246017456055,0.6402521729469299,0.6740196347236633
Overall,1,0.6910282373428345,0.6445697546005249,0.6352733969688416,0.6365616917610168,0.6553497910499573
Gender: Male,1,0.6987462043762207,0.6430681347846985,0.6395044326782227,0.6397877931594849,0.6458773612976074
Gender: Female,1,0.6768457889556885,0.6407430768013,0.6237954497337341,0.6261307001113892,0.6643286943435669
Age: <40,1,0.681955099105835,0.6381472945213318,0.6383126974105835,0.6382068395614624,0.6390977501869202
Age: 40-50,1,0.6938530802726746,0.6473177671432495,0.6368071436882019,0.6378087997436523,0.65617436170578
Age: 50-65,1,0.6505722403526306,0.6104981899261475,0.5857762098312378,0.5870947241783142,0.6674364805221558
Race: White,1,0.6930602788925171,0.639727771282196,0.6369191408157349,0.6343074440956116,0.6357856392860413
Race: Black,1,0.6614212989807129,0.5911391973495483,0.564860463142395,0.5674358606338501,0.7067510485649109
Race: Other,1,0.628424882888794,0.6179272532463074,0.6179272532463074,0.6179272532463074,0.6476964950561523
Overall,2,0.6841397285461426,0.6310306787490845,0.6218845248222351,0.6231649518013,0.6461055874824524
Gender: Male,2,0.7053616046905518,0.635927677154541,0.632522702217102,0.6337143182754517,0.6518375277519226
Gender: Female,2,0.6586364507675171,0.6280568242073059,0.6111081838607788,0.609785795211792,0.6393628716468811
Age: <40,2,0.6612298488616943,0.60829758644104,0.6082156896591187,0.6079118251800537,0.6079365015029907
Age: 40-50,2,0.705512285232544,0.6414443254470825,0.6211129426956177,0.6174706220626831,0.6423690319061279
Age: 50-65,2,0.6508638858795166,0.6180664300918579,0.6032496690750122,0.6070140600204468,0.6765403151512146
Race: White,2,0.6777896881103516,0.6229262351989746,0.6191822290420532,0.6175001263618469,0.6214421391487122
Race: Black,2,0.6747193336486816,0.6082251071929932,0.5877193212509155,0.5923076868057251,0.698113203048706
Race: Other,2,0.6365932822227478,0.6121786832809448,0.6071316003799438,0.6087123155593872,0.6413373947143555
Overall,3,0.6632200479507446,0.6108055114746094,0.6018985509872437,0.6033288240432739,0.6370143294334412
Gender: Male,3,0.6837862133979797,0.618759036064148,0.6141909956932068,0.6154428124427795,0.6371490359306335
