group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.7159003019332886,0.6496169567108154,0.6233923435211182,0.6200637817382812,0.6520618796348572
Gender: Male,0,0.726818323135376,0.6521033048629761,0.6386159658432007,0.6355224847793579,0.6479750871658325
Gender: Female,0,0.695899486541748,0.6391817331314087,0.598631739616394,0.5928682088851929,0.6560900807380676
Age: <40,0,0.6627460718154907,0.6307979822158813,0.6196992993354797,0.6068450808525085,0.6130081415176392
Age: 40-50,0,0.7674297094345093,0.7087033987045288,0.6695702075958252,0.6644598245620728,0.6881287693977356
Age: 50-65,0,0.7002358436584473,0.606080949306488,0.5827857255935669,0.5832422971725464,0.6594202518463135
Race: White,0,0.715721845626831,0.6333631873130798,0.6238446235656738,0.6149323582649231,0.6207224130630493
Race: Black,0,0.6277040243148804,0.5905174016952515,0.5448063015937805,0.5360825061798096,0.7125000357627869
Race: Other,0,0.6976586580276489,0.6472816467285156,0.6187804937362671,0.6180708408355713,0.6617647409439087
Overall,1,0.7035245895385742,0.6512222290039062,0.632639467716217,0.6327847242355347,0.6594650149345398
Gender: Male,1,0.7110004425048828,0.6456484794616699,0.6376727819442749,0.6370649337768555,0.646934449672699
Gender: Female,1,0.6881786584854126,0.6519903540611267,0.6192530393600464,0.6196239590644836,0.671342670917511
Age: <40,1,0.7161885499954224,0.6801838874816895,0.6777904629707336,0.6732586622238159,0.6736842393875122
Age: 40-50,1,0.715933084487915,0.6853024959564209,0.6591987609863281,0.6597591638565063,0.6852300763130188
Age: 50-65,1,0.6646406650543213,0.5639553070068359,0.548719584941864,0.545491635799408,0.6362586617469788
Race: White,1,0.6970539093017578,0.632806658744812,0.6273887753486633,0.6224908232688904,0.6257947683334351
Race: Black,1,0.6981618404388428,0.6890214681625366,0.5993431806564331,0.6073530316352844,0.7573839426040649
Race: Other,1,0.6066012382507324,0.5921136736869812,0.5827227234840393,0.5841021537780762,0.6341463327407837
Overall,2,0.6902052164077759,0.6247024536132812,0.6077654361724854,0.6070414185523987,0.6403554677963257
Gender: Male,2,0.7153581380844116,0.6245435476303101,0.6158124804496765,0.6172271966934204,0.6431334614753723
Gender: Female,2,0.6597037315368652,0.6298807859420776,0.6002867221832275,0.5934432148933411,0.6370875835418701
Age: <40,2,0.6660282015800476,0.6306484937667847,0.6240423321723938,0.6180300712585449,0.6222222447395325
Age: 40-50,2,0.7341047525405884,0.687787652015686,0.6527982354164124,0.6489819288253784,0.6765376329421997
Age: 50-65,2,0.660774827003479,0.5590073466300964,0.5495166778564453,0.5494078993797302,0.6350710988044739
Race: White,2,0.6743161678314209,0.6060225963592529,0.6004114747047424,0.59670090675354,0.6034155488014221
Race: Black,2,0.7020175457000732,0.6374696493148804,0.5785964727401733,0.5798165202140808,0.7226415276527405
Race: Other,2,0.6103875637054443,0.5882978439331055,0.5769792795181274,0.5771340727806091,0.6261398196220398
Overall,3,0.6793728470802307,0.6206091642379761,0.6051955819129944,0.6062709093093872,0.646727979183197
Gender: Male,3,0.7089288234710693,0.6419609785079956,0.6357834935188293,0.6375374794006348,0.6587472558021545
Gender: Female,3,0.6469966173171997,0.5966452360153198,0.5739267468452454,0.5701125860214233,0.635922372341156
Age: <40,3,0.6593683958053589,0.6084926724433899,0.6043808460235596,0.6036388278007507,0.6115326285362244
Age: 40-50,3,0.7414944767951965,0.7190701961517334,0.6767045259475708,0.6860865354537964,0.739130437374115
Age: 50-65,3,0.6378710865974426,0.5523256063461304,0.5418847799301147,0.5385624170303345,0.6169406175613403
Race: White,3,0.6632288694381714,0.6042399406433105,0.5997110605239868,0.5985163450241089,0.6069745421409607
Race: Black,3,0.6358539462089539,0.5661803483963013,0.5358682870864868,0.5321310758590698,0.7392197251319885
Race: Other,3,0.640522837638855,0.6035549640655518,0.584967315196991,0.5842593312263489,0.6397058963775635
Overall,4,0.6839300394058228,0.6317896842956543,0.6172298789024353,0.617059051990509,0.6435185074806213
Gender: Male,4,0.702336847782135,0.6355359554290771,0.6293917298316956,0.6306758522987366,0.6480162739753723
Gender: Female,4,0.6645719408988953,0.6312565803527832,0.6053920984268188,0.6005029082298279,0.6389178037643433
Age: <40,4,0.6498186588287354,0.6363736391067505,0.6334599256515503,0.6333963871002197,0.6378298997879028
Age: 40-50,4,0.7321107387542725,0.6941432952880859,0.6678677201271057,0.6662049293518066,0.6857143044471741
Age: 50-65,4,0.67403244972229,0.5712102651596069,0.5553098917007446,0.5513153672218323,0.624535322189331
Race: White,4,0.6864628791809082,0.6272494792938232,0.6231203079223633,0.6216479539871216,0.6261342763900757
Race: Black,4,0.631533145904541,0.5605846047401428,0.5336021184921265,0.5275450944900513,0.717131495475769
Race: Other,4,0.5983182191848755,0.5915548801422119,0.5797109007835388,0.5714194774627686,0.5911765098571777
Overall,5,0.689417839050293,0.6317273378372192,0.6132442951202393,0.6107243299484253,0.6386088728904724
Gender: Male,5,0.691731333732605,0.6306185126304626,0.6222144365310669,0.6220548152923584,0.6367389559745789
Gender: Female,5,0.6878452301025391,0.6343520879745483,0.6021286249160767,0.5949432849884033,0.6403940916061401
Age: <40,5,0.6556757688522339,0.6241598129272461,0.6185368299484253,0.6160678863525391,0.6220095753669739
Age: 40-50,5,0.7574531435966492,0.7178325653076172,0.6807448863983154,0.6727310419082642,0.6902485489845276
Age: 50-65,5,0.6608450412750244,0.5643848776817322,0.550814151763916,0.5469033122062683,0.6187050342559814
Race: White,5,0.6876997947692871,0.6275779008865356,0.6216393709182739,0.6209009885787964,0.6298200488090515
Race: Black,5,0.6854455471038818,0.6321471929550171,0.5583744049072266,0.545147180557251,0.7037037014961243
Race: Other,5,0.6341471076011658,0.5989328622817993,0.5801697969436646,0.5613430738449097,0.583798885345459
Overall,6,0.7067090272903442,0.6411052942276001,0.6206048130989075,0.6201950311660767,0.653148353099823
Gender: Male,6,0.7156283855438232,0.6391053795814514,0.6301169395446777,0.6301470398902893,0.644518256187439
Gender: Female,6,0.6892663240432739,0.6400206089019775,0.6046050190925598,0.6021507978439331,0.6611740589141846
Age: <40,6,0.6321923732757568,0.605492353439331,0.6002333164215088,0.5990784764289856,0.6093023419380188
Age: 40-50,6,0.7922383546829224,0.7220898866653442,0.6938951015472412,0.6900935173034668,0.7036247253417969
Age: 50-65,6,0.7003735303878784,0.5960041284561157,0.5691034197807312,0.5668123960494995,0.6592105627059937
Race: White,6,0.6456724405288696,0.5926713943481445,0.5890240669250488,0.5849989056587219,0.5891238451004028
Race: Black,6,0.6965136528015137,0.5914854407310486,0.5565217733383179,0.5616307854652405,0.7736625075340271
Race: Other,6,0.7228499054908752,0.695732831954956,0.6469586491584778,0.6348739862442017,0.6658228039741516
Overall,7,0.7146127223968506,0.6453555822372437,0.6272112727165222,0.629381537437439,0.6659929156303406
Gender: Male,7,0.7138592004776001,0.6461421847343445,0.6372735500335693,0.6379038691520691,0.6526196002960205
Gender: Female,7,0.707319974899292,0.6376135349273682,0.6106391549110413,0.6135227084159851,0.6766576170921326
Age: <40,7,0.6896904706954956,0.6532675623893738,0.6478465795516968,0.6487849950790405,0.6591548919677734
Age: 40-50,7,0.7520743608474731,0.6946395635604858,0.6661992073059082,0.6658531427383423,0.6892778873443604
Age: 50-65,7,0.7084437608718872,0.5837754607200623,0.5641258358955383,0.5638497471809387,0.6588670015335083
Race: White,7,0.7020496129989624,0.6294184923171997,0.6241156458854675,0.622915506362915,0.6295238137245178
Race: Black,7,0.7004523277282715,0.6376304030418396,0.588462769985199,0.5953894853591919,0.740667998790741
Race: Other,7,0.661492109298706,0.6173757314682007,0.5922256708145142,0.5936869382858276,0.6666666865348816
Overall,8,0.6862286925315857,0.622832179069519,0.613516628742218,0.614702045917511,0.6406487822532654
Gender: Male,8,0.6906466484069824,0.6250439882278442,0.6248482465744019,0.6249434947967529,0.6381909251213074
Gender: Female,8,0.6819115877151489,0.6258236169815063,0.6014959812164307,0.5988501310348511,0.6431492567062378
Age: <40,8,0.6404918432235718,0.6016263961791992,0.5979294776916504,0.5957619547843933,0.6008523106575012
Age: 40-50,8,0.7738611698150635,0.7211004495620728,0.7037841081619263,0.7070962190628052,0.7232558131217957
Age: 50-65,8,0.6616133451461792,0.5690761804580688,0.5621523261070251,0.5633277893066406,0.6317043900489807
Race: White,8,0.6495064496994019,0.5872039794921875,0.5866230726242065,0.5864523649215698,0.5879170298576355
Race: Black,8,0.6744165420532227,0.619501531124115,0.571343183517456,0.5768061876296997,0.7534790635108948
Race: Other,8,0.6464478969573975,0.6293330192565918,0.6034087538719177,0.6005532741546631,0.6454293727874756
Overall,9,0.672339916229248,0.6293355226516724,0.6112314462661743,0.6091365814208984,0.6384297013282776
Gender: Male,9,0.7077445387840271,0.648257851600647,0.6410483717918396,0.642372727394104,0.6578947305679321
Gender: Female,9,0.6407556533813477,0.6136234998703003,0.5850092768669128,0.574145495891571,0.62109375
Age: <40,9,0.641953706741333,0.6198479533195496,0.614619255065918,0.6123107671737671,0.6182379722595215
Age: 40-50,9,0.7519041299819946,0.7206319570541382,0.6854838728904724,0.6843560338020325,0.7057653665542603
Age: 50-65,9,0.6304384469985962,0.5557462573051453,0.5422314405441284,0.5354384779930115,0.6119592785835266
Race: White,9,0.6686183214187622,0.6258338689804077,0.620396077632904,0.6168464422225952,0.6213873028755188
Race: Black,9,0.635048508644104,0.5827111005783081,0.5446121692657471,0.537717342376709,0.7061144113540649
