group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6804773807525635,0.6521871089935303,0.6560393571853638,0.6531198620796204,0.6620000600814819
Gender: Male,0,0.6605244278907776,0.6228278875350952,0.6280890703201294,0.6198854446411133,0.6244813799858093
Gender: Female,0,0.7015840411186218,0.6846096515655518,0.6824685335159302,0.683402419090271,0.6969111561775208
Age: <40,0,0.6764464378356934,0.6477737426757812,0.6456484198570251,0.6386086940765381,0.6389776468276978
Age: 40-50,0,0.7541214823722839,0.701000988483429,0.6907519698143005,0.69295334815979,0.7054263353347778
Age: 50-65,0,0.6269906759262085,0.6223484873771667,0.6289873719215393,0.6242526769638062,0.6526806950569153
Race: White,0,0.675163984298706,0.6621969938278198,0.6634362936019897,0.6601449251174927,0.6604477167129517
Race: Black,0,0.6799043416976929,0.6448310017585754,0.6404306292533875,0.6424798369407654,0.73046875
Race: Other,0,0.6270614862442017,0.5791400074958801,0.5800224542617798,0.5789179801940918,0.5817307829856873
Overall,1,0.6830184459686279,0.6348167061805725,0.6321172714233398,0.6329759359359741,0.6450000405311584
Gender: Male,1,0.6878881454467773,0.6429529190063477,0.6451282501220703,0.6436035633087158,0.6510637998580933
Gender: Female,1,0.6821337342262268,0.6303200721740723,0.6219791769981384,0.622460663318634,0.6396226286888123
Age: <40,1,0.6684677600860596,0.6262658834457397,0.6267086267471313,0.6262128353118896,0.6268656849861145
Age: 40-50,1,0.7743920087814331,0.700475811958313,0.6727941036224365,0.6733232736587524,0.6958333849906921
Age: 50-65,1,0.6440876722335815,0.6074857115745544,0.6066985726356506,0.6070585250854492,0.6305882334709167
Race: White,1,0.6675686836242676,0.6392796039581299,0.6394230723381042,0.6388579607009888,0.6388888955116272
Race: Black,1,0.7099785804748535,0.6145833730697632,0.5909091234207153,0.5972539782524109,0.7272727489471436
Race: Other,1,0.6108508110046387,0.5531796216964722,0.5497240424156189,0.5429782867431641,0.5510203838348389
Overall,2,0.6662428379058838,0.614413857460022,0.6127086877822876,0.6132218837738037,0.6230000257492065
Gender: Male,2,0.6474364995956421,0.593213677406311,0.5937337875366211,0.5934306979179382,0.6041666865348816
Gender: Female,2,0.6891776323318481,0.6354430913925171,0.6310134530067444,0.6314418911933899,0.6403846144676208
Age: <40,2,0.6496841311454773,0.6175570487976074,0.6174384951591492,0.6173109412193298,0.6173913478851318
Age: 40-50,2,0.7892156839370728,0.7089216709136963,0.6849957704544067,0.6874767541885376,0.7083333730697632
Age: 50-65,2,0.5984583497047424,0.5514267683029175,0.5510392189025879,0.5512016415596008,0.5783132910728455
Race: White,2,0.6538318395614624,0.6073319911956787,0.6073412895202637,0.6073347330093384,0.6073943376541138
Race: Black,2,0.6669319272041321,0.5905323028564453,0.5733863711357117,0.5769911408424377,0.6945606470108032
Race: Other,2,0.6109303832054138,0.5740597248077393,0.5725980997085571,0.5725535154342651,0.5803108811378479
Overall,3,0.6873843669891357,0.6372587084770203,0.6343673467636108,0.635208010673523,0.6460000276565552
Gender: Male,3,0.6707003116607666,0.6162093877792358,0.6129626035690308,0.6134343147277832,0.6236786246299744
Gender: Female,3,0.7042704820632935,0.6561656594276428,0.6539718508720398,0.6548172235488892,0.6660341620445251
Age: <40,3,0.6512219309806824,0.606433093547821,0.6067937612533569,0.6062975525856018,0.6068376302719116
Age: 40-50,3,0.750968337059021,0.7026171684265137,0.6799194812774658,0.6820213198661804,0.7025862336158752
Age: 50-65,3,0.6737637519836426,0.6115646362304688,0.6126374006271362,0.6120635867118835,0.6474820375442505
Race: White,3,0.6866928339004517,0.6385477781295776,0.6383946537971497,0.6381939649581909,0.638257622718811
Race: Black,3,0.6731066703796387,0.6024273633956909,0.59770667552948,0.5997284054756165,0.6908397078514099
Race: Other,3,0.628960907459259,0.6002330780029297,0.5950626134872437,0.5948235392570496,0.6095238327980042
Overall,4,0.6743128299713135,0.64853835105896,0.6464444398880005,0.6472663283348083,0.6600000262260437
Gender: Male,4,0.6735274791717529,0.6437978148460388,0.6384122967720032,0.6392914652824402,0.6507936716079712
Gender: Female,4,0.6799345016479492,0.6544756889343262,0.6565849781036377,0.6553454399108887,0.6693547964096069
Age: <40,4,0.6755591630935669,0.6442977786064148,0.6439841985702515,0.6440061330795288,0.6445086598396301
Age: 40-50,4,0.7253491878509521,0.6898320317268372,0.6597545742988586,0.6647011041641235,0.7053571939468384
Age: 50-65,4,0.6304903030395508,0.6162549257278442,0.6165988445281982,0.6164230108261108,0.6488372087478638
Race: White,4,0.6564075946807861,0.6338901519775391,0.6338191032409668,0.633802056312561,0.6338797807693481
Race: Black,4,0.7002556324005127,0.6474757194519043,0.6339151859283447,0.6396446228027344,0.76171875
Race: Other,4,0.5818713903427124,0.5807692408561707,0.5739116668701172,0.5730406641960144,0.6000000238418579
Overall,5,0.6921069025993347,0.6382709741592407,0.6382709741592407,0.6382709741592407,0.6480000019073486
Gender: Male,5,0.6900426745414734,0.6362690925598145,0.6397227048873901,0.6360220909118652,0.6405919790267944
Gender: Female,5,0.6975127458572388,0.6433734893798828,0.6372549533843994,0.6386168003082275,0.6546489596366882
Age: <40,5,0.6716452836990356,0.620625376701355,0.618851900100708,0.6172181367874146,0.6184970736503601
Age: 40-50,5,0.7766174077987671,0.6935446858406067,0.6718093156814575,0.6750462055206299,0.7004048824310303
Age: 50-65,5,0.6430376768112183,0.6098377704620361,0.6105027198791504,0.6101532578468323,0.6412776112556458
Race: White,5,0.6842860579490662,0.6432056427001953,0.6432174444198608,0.6432093381881714,0.6432532668113708
Race: Black,5,0.697163462638855,0.6318129301071167,0.6329364776611328,0.6323607563972473,0.7049808502197266
Race: Other,5,0.6433358192443848,0.5667060613632202,0.5661100149154663,0.5663461685180664,0.5858585834503174
Overall,6,0.7000908851623535,0.660910964012146,0.6603937149047852,0.6606349945068359,0.6690000295639038
Gender: Male,6,0.7006882429122925,0.6565649509429932,0.6551216840744019,0.6556712985038757,0.6626984477043152
Gender: Female,6,0.6992344856262207,0.6652541756629944,0.6659616231918335,0.6655820608139038,0.6754031777381897
Age: <40,6,0.6519010066986084,0.6223683953285217,0.6216123104095459,0.619748592376709,0.6200000047683716
Age: 40-50,6,0.7831709384918213,0.7316879034042358,0.7174463868141174,0.7185131311416626,0.7269076108932495
Age: 50-65,6,0.6752591133117676,0.6431790590286255,0.6412575244903564,0.6421412229537964,0.6758105158805847
Race: White,6,0.6787061095237732,0.6660851836204529,0.6660404205322266,0.6660269498825073,0.6660550236701965
Race: Black,6,0.7440909147262573,0.6633540987968445,0.6649999618530273,0.6641603708267212,0.7481203079223633
Race: Other,6,0.6143665313720703,0.5582455992698669,0.5563348531723022,0.5556765794754028,0.5661375522613525
Overall,7,0.6482734680175781,0.6097477674484253,0.6123321652412415,0.610491156578064,0.625
Gender: Male,7,0.6372010707855225,0.59605872631073,0.5999197363853455,0.5953447222709656,0.6040816307067871
Gender: Female,7,0.6619653701782227,0.6243196725845337,0.6235863566398621,0.6239290237426758,0.645098090171814
Age: <40,7,0.6255109310150146,0.610170304775238,0.6100032925605774,0.6074369549751282,0.6074498891830444
Age: 40-50,7,0.7132436633110046,0.6596264839172363,0.6358844041824341,0.6379645466804504,0.6752767562866211
Age: 50-65,7,0.6087785959243774,0.5719457268714905,0.58099365234375,0.5705761909484863,0.6052631735801697
Race: White,7,0.6264165639877319,0.6049836874008179,0.6060347557067871,0.604109525680542,0.6051660776138306
Race: Black,7,0.6889582872390747,0.6102601289749146,0.6055165529251099,0.6076207160949707,0.707317054271698
Race: Other,7,0.5961538553237915,0.5636703968048096,0.5653846263885498,0.563876748085022,0.5801886916160583
