group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6767513751983643,0.6249630451202393,0.6195716857910156,0.6209865212440491,0.6430000066757202
Gender: Male,0,0.6498922109603882,0.6039716005325317,0.6053161025047302,0.6044669151306152,0.6182572841644287
Gender: Female,0,0.7058112621307373,0.651406466960907,0.6333519220352173,0.6350077390670776,0.6660231351852417
Age: <40,0,0.6548323631286621,0.6059911251068115,0.6064267158508301,0.603732705116272,0.6038338541984558
Age: 40-50,0,0.7378194332122803,0.7314814925193787,0.6562787294387817,0.6480704545974731,0.6937984228134155
Age: 50-65,0,0.6484825611114502,0.5973060131072998,0.5952853560447693,0.5961538553237915,0.6410256624221802
Race: White,0,0.6613856554031372,0.6277264952659607,0.6280565857887268,0.6278560757637024,0.6305969953536987
Race: Black,0,0.6926634311676025,0.6078842878341675,0.5758373141288757,0.5805699825286865,0.72265625
Race: Other,0,0.6086956858634949,0.5650103092193604,0.558845579624176,0.5551667213439941,0.5769230723381042
Overall,1,0.6678098440170288,0.5990522503852844,0.5953185558319092,0.5958333015441895,0.612000048160553
Gender: Male,1,0.6665734052658081,0.6128008365631104,0.6132867336273193,0.6130175590515137,0.6234042644500732
Gender: Female,1,0.6718223094940186,0.5885578393936157,0.580806314945221,0.5792242288589478,0.6018868088722229
Age: <40,1,0.6396263837814331,0.573317289352417,0.5720317363739014,0.5664069056510925,0.5671641826629639
Age: 40-50,1,0.712598979473114,0.6435897350311279,0.589083731174469,0.5669012069702148,0.6291667222976685
Age: 50-65,1,0.6752569675445557,0.6098997592926025,0.6029197573661804,0.604522168636322,0.6376470327377319
Race: White,1,0.6403708457946777,0.5922266244888306,0.5923076868057251,0.5922346115112305,0.5925925970077515
Race: Black,1,0.6611570119857788,0.47876447439193726,0.4848484694957733,0.4761904776096344,0.6590909361839294
Race: Other,1,0.6207435131072998,0.6089013814926147,0.6006456017494202,0.59375,0.6020408272743225
Overall,2,0.6755224466323853,0.611109733581543,0.6067911982536316,0.6072665452957153,0.6210000514984131
Gender: Male,2,0.6653194427490234,0.6230904459953308,0.6237772703170776,0.623388409614563,0.6333333849906921
Gender: Female,2,0.6902095079421997,0.6035383343696594,0.5942561030387878,0.5916740894317627,0.6096153855323792
Age: <40,2,0.6880629062652588,0.6198123693466187,0.6175897121429443,0.6156832575798035,0.6173913478851318
Age: 40-50,2,0.7654873132705688,0.7442716360092163,0.6696504950523376,0.6653653383255005,0.7083333730697632
Age: 50-65,2,0.6098606586456299,0.5352076888084412,0.5325198173522949,0.5316833257675171,0.573494017124176
Race: White,2,0.6673487424850464,0.6180826425552368,0.617460310459137,0.6172162294387817,0.6179577112197876
