group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.7052727937698364,0.6574465036392212,0.6532386541366577,0.6544073820114136,0.665463924407959
Gender: Male,0,0.7194888591766357,0.6831282377243042,0.6763742566108704,0.6764369010925293,0.6822430491447449
Gender: Female,0,0.6893483400344849,0.6308620572090149,0.6302344799041748,0.6305301189422607,0.648925244808197
Age: <40,0,0.6833449602127075,0.64888596534729,0.6486903429031372,0.6471395492553711,0.6471544504165649
Age: 40-50,0,0.7254188060760498,0.6359233856201172,0.62601637840271,0.6246853470802307,0.6378269195556641
Age: 50-65,0,0.694704532623291,0.6641383171081543,0.6662595272064209,0.6651238203048706,0.695652186870575
Race: White,0,0.6887593269348145,0.6434406638145447,0.6435023546218872,0.6434429883956909,0.6435360908508301
Race: Black,0,0.6634002923965454,0.589448869228363,0.5548130869865417,0.5530873537063599,0.706250011920929
Race: Other,0,0.6837360858917236,0.6601174473762512,0.6597846746444702,0.6599467396736145,0.6740196347236633
Overall,1,0.7257270812988281,0.6665827631950378,0.6666934490203857,0.6666373610496521,0.6748970746994019
Gender: Male,1,0.7358465790748596,0.664907693862915,0.6651785373687744,0.6650242805480957,0.6670190095901489
Gender: Female,1,0.7094529867172241,0.6643036007881165,0.6638164520263672,0.6640533208847046,0.6823647618293762
Age: <40,1,0.7444154024124146,0.6907627582550049,0.6898488402366638,0.6901147961616516,0.6917293071746826
Age: 40-50,1,0.6934934854507446,0.6314476728439331,0.6263425350189209,0.6273108720779419,0.6416465044021606
Age: 50-65,1,0.7006484270095825,0.6411394476890564,0.6436724662780762,0.6422796249389648,0.6778290867805481
Race: White,1,0.7215077877044678,0.6682828664779663,0.666906476020813,0.6666175723075867,0.667574942111969
Race: Black,1,0.6463692784309387,0.5807421207427979,0.553297758102417,0.5531313419342041,0.7046413421630859
Race: Other,1,0.6771696209907532,0.6357786655426025,0.6411685943603516,0.6374454498291016,0.6585366129875183
Overall,2,0.700006365776062,0.6450995206832886,0.6428086161613464,0.643694281578064,0.6576058268547058
Gender: Male,2,0.7059800624847412,0.6501731872558594,0.6485406160354614,0.6492451429367065,0.6644100546836853
Gender: Female,2,0.6910210847854614,0.6390753984451294,0.6361864805221558,0.6371234655380249,0.6496018171310425
Age: <40,2,0.6920967102050781,0.6432534456253052,0.6431452035903931,0.6428346633911133,0.6428571343421936
Age: 40-50,2,0.7405848503112793,0.6829901933670044,0.6727645397186279,0.673995852470398,0.6856492161750793
Age: 50-65,2,0.6657111644744873,0.6068246960639954,0.6088158488273621,0.6077142953872681,0.6540284752845764
Race: White,2,0.6785067319869995,0.6428921222686768,0.6428442597389221,0.6423120498657227,0.6423149704933167
Race: Black,2,0.7178947329521179,0.5959308743476868,0.558070182800293,0.5557183027267456,0.701886773109436
Race: Other,2,0.6476438045501709,0.6133139133453369,0.615380048751831,0.6141215562820435,0.6352583765983582
Overall,3,0.6801770925521851,0.6302959322929382,0.6301684975624084,0.630231499671936,0.6492842435836792
Gender: Male,3,0.6908866167068481,0.6513028144836426,0.6487919092178345,0.6498069763183594,0.6663066744804382
Gender: Female,3,0.669089674949646,0.611731767654419,0.6133701205253601,0.6124074459075928,0.6339805722236633
Age: <40,3,0.6898305416107178,0.6370642185211182,0.637292742729187,0.6371548175811768,0.638846755027771
Age: 40-50,3,0.7081611156463623,0.6447043418884277,0.6443182229995728,0.6445082426071167,0.6778656244277954
Age: 50-65,3,0.6438792943954468,0.6022743582725525,0.6013965010643005,0.6018069386482239,0.6396965980529785
Race: White,3,0.649544358253479,0.6091219186782837,0.6095638275146484,0.607763409614563,0.607917070388794
Race: Black,3,0.6095696687698364,0.5663532018661499,0.5395581722259521,0.5382189750671387,0.7351129651069641
Race: Other,3,0.6787902116775513,0.6304651498794556,0.6294118165969849,0.6298998594284058,0.654411792755127
Overall,4,0.6868090629577637,0.6446179151535034,0.644568681716919,0.6445931196212769,0.6538065671920776
Gender: Male,4,0.6855020523071289,0.6464264392852783,0.6476418972015381,0.6469157934188843,0.6551373600959778
Gender: Female,4,0.6894110441207886,0.6430185437202454,0.6415701508522034,0.6421502828598022,0.652445375919342
Age: <40,4,0.670364260673523,0.639207124710083,0.6397358179092407,0.6389204263687134,0.6392961740493774
Age: 40-50,4,0.7079133987426758,0.6529303789138794,0.6483966112136841,0.649072527885437,0.6571428775787354
Age: 50-65,4,0.6787205934524536,0.6365951299667358,0.636796772480011,0.6366948485374451,0.6641883850097656
Race: White,4,0.664199948310852,0.6316438913345337,0.6311403512954712,0.6296420693397522,0.6297640800476074
Race: Black,4,0.6778355836868286,0.6121149063110352,0.5803183317184448,0.5862510800361633,0.7310757040977478
Race: Other,4,0.6340039372444153,0.6153846383094788,0.6133639216423035,0.6133118867874146,0.6176470518112183
Overall,5,0.6693757772445679,0.6240442991256714,0.6212472319602966,0.621962308883667,0.6330645084381104
Gender: Male,5,0.6817722320556641,0.6377986073493958,0.6375200748443604,0.6376481652259827,0.6429308652877808
Gender: Female,5,0.6530325412750244,0.6097927093505859,0.6039379835128784,0.6045572757720947,0.6236453652381897
Age: <40,5,0.6408243179321289,0.6102693676948547,0.6100873947143555,0.6101223230361938,0.6108452677726746
Age: 40-50,5,0.6944420337677002,0.62701416015625,0.6166930198669434,0.6123520731925964,0.6233269572257996
Age: 50-65,5,0.6649404764175415,0.6284388899803162,0.629338264465332,0.6288626194000244,0.6558753252029419
Race: White,5,0.6679540872573853,0.6332108974456787,0.6339738368988037,0.6320784091949463,0.6323907375335693
Race: Black,5,0.6912897229194641,0.5929824709892273,0.5498432517051697,0.5397214293479919,0.6862744688987732
Race: Other,5,0.5803883075714111,0.5691579580307007,0.5649974942207336,0.559445858001709,0.5670390725135803
Overall,6,0.7020854949951172,0.6549883484840393,0.6509112119674683,0.6522694826126099,0.6670224070549011
Gender: Male,6,0.7044943571090698,0.6570077538490295,0.6553884744644165,0.6559569835662842,0.6622369885444641
Gender: Female,6,0.6926925182342529,0.6502254605293274,0.6429429054260254,0.64524906873703,0.6714727282524109
Age: <40,6,0.6583675146102905,0.6336634159088135,0.6340799927711487,0.6337963342666626,0.6356589198112488
Age: 40-50,6,0.7151693105697632,0.638922929763794,0.6241607069969177,0.618915319442749,0.6332622766494751
Age: 50-65,6,0.7259114980697632,0.6803145408630371,0.6799665093421936,0.6801390647888184,0.7144737243652344
Race: White,6,0.6576880216598511,0.6224756836891174,0.6223713159561157,0.6222814321517944,0.6223564743995667
Race: Black,6,0.6750571727752686,0.5913150310516357,0.5619329810142517,0.567903995513916,0.7695472836494446
