group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6828755140304565,0.6256612539291382,0.5993863344192505,0.5962180495262146,0.6440000534057617
Gender: Male,0,0.6703304648399353,0.6065791845321655,0.5892600417137146,0.5874954462051392,0.6307054162025452
Gender: Female,0,0.6952818632125854,0.6465432643890381,0.6090026497840881,0.6042407155036926,0.6563706398010254
Age: <40,0,0.6443540453910828,0.6166024804115295,0.6119740009307861,0.6114153861999512,0.6198083162307739
Age: 40-50,0,0.723049521446228,0.7045396566390991,0.6471778154373169,0.6403264403343201,0.6821705102920532
Age: 50-65,0,0.6731206774711609,0.5590656995773315,0.5371508598327637,0.524835467338562,0.6386946439743042
Race: White,0,0.6879169940948486,0.630075216293335,0.6154159307479858,0.6117817163467407,0.6305969953536987
Race: Black,0,0.6726475358009338,0.5758145451545715,0.538596510887146,0.5308969020843506,0.71875
Race: Other,0,0.6005434989929199,0.5769230723381042,0.5584707856178284,0.5433006286621094,0.5865384936332703
Overall,1,0.6644172668457031,0.5903596878051758,0.5677200555801392,0.5558581352233887,0.6060000061988831
Gender: Male,1,0.6787319183349609,0.5880618095397949,0.5662471055984497,0.55572909116745,0.6085106134414673
Gender: Female,1,0.6530441045761108,0.5923701524734497,0.5690281391143799,0.5559084415435791,0.6037735939025879
Age: <40,1,0.6449223160743713,0.606965184211731,0.6030917167663574,0.6020908355712891,0.6089552044868469
Age: 40-50,1,0.6435238122940063,0.5488346815109253,0.5342194437980652,0.5125318169593811,0.5708333849906921
Age: 50-65,1,0.6885650157928467,0.5786662697792053,0.5369901061058044,0.503446638584137,0.6235293745994568
Race: White,1,0.635357141494751,0.573924720287323,0.5634615421295166,0.5510578155517578,0.5703703761100769
Race: Black,1,0.6767677068710327,0.559393584728241,0.5328282713890076,0.5263950824737549,0.7159091234207153
Race: Other,1,0.6514631509780884,0.5790043473243713,0.5532125234603882,0.5151135921478271,0.5561224222183228
Overall,2,0.6870843172073364,0.6384326219558716,0.6124804019927979,0.6072858572006226,0.6410000324249268
Gender: Male,2,0.6781237125396729,0.6413043737411499,0.6192618012428284,0.6181966066360474,0.6520833969116211
Gender: Female,2,0.6971333026885986,0.6368279457092285,0.6073634028434753,0.5972569584846497,0.6307692527770996
Age: <40,2,0.6939104795455933,0.6655164361000061,0.66361403465271,0.6627452373504639,0.6637681126594543
Age: 40-50,2,0.7643506526947021,0.707446813583374,0.6440750360488892,0.6366823315620422,0.6833333969116211
Age: 50-65,2,0.6126188039779663,0.5324202179908752,0.5190612077713013,0.4936842918395996,0.5975903868675232
Race: White,2,0.6809276342391968,0.6334869861602783,0.6191964149475098,0.6101080775260925,0.6214788556098938
Race: Black,2,0.6823165416717529,0.5847778916358948,0.5415119528770447,0.5317318439483643,0.7112970352172852
Race: Other,2,0.6224246025085449,0.6091315746307373,0.5926588773727417,0.5857776403427124,0.6113989353179932
Overall,3,0.6786564588546753,0.6157515048980713,0.5904600620269775,0.5820542573928833,0.6230000257492065
Gender: Male,3,0.7008345127105713,0.6138432621955872,0.5907565355300903,0.5817328691482544,0.6173361539840698
Gender: Female,3,0.6589477062225342,0.6171543598175049,0.5898692607879639,0.5819897651672363,0.6280834674835205
Age: <40,3,0.6523948907852173,0.6343610882759094,0.6317692995071411,0.6260035037994385,0.62678062915802
Age: 40-50,3,0.6559580564498901,0.559374988079071,0.5346320271492004,0.5018483400344849,0.5818965435028076
Age: 50-65,3,0.6773504018783569,0.570964515209198,0.54334557056427,0.5302669405937195,0.6426858901977539
Race: White,3,0.6453538537025452,0.6067049503326416,0.5959076881408691,0.5846798419952393,0.5946969985961914
Race: Black,3,0.7219969034194946,0.5802870988845825,0.5400044322013855,0.5303773283958435,0.7099236845970154
Race: Other,3,0.627487063407898,0.5736468434333801,0.5535187721252441,0.5355753898620605,0.5857142806053162
Overall,4,0.701670229434967,0.6480000019073486,0.6143839359283447,0.6099668145179749,0.6540000438690186
Gender: Male,4,0.6927016973495483,0.6069655418395996,0.584475040435791,0.5749410390853882,0.6130952835083008
Gender: Female,4,0.7143954038619995,0.6914845705032349,0.6449272632598877,0.6463683843612671,0.6955645084381104
Age: <40,4,0.6794704794883728,0.6245423555374146,0.6182763576507568,0.6116329431533813,0.6156069040298462
Age: 40-50,4,0.7385526895523071,0.7210636138916016,0.6695725917816162,0.6753623485565186,0.723214328289032
Age: 50-65,4,0.6574450731277466,0.5904805660247803,0.549507737159729,0.5317829847335815,0.6488372087478638
Race: White,4,0.6714444756507874,0.6273501515388489,0.6147077679634094,0.6043592691421509,0.6138433218002319
Race: Black,4,0.7527990341186523,0.654347836971283,0.5813717842102051,0.5901929140090942,0.77734375
Race: Other,4,0.6329867839813232,0.5859538912773132,0.5532813668251038,0.5299145579338074,0.6051282286643982
Overall,5,0.6697865724563599,0.6054545640945435,0.5864244699478149,0.5815626978874207,0.6210000514984131
Gender: Male,5,0.6798352003097534,0.6000272035598755,0.587830126285553,0.5860686898231506,0.6173361539840698
