group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6766639947891235,0.6476342082023621,0.6494240164756775,0.6483520269393921,0.6600000262260437
Gender: Male,0,0.6772629022598267,0.6560261249542236,0.6627514362335205,0.6521519422531128,0.6556016802787781
Gender: Female,0,0.6796271204948425,0.6483964920043945,0.6379275321960449,0.6400018930435181,0.6640926599502563
Age: <40,0,0.6608316898345947,0.6380136013031006,0.6385806798934937,0.6356897354125977,0.6357827186584473
Age: 40-50,0,0.733039140701294,0.6882716417312622,0.6794447898864746,0.6813470125198364,0.6937984228134155
Age: 50-65,0,0.6354615688323975,0.6234076619148254,0.6275473237037659,0.6249933242797852,0.6573426723480225
Race: White,0,0.6844056844711304,0.656551718711853,0.6566594839096069,0.6511181592941284,0.6511194109916687
Race: Black,0,0.6290271282196045,0.5853009223937988,0.5818182229995728,0.5833333730697632,0.6875
Race: Other,0,0.6401799321174622,0.6495347619056702,0.6279984712600708,0.6246693730354309,0.6490384936332703
Overall,1,0.6675106883049011,0.6239068508148193,0.6246379613876343,0.6242075562477112,0.6320000290870667
Gender: Male,1,0.7014638185501099,0.6290723085403442,0.6329137682914734,0.6268070936203003,0.6297872066497803
Gender: Female,1,0.6455501317977905,0.6243181824684143,0.6191617250442505,0.6198834776878357,0.6339622735977173
Age: <40,1,0.6302154064178467,0.5681982040405273,0.5677198767662048,0.5639887452125549,0.5641791224479675
Age: 40-50,1,0.7026301026344299,0.689984917640686,0.6875,0.6884281039237976,0.6958333849906921
Age: 50-65,1,0.6655400991439819,0.6250729560852051,0.6207224130630493,0.6222312450408936,0.6494117379188538
Race: White,1,0.6573764085769653,0.6218845844268799,0.6195055246353149,0.6155579090118408,0.6166666746139526
Race: Black,1,0.6570247411727905,0.6046319007873535,0.6161616444587708,0.6085069179534912,0.689393937587738
Race: Other,1,0.6581276655197144,0.6311594247817993,0.5942413806915283,0.5651416778564453,0.5969387888908386
Overall,2,0.6986380219459534,0.6563452482223511,0.6572933197021484,0.6567217111587524,0.6620000600814819
Gender: Male,2,0.7244406938552856,0.6918386220932007,0.6974820494651794,0.6879240274429321,0.6895833611488342
Gender: Female,2,0.6867102384567261,0.6316425204277039,0.6255103349685669,0.6255700588226318,0.6365384459495544
Age: <40,2,0.7175359725952148,0.670307993888855,0.6668739318847656,0.6650457382202148,0.6666666865348816
Age: 40-50,2,0.7722364664077759,0.7365199327468872,0.7306052446365356,0.7326817512512207,0.7416667342185974
Age: 50-65,2,0.6228882074356079,0.5867010951042175,0.5855907797813416,0.5860515832901001,0.6120482087135315
Race: White,2,0.6983010768890381,0.6694692373275757,0.6664682626724243,0.6642900705337524,0.6654929518699646
Race: Black,2,0.6494252681732178,0.5755255222320557,0.566710889339447,0.5692282319068909,0.6778242588043213
Race: Other,2,0.6694859862327576,0.6288235187530518,0.6187378168106079,0.6172881126403809,0.6321243643760681
Overall,3,0.7051995992660522,0.6403540968894958,0.6410399675369263,0.6406433582305908,0.6470000147819519
Gender: Male,3,0.7207728624343872,0.6658352613449097,0.6682783365249634,0.6647015810012817,0.6659619212150574
Gender: Female,3,0.6891283988952637,0.6175628304481506,0.6141277551651001,0.6149868965148926,0.6299810409545898
Age: <40,3,0.7153795957565308,0.642307698726654,0.641055703163147,0.6412539482116699,0.6438746452331543
Age: 40-50,3,0.7125389575958252,0.6417701840400696,0.6386800408363342,0.6396064758300781,0.6508620381355286
Age: 50-65,3,0.6590354442596436,0.6134541630744934,0.6159188151359558,0.6144838333129883,0.6474820375442505
Race: White,3,0.6943551301956177,0.6481481790542603,0.6432589292526245,0.6407175064086914,0.6439394354820251
Race: Black,3,0.6877810955047607,0.5851273536682129,0.5828109979629517,0.5838549733161926,0.6755725145339966
Race: Other,3,0.6695836782455444,0.6142241358757019,0.5927597880363464,0.585185170173645,0.6190476417541504
Overall,4,0.7347034811973572,0.6772181987762451,0.6765717267990112,0.6768769025802612,0.687000036239624
Gender: Male,4,0.7169974446296692,0.6578589677810669,0.6600191593170166,0.6579878330230713,0.660714328289032
Gender: Female,4,0.7484297752380371,0.6991699934005737,0.688400387763977,0.6918877363204956,0.7137096524238586
Age: <40,4,0.7473673820495605,0.676142692565918,0.6758599877357483,0.6759107112884521,0.676300585269928
Age: 40-50,4,0.8104104995727539,0.7346110343933105,0.7300042510032654,0.7320345044136047,0.7500000596046448
Age: 50-65,4,0.6576107740402222,0.6293959617614746,0.6273901462554932,0.6282916069030762,0.6627907156944275
Race: White,4,0.6837606430053711,0.6550672054290771,0.6516961455345154,0.6500465869903564,0.6520947217941284
Race: Black,4,0.7941461801528931,0.7087991237640381,0.6778188943862915,0.6900800466537476,0.80078125
Race: Other,4,0.7195148468017578,0.6252126097679138,0.595678985118866,0.5887908935546875,0.6358974575996399
