group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6930681467056274,0.6374832391738892,0.6380302309989929,0.637722373008728,0.6443299055099487
Gender: Male,0,0.700415849685669,0.6469308137893677,0.6474463939666748,0.6457744836807251,0.6458982825279236
Gender: Female,0,0.6697522401809692,0.6217471361160278,0.6176954507827759,0.6190215945243835,0.6427839994430542
Age: <40,0,0.6418823003768921,0.5936806201934814,0.5938552618026733,0.5933658480644226,0.5934959053993225
Age: 40-50,0,0.7462854385375977,0.701728105545044,0.700127363204956,0.7006919384002686,0.7042253017425537
Age: 50-65,0,0.6836806535720825,0.6178351044654846,0.6243385076522827,0.6195181012153625,0.6461352705955505
Race: White,0,0.6930699348449707,0.6404637694358826,0.640193521976471,0.6402149796485901,0.6406844258308411
Race: Black,0,0.5999037027359009,0.5741299986839294,0.5676524043083191,0.5698016285896301,0.6729167103767395
Race: Other,0,0.6741704940795898,0.609795331954956,0.6128333806991577,0.6102046966552734,0.6200980544090271
Overall,1,0.675674319267273,0.6108386516571045,0.613459587097168,0.610153317451477,0.6141974925994873
Gender: Male,1,0.6782834529876709,0.6174794435501099,0.6152298450469971,0.6072215437889099,0.6078224182128906
Gender: Female,1,0.656245768070221,0.5982093214988708,0.5977199077606201,0.5979480743408203,0.6202405095100403
Age: <40,1,0.6786887645721436,0.6257002949714661,0.62540602684021,0.6255018711090088,0.6270676851272583
Age: 40-50,1,0.6768795251846313,0.6144816875457764,0.6170287132263184,0.6126868724822998,0.6150121092796326
Age: 50-65,1,0.6593276262283325,0.5804808735847473,0.5880203247070312,0.579430103302002,0.6039261221885681
Race: White,1,0.6645234823226929,0.6088275909423828,0.6065258979797363,0.605048656463623,0.6076294183731079
Race: Black,1,0.6303366422653198,0.5617228746414185,0.556718647480011,0.5583685040473938,0.6687763333320618
Race: Other,1,0.6249521970748901,0.5648245811462402,0.5702975988388062,0.5555248260498047,0.5636856555938721
Overall,2,0.6681229472160339,0.6017632484436035,0.604243278503418,0.6018043756484985,0.6089910864830017
Gender: Male,2,0.7066996693611145,0.6332358717918396,0.6382483839988708,0.6265013217926025,0.6286267042160034
Gender: Female,2,0.6226516962051392,0.5705745816230774,0.5678914785385132,0.5679773092269897,0.5858930349349976
Age: <40,2,0.6333367228507996,0.5617028474807739,0.561643123626709,0.5616220235824585,0.561904788017273
Age: 40-50,2,0.6860929727554321,0.620460033416748,0.6214179992675781,0.6206737756729126,0.6241458058357239
Age: 50-65,2,0.6685713529586792,0.6060498952865601,0.6169143319129944,0.606801450252533,0.6362559199333191
Race: White,2,0.6532988548278809,0.5806263089179993,0.5800138711929321,0.5783088207244873,0.5787476301193237
Race: Black,2,0.6575438976287842,0.629993200302124,0.6239473819732666,0.6265578866004944,0.7037736177444458
Race: Other,2,0.5929434299468994,0.546798586845398,0.5498460531234741,0.54262775182724,0.5531914830207825
Overall,3,0.647741436958313,0.5989883542060852,0.6027182340621948,0.5991989374160767,0.6114519238471985
Gender: Male,3,0.6767586469650269,0.6260833144187927,0.6310677528381348,0.6196008920669556,0.6220301985740662
Gender: Female,3,0.6119340658187866,0.5734921097755432,0.572699785232544,0.5730358362197876,0.6019417643547058
Age: <40,3,0.6147170066833496,0.5654942989349365,0.5658146142959595,0.564234733581543,0.5644916296005249
Age: 40-50,3,0.6905474662780762,0.628333330154419,0.6365530490875244,0.629951000213623,0.6521739363670349
Age: 50-65,3,0.6322076916694641,0.5972435474395752,0.6023567914962769,0.5983309149742126,0.6245259642601013
Race: White,3,0.6503835320472717,0.6056705713272095,0.606042742729187,0.6040453910827637,0.6041470170021057
Race: Black,3,0.5312919616699219,0.49735909700393677,0.49713677167892456,0.49669283628463745,0.6303901672363281
Race: Other,3,0.6393694877624512,0.5949570536613464,0.6000000238418579,0.5945039391517639,0.6078431606292725
Overall,4,0.6544595956802368,0.595770001411438,0.5980913639068604,0.5949496030807495,0.5992798209190369
Gender: Male,4,0.666504979133606,0.6193382740020752,0.6208530068397522,0.6071451902389526,0.6073245406150818
Gender: Female,4,0.6433275938034058,0.5777792930603027,0.5758532285690308,0.5761821269989014,0.5910510420799255
Age: <40,4,0.6493439078330994,0.5943840742111206,0.5944492816925049,0.5923718214035034,0.5923753380775452
Age: 40-50,4,0.6775838136672974,0.6225603818893433,0.6238672733306885,0.6211710572242737,0.6219780445098877
Age: 50-65,4,0.6403378248214722,0.571488082408905,0.5752959251403809,0.571468710899353,0.5923172235488892
Race: White,4,0.6619246006011963,0.5981483459472656,0.5966792106628418,0.5935032367706299,0.594373881816864
Race: Black,4,0.55350661277771,0.5144885778427124,0.5153740048408508,0.5145367383956909,0.6254980564117432
Race: Other,4,0.5996733903884888,0.5762829184532166,0.5766010284423828,0.57594233751297,0.5764706134796143
Overall,5,0.672592282295227,0.6204491853713989,0.6224347352981567,0.6203620433807373,0.6239919066429138
Gender: Male,5,0.6836638450622559,0.6314338445663452,0.6312363147735596,0.622287392616272,0.6222910284996033
Gender: Female,5,0.6590346097946167,0.613205075263977,0.6101831793785095,0.6109604835510254,0.6256157755851746
Age: <40,5,0.6135150194168091,0.5831684470176697,0.5830583572387695,0.582110583782196,0.5821371674537659
Age: 40-50,5,0.7141851782798767,0.6576118469238281,0.6579676270484924,0.6574983596801758,0.6577437520027161
Age: 50-65,5,0.6784594058990479,0.6143683791160583,0.6202945709228516,0.6153665781021118,0.6342926025390625
Race: White,5,0.6831401586532593,0.6316243410110474,0.6310985088348389,0.6263461112976074,0.6263924837112427
Race: Black,5,0.6482758522033691,0.5777777433395386,0.5761755704879761,0.576886773109436,0.6448801755905151
Race: Other,5,0.6155719757080078,0.5895673036575317,0.5884740352630615,0.5876836180686951,0.589385449886322
Overall,6,0.6932766437530518,0.6197104454040527,0.6213656663894653,0.6202281713485718,0.6291355490684509
