group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.7181305885314941,0.661718487739563,0.6504074335098267,0.6516823172569275,0.6685567498207092
Gender: Male,0,0.7157504558563232,0.6582920551300049,0.6523196697235107,0.6520178318023682,0.6583593487739563
Gender: Female,0,0.7127722501754761,0.6605079174041748,0.6428901553153992,0.6458837389945984,0.6786080002784729
Age: <40,0,0.6877954006195068,0.6504085063934326,0.6463061571121216,0.6408320665359497,0.642276406288147
Age: 40-50,0,0.775397539138794,0.7147262692451477,0.7023642063140869,0.7033925652503967,0.7122735977172852
Age: 50-65,0,0.683079719543457,0.6171969175338745,0.6071338653564453,0.6099464893341064,0.6618357300758362
Race: White,0,0.7012100219726562,0.6445512175559998,0.6436144709587097,0.6422545909881592,0.6425855755805969
Race: Black,0,0.6276165246963501,0.6496515274047852,0.5939434766769409,0.600416898727417,0.7354167103767395
Race: Other,0,0.7189432382583618,0.638659656047821,0.6249655485153198,0.6266862154006958,0.6568627953529358
Overall,1,0.6916383504867554,0.6339982748031616,0.6278396844863892,0.6289927363395691,0.6455761194229126
Gender: Male,1,0.6938453912734985,0.6283539533615112,0.6281142234802246,0.6282162666320801,0.6310782432556152
Gender: Female,1,0.6786738038063049,0.6346694231033325,0.6163095235824585,0.6180635690689087,0.6593186259269714
Age: <40,1,0.7031774520874023,0.6376781463623047,0.6372284889221191,0.6345335245132446,0.6345864534378052
Age: 40-50,1,0.7042816877365112,0.6649438142776489,0.6618119478225708,0.6628775596618652,0.6731235384941101
Age: 50-65,1,0.649878978729248,0.5856175422668457,0.5776572823524475,0.5794376730918884,0.6408776044845581
Race: White,1,0.6794552803039551,0.6254786252975464,0.6252598762512207,0.6248072385787964,0.6248865127563477
Race: Black,1,0.6459815502166748,0.6147297024726868,0.577449381351471,0.5817646980285645,0.7215189337730408
Race: Other,1,0.6405632495880127,0.5666381120681763,0.562014102935791,0.5627386569976807,0.6097561120986938
Overall,2,0.6903362274169922,0.6344900131225586,0.6289147138595581,0.6302999258041382,0.6487192511558533
Gender: Male,2,0.7067968845367432,0.6520677804946899,0.6544101238250732,0.6529251337051392,0.6634429693222046
Gender: Female,2,0.6718631982803345,0.6188526153564453,0.6020177602767944,0.5997987985610962,0.6313992738723755
Age: <40,2,0.6758971214294434,0.6356481313705444,0.6329132914543152,0.6302554607391357,0.6317460536956787
Age: 40-50,2,0.7348201274871826,0.6768029928207397,0.6708289384841919,0.6720244288444519,0.6810933947563171
Age: 50-65,2,0.655870795249939,0.5889091491699219,0.5863970518112183,0.587447464466095,0.6445497870445251
