group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.7031337022781372,0.6459731459617615,0.6401693820953369,0.6413081884384155,0.6546391844749451
Gender: Male,0,0.7027074098587036,0.6526414155960083,0.6501949429512024,0.6504361629486084,0.6542056202888489
Gender: Female,0,0.6964670419692993,0.6333699226379395,0.6235623955726624,0.6256207227706909,0.6550664901733398
Age: <40,0,0.6925530433654785,0.6551592350006104,0.6550638675689697,0.6536548733711243,0.6536585092544556
Age: 40-50,0,0.7486855983734131,0.6891156435012817,0.6588675379753113,0.654552698135376,0.6760563254356384
Age: 50-65,0,0.6778585910797119,0.6065316200256348,0.6082388162612915,0.6072810888290405,0.6425120830535889
Race: White,0,0.7000383138656616,0.6510249972343445,0.6507890224456787,0.6501445770263672,0.6501901149749756
Race: Black,0,0.6231982707977295,0.6022832989692688,0.5672149658203125,0.5689226388931274,0.7104166746139526
Race: Other,0,0.6555653214454651,0.5820000171661377,0.5811067819595337,0.5814594626426697,0.6004902124404907
Overall,1,0.6840841770172119,0.6265150308609009,0.6260330677032471,0.6262529492378235,0.6363168358802795
Gender: Male,1,0.6815911531448364,0.6230955123901367,0.6239109039306641,0.6227867603302002,0.6236786246299744
Gender: Female,1,0.6711158752441406,0.6242696642875671,0.6180824041366577,0.619850754737854,0.648296594619751
Age: <40,1,0.704003095626831,0.6353467106819153,0.6356315612792969,0.6353968381881714,0.6360902190208435
Age: 40-50,1,0.694668173789978,0.676277756690979,0.6521384716033936,0.6524031162261963,0.6779661178588867
Age: 50-65,1,0.6407470703125,0.5850391387939453,0.5907963514328003,0.5858727097511292,0.6166281700134277
Race: White,1,0.6907894611358643,0.6467235088348389,0.6462779641151428,0.6462178230285645,0.6466848254203796
Race: Black,1,0.6403713226318359,0.5661454200744629,0.5461138486862183,0.5455417037010193,0.6940928101539612
Race: Other,1,0.5612335801124573,0.5036994218826294,0.5038549900054932,0.5028929114341736,0.5311653017997742
Overall,2,0.6838078498840332,0.6287419199943542,0.6259006261825562,0.6268581748008728,0.6424463987350464
Gender: Male,2,0.7127326130867004,0.6502940654754639,0.6535544395446777,0.6512244939804077,0.6605415940284729
Gender: Female,2,0.6466468572616577,0.6065542697906494,0.5961291790008545,0.5953491926193237,0.6211603879928589
Age: <40,2,0.6856955885887146,0.6484798192977905,0.6480846405029297,0.6474911570549011,0.6476190686225891
Age: 40-50,2,0.723122239112854,0.6335288286209106,0.6091942191123962,0.6025630235671997,0.6332574486732483
Age: 50-65,2,0.6569184064865112,0.6050559878349304,0.6125180125236511,0.606917679309845,0.6433649659156799
Race: White,2,0.6663532257080078,0.6344790458679199,0.6344920992851257,0.6344850063323975,0.6347248554229736
Race: Black,2,0.702210545539856,0.6318807601928711,0.5948245525360107,0.6007111668586731,0.7169811725616455
Race: Other,2,0.5741573572158813,0.5201143026351929,0.5204238891601562,0.5201405882835388,0.5471124649047852
Overall,3,0.6650357246398926,0.6158697605133057,0.614316463470459,0.6149725914001465,0.6370143294334412
Gender: Male,3,0.6797503232955933,0.6204573512077332,0.6208785772323608,0.6206555366516113,0.6349892020225525
Gender: Female,3,0.6446231603622437,0.6107217073440552,0.6068733334541321,0.6082032322883606,0.6388349533081055
Age: <40,3,0.6732240319252014,0.639074444770813,0.6396128535270691,0.639164388179779,0.6403641700744629
Age: 40-50,3,0.6954545974731445,0.6410051584243774,0.616856038570404,0.6207832098007202,0.6818181872367859
Age: 50-65,3,0.6230617761611938,0.5696446299552917,0.5709793567657471,0.5701625943183899,0.6055626273155212
Race: White,3,0.6630574464797974,0.6261747479438782,0.6267676949501038,0.626033365726471,0.6267672181129456
Race: Black,3,0.5649319887161255,0.4920349419116974,0.49442926049232483,0.4876648485660553,0.6899384260177612
Race: Other,3,0.6013840436935425,0.567963719367981,0.5653594732284546,0.5660112500190735,0.6004902124404907
Overall,4,0.6536458730697632,0.6180175542831421,0.6172559261322021,0.6175810098648071,0.6286007761955261
