group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.7136580944061279,0.6488233804702759,0.6484093070030212,0.648601770401001,0.6561855673789978
Gender: Male,0,0.7203985452651978,0.6535652875900269,0.6541520357131958,0.6535465717315674,0.6542056202888489
Gender: Female,0,0.694852352142334,0.6384909152984619,0.6340490579605103,0.6355943083763123,0.6581371426582336
Age: <40,0,0.7126432657241821,0.6726924180984497,0.6713236570358276,0.6714892387390137,0.6731707453727722
Age: 40-50,0,0.7631192207336426,0.6835612058639526,0.6710152626037598,0.6710649728775024,0.682092547416687
Age: 50-65,0,0.665736198425293,0.5934802293777466,0.5963555574417114,0.5945177674293518,0.6280193328857422
Race: White,0,0.69944167137146,0.6433091163635254,0.6431552171707153,0.643185019493103,0.6435360908508301
Race: Black,0,0.6634877920150757,0.6494146585464478,0.5915592908859253,0.5974617004394531,0.7354167103767395
Race: Other,0,0.6711656451225281,0.5975961685180664,0.6016652584075928,0.5922347903251648,0.5955882668495178
Overall,1,0.6978355646133423,0.6370234489440918,0.6388800740242004,0.6375495195388794,0.644032895565033
Gender: Male,1,0.6863614320755005,0.6239551305770874,0.6238659620285034,0.6194486021995544,0.6194503307342529
Gender: Female,1,0.6948459148406982,0.6460649371147156,0.6408710479736328,0.6427105069160461,0.6673346757888794
Age: <40,1,0.7135391235351562,0.659376859664917,0.6567450761795044,0.6568721532821655,0.660150408744812
Age: 40-50,1,0.7072066068649292,0.6444962024688721,0.6405470967292786,0.6416170597076416,0.6537530422210693
Age: 50-65,1,0.651701807975769,0.5921267867088318,0.5969251394271851,0.5934065580368042,0.6270207762718201
Race: White,1,0.7052657604217529,0.6468884944915771,0.6449065208435059,0.6442124843597412,0.6457765698432922
Race: Black,1,0.6456623077392578,0.6053068041801453,0.5695128440856934,0.5722828507423401,0.7172995209693909
Race: Other,1,0.5839811563491821,0.5405910015106201,0.5439817905426025,0.5335861444473267,0.5447154641151428
Overall,2,0.6969853639602661,0.632164716720581,0.6325621604919434,0.6323517560958862,0.6434918642044067
Gender: Male,2,0.716408371925354,0.6401886940002441,0.6453237533569336,0.6394559741020203,0.6450676918029785
Gender: Female,2,0.6735198497772217,0.6295767426490784,0.6204534769058228,0.6212372779846191,0.6416382193565369
Age: <40,2,0.7019556760787964,0.6512243747711182,0.650151252746582,0.6498903632164001,0.6507936716079712
Age: 40-50,2,0.7369451522827148,0.6564005017280579,0.6407637596130371,0.6400065422058105,0.6583144068717957
Age: 50-65,2,0.6515836715698242,0.5881381034851074,0.5932614803314209,0.589563250541687,0.6303317546844482
Race: White,2,0.6733361482620239,0.6166421175003052,0.6164618134498596,0.6157076358795166,0.6157495379447937
Race: Black,2,0.7138069868087769,0.6737627387046814,0.6005263328552246,0.606850266456604,0.7396226525306702
Race: Other,2,0.630199670791626,0.5818164944648743,0.5872799754142761,0.5723876953125,0.5775076150894165
Overall,3,0.6717949509620667,0.6231346130371094,0.6276746392250061,0.6237761974334717,0.6354805827140808
Gender: Male,3,0.7041159868240356,0.6628783941268921,0.6693450808525085,0.6616181135177612,0.6663066744804382
Gender: Female,3,0.6367948055267334,0.5854336023330688,0.5872180461883545,0.5860342979431152,0.6077669858932495
Age: <40,3,0.6597480773925781,0.6297426223754883,0.6293461322784424,0.6251586079597473,0.6251896619796753
Age: 40-50,3,0.7365530133247375,0.6450936794281006,0.6418560743331909,0.6432774066925049,0.679841935634613
Age: 50-65,3,0.620514988899231,0.5919684767723083,0.5980829000473022,0.5924062728881836,0.6156764030456543
Race: White,3,0.6480337381362915,0.6123520135879517,0.611495852470398,0.6068055033683777,0.6069745421409607
Race: Black,3,0.6026930809020996,0.5811982154846191,0.5554317831993103,0.55853271484375,0.7351129651069641
Race: Other,3,0.6355504393577576,0.5859164595603943,0.5915032625198364,0.5819441080093384,0.5906863212585449
Overall,4,0.6751430034637451,0.6321345567703247,0.6344910264015198,0.6325379610061646,0.6383744478225708
Gender: Male,4,0.6805644035339355,0.6391265392303467,0.6428574323654175,0.6343066692352295,0.6358087658882141
Gender: Female,4,0.6705498695373535,0.630170464515686,0.6267008781433105,0.6276435852050781,0.6409990191459656
Age: <40,4,0.6771926879882812,0.6413110494613647,0.6408926248550415,0.6377917528152466,0.6378298997879028
Age: 40-50,4,0.724728524684906,0.6718393564224243,0.6647918224334717,0.6656405329704285,0.6747252941131592
