group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6472549438476562,0.6174465417861938,0.6186224818229675,0.617923378944397,0.6310000419616699
Gender: Male,0,0.659105658531189,0.6296181678771973,0.6350933909416199,0.6236988306045532,0.6265560388565063
Gender: Female,0,0.6352332830429077,0.6153477430343628,0.6043651103973389,0.6050348281860352,0.6351351141929626
Age: <40,0,0.6574622392654419,0.6327857971191406,0.6308760643005371,0.6311708688735962,0.6357827186584473
Age: 40-50,0,0.6818655729293823,0.6714814901351929,0.6702518463134766,0.6707716584205627,0.6782945990562439
Age: 50-65,0,0.616680383682251,0.5701859593391418,0.575088381767273,0.5703004598617554,0.5990676283836365
Race: White,0,0.6315959692001343,0.6140468120574951,0.614854097366333,0.6116753816604614,0.6119402647018433
Race: Black,0,0.5825358629226685,0.5636261701583862,0.54984050989151,0.5514450073242188,0.69140625
Race: Other,0,0.6219078302383423,0.5992424488067627,0.5982009172439575,0.5984933972358704,0.6057692766189575
Overall,1,0.6400596499443054,0.6113673448562622,0.6110045909881592,0.6111699938774109,0.6210000514984131
Gender: Male,1,0.6580699682235718,0.6132738590240479,0.616550087928772,0.6087093353271484,0.6106382608413696
Gender: Female,1,0.6293714046478271,0.620313286781311,0.6088649034500122,0.6080355048179626,0.6301887035369873
Age: <40,1,0.6275674700737,0.5975263118743896,0.5946646928787231,0.5939173698425293,0.6000000238418579
Age: 40-50,1,0.6786623001098633,0.6784511804580688,0.6798642873764038,0.6789636611938477,0.6833333969116211
Age: 50-65,1,0.6276581287384033,0.5831383466720581,0.5850701332092285,0.5836834907531738,0.6023529171943665
Race: White,1,0.617651104927063,0.5962240695953369,0.595879077911377,0.5943317413330078,0.5944444537162781
Race: Black,1,0.6391949653625488,0.6541880369186401,0.6035353541374207,0.6136440634727478,0.7537878751754761
Race: Other,1,0.5296261310577393,0.5149894952774048,0.5148912072181702,0.5142819881439209,0.5153061151504517
Overall,2,0.6585525870323181,0.6303631067276001,0.6305751204490662,0.6304632425308228,0.6370000243186951
Gender: Male,2,0.6488492488861084,0.6260874271392822,0.6298574805259705,0.6226348876953125,0.6250000596046448
Gender: Female,2,0.676690936088562,0.6443724632263184,0.6359632611274719,0.6359254121780396,0.6480769515037537
Age: <40,2,0.663025975227356,0.6205757856369019,0.6202110052108765,0.6199705600738525,0.6202898621559143
Age: 40-50,2,0.7345836758613586,0.6886886358261108,0.6881926655769348,0.6884281039237976,0.6958333849906921
Age: 50-65,2,0.6049845218658447,0.5989478826522827,0.6016721725463867,0.5996760129928589,0.6168674826622009
Race: White,2,0.6187499761581421,0.6082035899162292,0.6078373193740845,0.6071885824203491,0.6073943376541138
Race: Black,2,0.6312997341156006,0.6234922409057617,0.5742263793945312,0.576423168182373,0.723849356174469
Race: Other,2,0.6482324600219727,0.619134783744812,0.6200390458106995,0.6163227558135986,0.6165803074836731
Overall,3,0.6775990724563599,0.6287987232208252,0.6290889978408813,0.6289334297180176,0.6360000371932983
Gender: Male,3,0.6724056601524353,0.6457439064979553,0.6478592157363892,0.6438252925872803,0.6448202729225159
Gender: Female,3,0.678688645362854,0.6147187352180481,0.6093514561653137,0.6101599931716919,0.6280834674835205
Age: <40,3,0.6707396507263184,0.6306954622268677,0.6310361623764038,0.6295545101165771,0.6296296119689941
Age: 40-50,3,0.7111718654632568,0.6694334745407104,0.6689831018447876,0.6691952347755432,0.6767241358757019
Age: 50-65,3,0.6558557748794556,0.5903679728507996,0.5955815315246582,0.5912898778915405,0.6187050342559814
Race: White,3,0.6319663524627686,0.6023597121238708,0.6020777225494385,0.6019071340560913,0.6022727489471436
Race: Black,3,0.7049627304077148,0.6641896963119507,0.6450114250183105,0.6521671414375305,0.7404580116271973
Race: Other,3,0.6471076011657715,0.5858004093170166,0.5864959359169006,0.5859317779541016,0.5904762148857117
Overall,4,0.658393919467926,0.6058458089828491,0.6062101125717163,0.6060121059417725,0.6170000433921814
Gender: Male,4,0.6428296566009521,0.5796230435371399,0.5806018114089966,0.5795194506645203,0.5833333730697632
