group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6510323286056519,0.6164705157279968,0.5898882150650024,0.580793023109436,0.6231958866119385
Gender: Male,0,0.6508642435073853,0.6076478958129883,0.5872514247894287,0.5741293430328369,0.6012461185455322
Gender: Female,0,0.6472392082214355,0.6216033697128296,0.5893880128860474,0.5838485956192017,0.644831120967865
Age: <40,0,0.6198105812072754,0.5846861600875854,0.5795981884002686,0.5694658160209656,0.5739837288856506
Age: 40-50,0,0.6770727634429932,0.6603606939315796,0.6197874546051025,0.6064819693565369,0.6418510675430298
Age: 50-65,0,0.6286129951477051,0.5804347991943359,0.5494911670684814,0.5380235314369202,0.6485506892204285
Race: White,0,0.6634711027145386,0.6100999712944031,0.5887275338172913,0.5646090507507324,0.5836501717567444
Race: Black,0,0.5956166982650757,0.5802631378173828,0.5667119026184082,0.5695936679840088,0.6854166984558105
Race: Other,0,0.6565168499946594,0.6369211673736572,0.6034305691719055,0.5992252230644226,0.6519607901573181
Overall,1,0.6596874594688416,0.619956910610199,0.5996321439743042,0.595970094203949,0.6316872239112854
Gender: Male,1,0.6597422361373901,0.6048907041549683,0.5909868478775024,0.5842326879501343,0.6057082414627075
Gender: Female,1,0.6566910743713379,0.6315327882766724,0.6045992970466614,0.6039109826087952,0.6563126444816589
Age: <40,1,0.6640716791152954,0.6109293699264526,0.6089063286781311,0.6037047505378723,0.6045112609863281
Age: 40-50,1,0.6442990303039551,0.6057931780815125,0.5855029821395874,0.5788543224334717,0.6174334287643433
Age: 50-65,1,0.6275571584701538,0.5914602279663086,0.5593216419219971,0.5526130795478821,0.6593533158302307
Race: White,1,0.6835974454879761,0.625484824180603,0.6069879531860352,0.5900603532791138,0.6039963960647583
Race: Black,1,0.6697911024093628,0.6051198840141296,0.5959906578063965,0.599433422088623,0.700421929359436
Race: Other,1,0.561233639717102,0.5781145095825195,0.5665222406387329,0.5662225484848022,0.6260162591934204
Overall,2,0.6592577695846558,0.6127728223800659,0.5917707085609436,0.5878570079803467,0.6299006342887878
Gender: Male,2,0.6958940029144287,0.6145786046981812,0.5975541472434998,0.5965097546577454,0.6353965401649475
Gender: Female,2,0.616237461566925,0.6119447946548462,0.5859156847000122,0.5774412751197815,0.6234356760978699
Age: <40,2,0.6688003540039062,0.6283018589019775,0.6251007914543152,0.6218803524971008,0.6238095164299011
Age: 40-50,2,0.615085244178772,0.5779977440834045,0.5523879528045654,0.5281019806861877,0.5854214429855347
Age: 50-65,2,0.6446163654327393,0.5765551328659058,0.5535916090011597,0.5497769117355347,0.6575829386711121
Race: White,2,0.6580550670623779,0.6050993204116821,0.5898739695549011,0.5772876739501953,0.5948766469955444
Race: Black,2,0.6729122400283813,0.6018046140670776,0.5756140351295471,0.5788971781730652,0.698113203048706
Race: Other,2,0.6082168817520142,0.5950971841812134,0.5818336009979248,0.5820357799530029,0.6322188377380371
Overall,3,0.6496022939682007,0.6208676099777222,0.6014732718467712,0.6016048192977905,0.6472392678260803
Gender: Male,3,0.6470750570297241,0.6211131811141968,0.6061776280403137,0.6065122485160828,0.6414686441421509
Gender: Female,3,0.651719331741333,0.6197483539581299,0.5959474444389343,0.5956372618675232,0.6524271965026855
Age: <40,3,0.644586443901062,0.6177483201026917,0.6146707534790039,0.6145224571228027,0.6206372976303101
Age: 40-50,3,0.698674201965332,0.6587145328521729,0.6166666746139526,0.6198384165763855,0.6936759352684021
Age: 50-65,3,0.5965667963027954,0.5768300294876099,0.5543161630630493,0.548176646232605,0.6396965980529785
Race: White,3,0.6450803875923157,0.61960768699646,0.6055105924606323,0.599656879901886,0.6173421144485474
Race: Black,3,0.6568191051483154,0.5954698920249939,0.5744800567626953,0.5799282193183899,0.7351129651069641
Race: Other,3,0.6071767807006836,0.5799951553344727,0.5679738521575928,0.5668938159942627,0.6200980544090271
Overall,4,0.6316174268722534,0.6123480796813965,0.5936847925186157,0.5899004340171814,0.6260287761688232
Gender: Male,4,0.6323032379150391,0.6088283658027649,0.595445454120636,0.5939876437187195,0.6246185302734375
Gender: Female,4,0.6317712068557739,0.6174614429473877,0.5921759009361267,0.5851324796676636,0.627471387386322
Age: <40,4,0.6319664716720581,0.6036173105239868,0.5996288061141968,0.5984222292900085,0.6055718660354614
Age: 40-50,4,0.6467658877372742,0.651502251625061,0.6150203347206116,0.6036248803138733,0.6395604610443115
Age: 50-65,4,0.602959156036377,0.5831813812255859,0.5588575601577759,0.5518766641616821,0.6356877684593201
Race: White,4,0.6625049114227295,0.62890625,0.6140350699424744,0.6058759689331055,0.6197822093963623
Race: Black,4,0.6099947094917297,0.5671537518501282,0.5550981760025024,0.5576066970825195,0.6972111463546753
Race: Other,4,0.5075923204421997,0.5333681106567383,0.5266339778900146,0.5082331895828247,0.5411764979362488
Overall,5,0.6327930688858032,0.6076499223709106,0.5867816209793091,0.5794959664344788,0.6169354915618896
Gender: Male,5,0.6088370084762573,0.5637861490249634,0.554457426071167,0.5469690561294556,0.5768834352493286
Gender: Female,5,0.6548737287521362,0.6549340486526489,0.6168109178543091,0.6107173562049866,0.6551724076271057
Age: <40,5,0.6212565898895264,0.6024914979934692,0.595327615737915,0.5904765129089355,0.59968101978302
Age: 40-50,5,0.6367513537406921,0.6314507126808167,0.600430965423584,0.5818949341773987,0.6118546724319458
Age: 50-65,5,0.6225725412368774,0.5798589587211609,0.5570818185806274,0.5502157211303711,0.633093535900116
Race: White,5,0.6424193382263184,0.6091989278793335,0.5959731340408325,0.5899837017059326,0.6092544794082642
Race: Black,5,0.6160546541213989,0.5847485065460205,0.5467084646224976,0.5366585850715637,0.6819171905517578
Race: Other,5,0.5743007063865662,0.5682557821273804,0.5549762845039368,0.5342226624488831,0.5586591958999634
Overall,6,0.6506128311157227,0.6094822287559509,0.5882632732391357,0.5834857225418091,0.6264674067497253
Gender: Male,6,0.632354736328125,0.5758215188980103,0.5667815208435059,0.5618631839752197,0.5869324803352356
Gender: Female,6,0.6600381135940552,0.6445029973983765,0.6037831902503967,0.6000264286994934,0.6632338166236877
Age: <40,6,0.5912258625030518,0.5627789497375488,0.5596491694450378,0.5577135682106018,0.5689922571182251
Age: 40-50,6,0.7163553237915039,0.6824586987495422,0.643875002861023,0.6318017244338989,0.6567164063453674
Age: 50-65,6,0.633672833442688,0.5861290693283081,0.5536644458770752,0.5444931983947754,0.6565789580345154
Race: White,6,0.6266632080078125,0.5733531713485718,0.5637656450271606,0.5491328239440918,0.5639476180076599
Race: Black,6,0.6707766652107239,0.5752248764038086,0.5596715807914734,0.5641125440597534,0.7530863881111145
Race: Other,6,0.618867039680481,0.6369274258613586,0.6113475561141968,0.6012594699859619,0.6278480887413025
Overall,7,0.658888578414917,0.6291419267654419,0.6066898107528687,0.6065806746482849,0.6523496508598328
Gender: Male,7,0.635076642036438,0.5993548035621643,0.5870743989944458,0.5834217071533203,0.6093394160270691
Gender: Female,7,0.6760275363922119,0.6515486240386963,0.6183638572692871,0.6217681765556335,0.6866485476493835
Age: <40,7,0.6962617635726929,0.6691452860832214,0.6593705415725708,0.6604103446006775,0.6732394099235535
Age: 40-50,7,0.646507740020752,0.6123097538948059,0.5819212198257446,0.5676814317703247,0.6148796677589417
Age: 50-65,7,0.6166496276855469,0.5759261846542358,0.5563621520996094,0.5545001029968262,0.6551724076271057
Race: White,7,0.6653116941452026,0.6158811450004578,0.6021129488945007,0.5949150323867798,0.6114285588264465
Race: Black,7,0.7077224254608154,0.6657992005348206,0.6338099241256714,0.643937349319458,0.7524558305740356
Race: Other,7,0.547485888004303,0.5683140754699707,0.5521003007888794,0.5485635995864868,0.6333333849906921
Overall,8,0.6507246494293213,0.6166671514511108,0.6052792072296143,0.6058347225189209,0.6355803608894348
Gender: Male,8,0.6300941705703735,0.5878770351409912,0.5838669538497925,0.5844428539276123,0.6070351600646973
Gender: Female,8,0.6706472635269165,0.6517808437347412,0.6268537044525146,0.6271618604660034,0.6646216511726379
Age: <40,8,0.6439252495765686,0.6094554662704468,0.6071714162826538,0.6062215566635132,0.609375
Age: 40-50,8,0.7207329273223877,0.7046290636062622,0.6711937189102173,0.6723083853721619,0.699999988079071
Age: 50-65,8,0.5864177942276001,0.552187442779541,0.5439989566802979,0.5432376265525818,0.6245530247688293
Race: White,8,0.6370147466659546,0.6012389659881592,0.5948337316513062,0.5904240608215332,0.5987375974655151
Race: Black,8,0.6664674282073975,0.6123661398887634,0.6017670035362244,0.6060121059417725,0.7316102981567383
Race: Other,8,0.5939152240753174,0.592453122138977,0.5833227038383484,0.5829572677612305,0.6149584054946899
