group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6626143455505371,0.6267563104629517,0.6090994477272034,0.6065670847892761,0.6350515484809875
Gender: Male,0,0.6829975843429565,0.6428182125091553,0.6270955204963684,0.6222608089447021,0.6375908851623535
Gender: Female,0,0.6397465467453003,0.604634165763855,0.5872695446014404,0.5858727693557739,0.6325486302375793
Age: <40,0,0.5959586501121521,0.5848507881164551,0.5835399627685547,0.5796776413917542,0.5804877877235413
Age: 40-50,0,0.6970577836036682,0.6345397233963013,0.6083417534828186,0.5985863208770752,0.6277665495872498
Age: 50-65,0,0.6588801145553589,0.6350576877593994,0.6026073694229126,0.6048358678817749,0.6799516677856445
Race: White,0,0.6893198490142822,0.6252963542938232,0.6154369115829468,0.605575442314148,0.6121672987937927
Race: Black,0,0.5784903764724731,0.5712970495223999,0.5609812140464783,0.5633162260055542,0.6770833730697632
Race: Other,0,0.6121447086334229,0.6255060434341431,0.5993614196777344,0.596406102180481,0.6446078419685364
Overall,1,0.6731011867523193,0.6385485529899597,0.627379298210144,0.6282374262809753,0.6496913433074951
Gender: Male,1,0.6820095777511597,0.6446660757064819,0.6341400742530823,0.6326773762702942,0.6448202729225159
Gender: Female,1,0.6612207889556885,0.6296069622039795,0.6190664172172546,0.621212363243103,0.6543086171150208
Age: <40,1,0.6688351631164551,0.6351339817047119,0.6352958679199219,0.6351918578147888,0.6360902190208435
Age: 40-50,1,0.6389288902282715,0.5959721803665161,0.5828298926353455,0.5792248249053955,0.610169529914856
Age: 50-65,1,0.6535962820053101,0.6267316341400146,0.596169114112854,0.5983597040176392,0.6789838075637817
Race: White,1,0.6973476409912109,0.6447466015815735,0.6391569375991821,0.6345877051353455,0.6376022100448608
Race: Black,1,0.6594142913818359,0.5865440368652344,0.5819649696350098,0.5838503837585449,0.6835442781448364
Race: Other,1,0.5451765060424805,0.5994901657104492,0.585797131061554,0.58699631690979,0.642276406288147
Overall,2,0.6758084297180176,0.6220199465751648,0.6077231168746948,0.6075716018676758,0.6382644772529602
