group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.7029731273651123,0.6393774747848511,0.6329578161239624,0.6339626312255859,0.6484536528587341
Gender: Male,0,0.7207277417182922,0.6477053165435791,0.6416178941726685,0.6410244703292847,0.6479750871658325
Gender: Female,0,0.682418942451477,0.6277947425842285,0.6222689151763916,0.6239039301872253,0.648925244808197
Age: <40,0,0.6369868516921997,0.5932132601737976,0.5931559801101685,0.591865599155426,0.5918698906898499
Age: 40-50,0,0.7253371477127075,0.6692950129508972,0.6654638648033142,0.666144609451294,0.6720321774482727
Age: 50-65,0,0.714206337928772,0.6329021453857422,0.6165164113044739,0.6203264594078064,0.6763284802436829
Race: White,0,0.7113642692565918,0.6481204032897949,0.6479141712188721,0.6472998261451721,0.6473383903503418
Race: Black,0,0.6646908521652222,0.5768229365348816,0.5619435906410217,0.5643995404243469,0.6854166984558105
Race: Other,0,0.6159259080886841,0.5806589722633362,0.5708025693893433,0.5693362951278687,0.6078431606292725
Overall,1,0.6877070665359497,0.638663113117218,0.6371917724609375,0.6377772092819214,0.6486625075340271
Gender: Male,1,0.7077107429504395,0.6483026742935181,0.6466689109802246,0.6470596194267273,0.6511628031730652
Gender: Female,1,0.6643424034118652,0.6258604526519775,0.6252332925796509,0.6255295276641846,0.6462925672531128
Age: <40,1,0.6699602603912354,0.6255326271057129,0.6245667934417725,0.624683678150177,0.6270676851272583
Age: 40-50,1,0.6383534669876099,0.6210924386978149,0.6209124326705933,0.6209986209869385,0.629539966583252
Age: 50-65,1,0.6929030418395996,0.6274453401565552,0.6164530515670776,0.6198277473449707,0.6743648648262024
Race: White,1,0.6994600296020508,0.6547682285308838,0.6547488570213318,0.6547564268112183,0.6548592448234558
Race: Black,1,0.6580003499984741,0.5904874205589294,0.5743021368980408,0.5781211853027344,0.6983122229576111
Race: Other,1,0.5544794201850891,0.5297566056251526,0.5297566056251526,0.5297566056251526,0.5663956999778748
Overall,2,0.690373420715332,0.6284873485565186,0.6251306533813477,0.6261844635009766,0.6424463987350464
Gender: Male,2,0.7166106700897217,0.6442865133285522,0.6409595012664795,0.6421765685081482,0.6595745086669922
Gender: Female,2,0.6576966047286987,0.6098995208740234,0.6067062616348267,0.6074414849281311,0.6222980618476868
Age: <40,2,0.6535483598709106,0.5950819849967957,0.5950100421905518,0.5950084924697876,0.5952380895614624
Age: 40-50,2,0.679171085357666,0.6361749768257141,0.631843090057373,0.632483184337616,0.6423690319061279
Age: 50-65,2,0.699924111366272,0.6221498250961304,0.6108725666999817,0.6144124865531921,0.6777251362800598
Race: White,2,0.6921807527542114,0.6401348114013672,0.6400878429412842,0.6401061415672302,0.6404174566268921
Race: Black,2,0.6684737205505371,0.5766509771347046,0.5604385733604431,0.5622473955154419,0.6792452931404114
Race: Other,2,0.6125582456588745,0.555011510848999,0.5527666211128235,0.5531914830207825,0.5896656513214111
Overall,3,0.6634844541549683,0.6093319654464722,0.609278678894043,0.6093051433563232,0.6293455958366394
Gender: Male,3,0.6866759061813354,0.6396082639694214,0.6402151584625244,0.6398917436599731,0.6533477306365967
Gender: Female,3,0.6382912397384644,0.58046555519104,0.5799528360366821,0.5801873207092285,0.6077669858932495
Age: <40,3,0.6409651041030884,0.6016834378242493,0.6022089719772339,0.6006125211715698,0.600910484790802
Age: 40-50,3,0.6913394927978516,0.620312511920929,0.6232954263687134,0.6215214729309082,0.6521739363670349
Age: 50-65,3,0.6476150751113892,0.5920990109443665,0.5844519734382629,0.5862123370170593,0.6384323835372925
Race: White,3,0.6648751497268677,0.6227693557739258,0.6233805418014526,0.6224333643913269,0.6229971647262573
Race: Black,3,0.6041547060012817,0.5119807720184326,0.510518491268158,0.5101476907730103,0.675564706325531
Race: Other,3,0.5982570648193359,0.5551470518112183,0.5522875785827637,0.5526286363601685,0.5906863212585449
Overall,4,0.6570082902908325,0.6140469312667847,0.6116499900817871,0.6123635768890381,0.6260287761688232
Gender: Male,4,0.6669178009033203,0.6239741444587708,0.6220427751541138,0.6227337121963501,0.6358087658882141
Gender: Female,4,0.6459947824478149,0.6038805246353149,0.601111650466919,0.6017405986785889,0.6160250306129456
Age: <40,4,0.6082959175109863,0.5812783241271973,0.5815175771713257,0.5812462568283081,0.5821114182472229
Age: 40-50,4,0.6756699085235596,0.6187444925308228,0.6162214279174805,0.6165900230407715,0.6241758465766907
Age: 50-65,4,0.6747240424156189,0.6299694776535034,0.6190018653869629,0.6218597888946533,0.6641883850097656
Race: White,4,0.6921514272689819,0.6406850814819336,0.6408520936965942,0.6405574679374695,0.6406533718109131
Race: Black,4,0.5713739991188049,0.5039913654327393,0.5031405687332153,0.4998791515827179,0.6633466482162476
