group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.641921877861023,0.6019925475120544,0.5798275470733643,0.5744661688804626,0.6260000467300415
Gender: Male,0,0.6054598093032837,0.5556504726409912,0.5450610518455505,0.5385093688964844,0.5912863612174988
Gender: Female,0,0.6750591993331909,0.6482725143432617,0.6121692061424255,0.6083452105522156,0.6583011746406555
Age: <40,0,0.6301363706588745,0.5904613733291626,0.5826553106307983,0.5787705779075623,0.5942491888999939
Age: 40-50,0,0.6716920733451843,0.7041877508163452,0.6359624862670898,0.6245842576026917,0.6744186282157898
Age: 50-65,0,0.6136792302131653,0.5404824614524841,0.5296480655670166,0.5223729014396667,0.6200466156005859
Race: White,0,0.6487872004508972,0.5914037823677063,0.5766724348068237,0.5677274465560913,0.5951492190361023
Race: Black,0,0.6857256889343262,0.644859790802002,0.603827714920044,0.6127612590789795,0.7421875
Race: Other,0,0.5394489765167236,0.5447108745574951,0.533545732498169,0.5151515007019043,0.5625
Overall,1,0.6146572232246399,0.5832288265228271,0.5652801990509033,0.5557975172996521,0.6010000109672546
Gender: Male,1,0.6112820506095886,0.5457677841186523,0.5379021167755127,0.5303850769996643,0.5744680762290955
Gender: Female,1,0.6178401708602905,0.6209824085235596,0.5899268388748169,0.5785835981369019,0.6245282888412476
Age: <40,1,0.6363343596458435,0.61015784740448,0.6059006452560425,0.6048094034194946,0.611940324306488
Age: 40-50,1,0.6378676891326904,0.5877521634101868,0.5562782883644104,0.5313915014266968,0.5958333611488342
Age: 50-65,1,0.5806694030761719,0.533510684967041,0.5212880373001099,0.500683069229126,0.5952941179275513
Race: White,1,0.6150000095367432,0.5725781917572021,0.5612637400627136,0.5472651124000549,0.5685185194015503
Race: Black,1,0.6488368511199951,0.5987235903739929,0.5757575631141663,0.5807005167007446,0.7196969985961914
Race: Other,1,0.5540976524353027,0.5374149680137634,0.5280641317367554,0.4979396462440491,0.5306122303009033
Overall,2,0.6222043037414551,0.6092262268066406,0.5897398591041565,0.58344966173172,0.6180000305175781
Gender: Male,2,0.6275684833526611,0.6006944179534912,0.5871260166168213,0.5849379301071167,0.6187500357627869
Gender: Female,2,0.618668794631958,0.6197916269302368,0.5935532450675964,0.5820661783218384,0.617307722568512
Age: <40,2,0.6239413619041443,0.6061744093894958,0.6026347875595093,0.599452555179596,0.6028985977172852
Age: 40-50,2,0.6448564529418945,0.6510443091392517,0.6063512563705444,0.5950372219085693,0.6458333730697632
Age: 50-65,2,0.590971827507019,0.5678942203521729,0.5473082661628723,0.5356123447418213,0.6144578456878662
