group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6564432382583618,0.6183007955551147,0.6026315689086914,0.6025065183639526,0.6390000581741333
Gender: Male,0,0.6343032121658325,0.5870339870452881,0.5754669308662415,0.5739378333091736,0.6141079068183899
Gender: Female,0,0.6757714748382568,0.6472277641296387,0.62779301404953,0.6289383172988892,0.6621621251106262
Age: <40,0,0.6362179517745972,0.6000335216522217,0.5982084274291992,0.5982194542884827,0.6038338541984558
Age: 40-50,0,0.7219464182853699,0.6798701882362366,0.6324691772460938,0.625,0.6666666865348816
Age: 50-65,0,0.6181083917617798,0.5890910625457764,0.5724018812179565,0.5728133916854858,0.6480186581611633
Race: White,0,0.6860068440437317,0.6392046213150024,0.630570650100708,0.6299194097518921,0.641791045665741
Race: Black,0,0.6577352285385132,0.5643221735954285,0.5452153086662292,0.5451251864433289,0.69921875
Race: Other,0,0.5344827175140381,0.5399999618530273,0.532608687877655,0.5204010009765625,0.5576923489570618
Overall,1,0.6263382434844971,0.5907922387123108,0.5789974927902222,0.5758500099182129,0.6070000529289246
Gender: Male,1,0.6534079313278198,0.584895133972168,0.5767832398414612,0.5756640434265137,0.6042553186416626
Gender: Female,1,0.6029249429702759,0.5973110795021057,0.5815179347991943,0.5759164094924927,0.6094339489936829
Age: <40,1,0.6266013383865356,0.6075234413146973,0.6076003909111023,0.6075564622879028,0.6089552044868469
Age: 40-50,1,0.6483314037322998,0.579378068447113,0.5548642873764038,0.5346628427505493,0.5916666984558105
Age: 50-65,1,0.6148664951324463,0.5700196623802185,0.5519058704376221,0.5436570644378662,0.6141176223754883
Race: White,1,0.6393132209777832,0.5973780751228333,0.5920329689979553,0.5885699987411499,0.5962963104248047
Race: Black,1,0.6137129068374634,0.5254629850387573,0.5202020406723022,0.5189422965049744,0.6742424368858337
Race: Other,1,0.5556596517562866,0.5558226108551025,0.5435280799865723,0.5182147026062012,0.545918345451355
Overall,2,0.6364395618438721,0.6162794828414917,0.6050958633422852,0.6039410829544067,0.6260000467300415
Gender: Male,2,0.6473470330238342,0.6184288263320923,0.6113128066062927,0.6122208833694458,0.6333333849906921
Gender: Female,2,0.6278655529022217,0.6160058975219727,0.6009480953216553,0.5962733030319214,0.6192307472229004
Age: <40,2,0.6378881931304932,0.6058313250541687,0.6057602167129517,0.6057143211364746,0.6057971119880676
Age: 40-50,2,0.6646774411201477,0.6789493560791016,0.6357629895210266,0.6308339238166809,0.6708333492279053
Age: 50-65,2,0.6056494116783142,0.5766513347625732,0.561444103717804,0.5575069785118103,0.6168674826622009
Race: White,2,0.6816344261169434,0.6341073513031006,0.6289186477661133,0.6261096000671387,0.6302816867828369
Race: Black,2,0.5371352434158325,0.4967353940010071,0.4974800944328308,0.49224311113357544,0.6401673555374146
Race: Other,2,0.5228800773620605,0.5903743505477905,0.577477753162384,0.5703767538070679,0.5958548784255981
Overall,3,0.6158214807510376,0.5870804786682129,0.5793112516403198,0.5776772499084473,0.6010000109672546
Gender: Male,3,0.6187590956687927,0.5790300369262695,0.5734670162200928,0.5718458294868469,0.589851975440979
Gender: Female,3,0.6107857823371887,0.5941437482833862,0.5839617848396301,0.5823684930801392,0.6110056638717651
Age: <40,3,0.5999674201011658,0.5938292741775513,0.5940371751785278,0.5925396680831909,0.5925925970077515
Age: 40-50,3,0.5992253422737122,0.5784440040588379,0.5691501498222351,0.56578528881073,0.5948275923728943
Age: 50-65,3,0.5980616807937622,0.5380409955978394,0.5293803215026855,0.523757815361023,0.6115108132362366
Race: White,3,0.6230413913726807,0.6019480228424072,0.5991218090057373,0.5959280729293823,0.5984848737716675
Race: Black,3,0.6331391334533691,0.5548433661460876,0.5447975993156433,0.5457258224487305,0.6717557311058044
Race: Other,3,0.49732863903045654,0.4931972622871399,0.49419674277305603,0.4836274981498718,0.5190476179122925
Overall,4,0.6772641539573669,0.6491737961769104,0.634890615940094,0.6362189054489136,0.6610000133514404
Gender: Male,4,0.6567541360855103,0.6167535185813904,0.605793833732605,0.6044038534164429,0.6250000596046448
Gender: Female,4,0.6970881223678589,0.6822775602340698,0.6650167107582092,0.6688919067382812,0.6975806355476379
Age: <40,4,0.6700766086578369,0.6400295495986938,0.6395379900932312,0.6385803818702698,0.6387283205986023
Age: 40-50,4,0.6897164583206177,0.644508957862854,0.6264070868492126,0.6291722655296326,0.6696428656578064
Age: 50-65,4,0.6494462490081787,0.6345279216766357,0.6035829186439514,0.6052458882331848,0.6744186282157898
Race: White,4,0.674072265625,0.6368119716644287,0.632544994354248,0.629341721534729,0.6320582628250122
Race: Black,4,0.7012253999710083,0.6400085687637329,0.6151371002197266,0.6238105297088623,0.76171875
Race: Other,4,0.583820641040802,0.590584397315979,0.5755360722541809,0.5709819793701172,0.6102564334869385
Overall,5,0.6527277827262878,0.6166669130325317,0.6071498990058899,0.6074364185333252,0.6310000419616699
Gender: Male,5,0.6710255146026611,0.6199095249176025,0.6179467439651489,0.6186332702636719,0.632135272026062
Gender: Female,5,0.6314287185668945,0.6169407367706299,0.5977878570556641,0.594444215297699,0.6299810409545898
Age: <40,5,0.6385325193405151,0.6338253617286682,0.6326850652694702,0.6320597529411316,0.6329479813575745
Age: 40-50,5,0.6217279434204102,0.5831416845321655,0.5686287879943848,0.5637869834899902,0.6072874665260315
Age: 50-65,5,0.6540931463241577,0.5991525650024414,0.5862331986427307,0.5877372622489929,0.6437346339225769
Race: White,5,0.6572213172912598,0.6135091185569763,0.6108559370040894,0.609125554561615,0.611829936504364
Race: Black,5,0.6906231641769409,0.656144380569458,0.6154100894927979,0.6244760751724243,0.7356321811676025
Race: Other,5,0.5114349126815796,0.5078377723693848,0.5069673657417297,0.5027902126312256,0.5454545617103577
Overall,6,0.6695246696472168,0.624420702457428,0.614321231842041,0.6145309209823608,0.6360000371932983
Gender: Male,6,0.678441047668457,0.6376204490661621,0.6305698156356812,0.6311798095703125,0.6448413133621216
Gender: Female,6,0.6587765216827393,0.6090340614318848,0.5960582494735718,0.595227062702179,0.6270161271095276
Age: <40,6,0.6349341869354248,0.6166028380393982,0.6164960861206055,0.6165292859077454,0.6171428561210632
Age: 40-50,6,0.7057179808616638,0.662914514541626,0.6391812562942505,0.6340738534927368,0.6546184420585632
Age: 50-65,6,0.6488816142082214,0.5876627564430237,0.5705128312110901,0.5698193907737732,0.6408977508544922
Race: White,6,0.682490348815918,0.634329080581665,0.6295316219329834,0.626083493232727,0.6293578147888184
Race: Black,6,0.6434848308563232,0.5765372514724731,0.5716666579246521,0.5736179351806641,0.6917293667793274
Race: Other,6,0.5734162926673889,0.5673402547836304,0.558427631855011,0.5512820482254028,0.5767195820808411
Overall,7,0.6555143594741821,0.6256896257400513,0.6165605783462524,0.6184413433074951,0.6490000486373901
Gender: Male,7,0.6646255254745483,0.6277743577957153,0.6188133358955383,0.6206064224243164,0.6489795446395874
Gender: Female,7,0.6445631980895996,0.6235836744308472,0.6143084764480591,0.6162657141685486,0.6490196585655212
Age: <40,7,0.6212260723114014,0.6038777828216553,0.604185938835144,0.6038527488708496,0.6045845746994019
Age: 40-50,7,0.6604741811752319,0.6471896767616272,0.607448160648346,0.6031957864761353,0.660516619682312
