group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6638287305831909,0.6105141639709473,0.6082873344421387,0.6090794801712036,0.628000020980835
Gender: Male,0,0.6701149940490723,0.6093451976776123,0.6060165166854858,0.6070324182510376,0.6286307573318481
Gender: Female,0,0.6589553952217102,0.611574113368988,0.6102801561355591,0.6108068227767944,0.6274130940437317
Age: <40,0,0.6104947328567505,0.5789613723754883,0.5790392756462097,0.5789943933486938,0.5814696550369263
Age: 40-50,0,0.7318134307861328,0.6635185480117798,0.6623460054397583,0.6628384590148926,0.6705426573753357
Age: 50-65,0,0.6455055475234985,0.5849441885948181,0.5784887671470642,0.5801295042037964,0.6363636255264282
Race: White,0,0.6916529536247253,0.6389782428741455,0.6401494741439819,0.6375550627708435,0.638059675693512
Race: Black,0,0.6335725784301758,0.5501715540885925,0.5373205542564392,0.5368611812591553,0.6875
Race: Other,0,0.5394489765167236,0.5066283941268921,0.505622148513794,0.4947952926158905,0.5288461446762085
Overall,1,0.6439355611801147,0.588551938533783,0.585391104221344,0.5857601165771484,0.6020000576972961
Gender: Male,1,0.6652121543884277,0.6070763468742371,0.6040093302726746,0.6047883033752441,0.6212765574455261
Gender: Female,1,0.6231120228767395,0.5721212029457092,0.5691297650337219,0.5689400434494019,0.5849056839942932
Age: <40,1,0.5950762033462524,0.5629466772079468,0.5630322694778442,0.56117844581604,0.5611940622329712
Age: 40-50,1,0.6344032883644104,0.5658102035522461,0.5619344115257263,0.5608615875244141,0.5791667103767395
Age: 50-65,1,0.6823921203613281,0.6172860264778137,0.598671555519104,0.599096953868866,0.6470587849617004
Race: White,1,0.6446840763092041,0.5869696140289307,0.587087869644165,0.5868656039237976,0.5870370268821716
Race: Black,1,0.6711050271987915,0.5828590393066406,0.5757575631141663,0.5784094333648682,0.696969747543335
Race: Other,1,0.5297303199768066,0.5165598392486572,0.5129126310348511,0.48573482036590576,0.5153061151504517
Overall,2,0.6516488790512085,0.5878270864486694,0.5867729187011719,0.587079644203186,0.597000002861023
Gender: Male,2,0.6686993837356567,0.602364182472229,0.6018973588943481,0.602105975151062,0.6145833730697632
Gender: Female,2,0.6362100839614868,0.574211835861206,0.5729688405990601,0.573032021522522,0.5807692408561707
Age: <40,2,0.6299569606781006,0.5632011890411377,0.56247478723526,0.5611242055892944,0.5623188614845276
Age: 40-50,2,0.6701477766036987,0.6274046897888184,0.6246802806854248,0.6254775524139404,0.6375000476837158
Age: 50-65,2,0.643796443939209,0.5660815834999084,0.5595232248306274,0.5591501593589783,0.6024096608161926
Race: White,2,0.6848710775375366,0.616153359413147,0.6161706447601318,0.6161543130874634,0.6161971688270569
Race: Black,2,0.5925729870796204,0.49646180868148804,0.496640145778656,0.4962719678878784,0.6108786463737488
Race: Other,2,0.5178920030593872,0.5110828876495361,0.5104098916053772,0.507106363773346,0.5233160257339478
Overall,3,0.6439322233200073,0.604880690574646,0.6025844812393188,0.6031218767166138,0.6150000095367432
Gender: Male,3,0.6620101928710938,0.6208481788635254,0.6182873845100403,0.6188278198242188,0.6279069781303406
Gender: Female,3,0.6263567209243774,0.5901082754135132,0.5881096124649048,0.5886026620864868,0.6034155488014221
Age: <40,3,0.6144347190856934,0.5885023474693298,0.5886119604110718,0.5885379314422607,0.5897436141967773
Age: 40-50,3,0.6461608409881592,0.6057453155517578,0.6034404039382935,0.6040120124816895,0.6163793206214905
Age: 50-65,3,0.638176679611206,0.5861489176750183,0.5788690447807312,0.5804829001426697,0.6354916095733643
Race: White,3,0.630847156047821,0.6136089563369751,0.6135568022727966,0.613547682762146,0.6136363744735718
Race: Black,3,0.6638890504837036,0.5584854483604431,0.5510286688804626,0.5526641011238098,0.6679389476776123
