group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6534373760223389,0.6163845062255859,0.605083703994751,0.6058799028396606,0.6370000243186951
Gender: Male,0,0.623150110244751,0.5919157266616821,0.5842313170433044,0.5845504999160767,0.6161826252937317
Gender: Female,0,0.6789302825927734,0.6398733854293823,0.624487042427063,0.625825822353363,0.6563706398010254
Age: <40,0,0.6364233493804932,0.6197364926338196,0.6180144548416138,0.6182295680046082,0.6230031847953796
Age: 40-50,0,0.7243978977203369,0.694908857345581,0.6571980118751526,0.6553475856781006,0.6860464811325073
Age: 50-65,0,0.6091533899307251,0.5549707412719727,0.5477757453918457,0.5474916696548462,0.6177156567573547
Race: White,0,0.679363489151001,0.643750011920929,0.6395525336265564,0.6399577856063843,0.6473880410194397
Race: Black,0,0.6502392292022705,0.5896874666213989,0.5702551603317261,0.574156641960144,0.70703125
Race: Other,0,0.5359820127487183,0.495959609746933,0.496814101934433,0.479250431060791,0.5240384936332703
Overall,1,0.6273502111434937,0.5945521593093872,0.5844364762306213,0.5826484560966492,0.6100000143051147
Gender: Male,1,0.6466386914253235,0.5859816074371338,0.5797669291496277,0.5795174837112427,0.6042553186416626
Gender: Female,1,0.6095329523086548,0.603716254234314,0.5891716480255127,0.585327684879303,0.6150943636894226
Age: <40,1,0.6320761442184448,0.6143203377723694,0.6147212386131287,0.6142516136169434,0.6149253845214844
Age: 40-50,1,0.6597143411636353,0.606988787651062,0.5789027214050293,0.5654121041297913,0.612500011920929
Age: 50-65,1,0.6067924499511719,0.5580769181251526,0.5443012714385986,0.5365321636199951,0.6047058701515198
Race: White,1,0.63692307472229,0.5961648225784302,0.5929945111274719,0.5912500023841858,0.5962963104248047
Race: Black,1,0.6224365234375,0.5718432664871216,0.560606062412262,0.5634559988975525,0.696969747543335
Race: Other,1,0.5369155406951904,0.5374149680137634,0.5280641317367554,0.4979396462440491,0.5306122303009033
Overall,2,0.6321889162063599,0.5994800329208374,0.5916144847869873,0.5906431078910828,0.6110000014305115
Gender: Male,2,0.6370643377304077,0.6062566041946411,0.6028362512588501,0.6036297678947449,0.6208333373069763
Gender: Female,2,0.6283890008926392,0.5958138704299927,0.5836535692214966,0.5783305168151855,0.6019230484962463
Age: <40,2,0.6455504894256592,0.6146464347839355,0.6144306659698486,0.6142853498458862,0.6144927740097046
Age: 40-50,2,0.6592071056365967,0.6530804634094238,0.6212702393531799,0.6167387962341309,0.6541666984558105
Age: 50-65,2,0.5917844772338867,0.5384185314178467,0.5329877138137817,0.5295987129211426,0.5831325650215149
Race: White,2,0.6741939783096313,0.6283141374588013,0.6257936358451843,0.6245073080062866,0.6267605423927307
Race: Black,2,0.538726806640625,0.49015188217163086,0.49266135692596436,0.4856356382369995,0.6401673555374146
Race: Other,2,0.5009759664535522,0.5105364322662354,0.5089460015296936,0.49741023778915405,0.5284973978996277
Overall,3,0.6198955774307251,0.5663679838180542,0.5612245798110962,0.5595011115074158,0.5820000171661377
Gender: Male,3,0.6196843385696411,0.548305094242096,0.5460177659988403,0.5448556542396545,0.5602536797523499
Gender: Female,3,0.6197912096977234,0.5831336975097656,0.5739064812660217,0.5717238187789917,0.6015180349349976
Age: <40,3,0.6037471294403076,0.5763157606124878,0.5765396356582642,0.5753744840621948,0.5754985809326172
Age: 40-50,3,0.6014277935028076,0.5882457494735718,0.5753778219223022,0.5707850456237793,0.6034482717514038
Age: 50-65,3,0.6096357107162476,0.4983516335487366,0.49862638115882874,0.4932962656021118,0.5755395889282227
Race: White,3,0.6223382949829102,0.5712080001831055,0.5704672336578369,0.5691097974777222,0.5700757503509521
Race: Black,3,0.6323280334472656,0.559260368347168,0.5456086993217468,0.5460395812988281,0.6793892979621887
Race: Other,3,0.5005527138710022,0.4546526074409485,0.4627855718135834,0.44681060314178467,0.49047622084617615
Overall,4,0.675199031829834,0.6364492774009705,0.6265683770179749,0.6278432607650757,0.6500000357627869
Gender: Male,4,0.6556017994880676,0.6036117076873779,0.5983034372329712,0.5982125997543335,0.6130952835083008
Gender: Female,4,0.6910971403121948,0.6706744432449341,0.6539735198020935,0.6574082374572754,0.6875
Age: <40,4,0.6815097332000732,0.6595523953437805,0.6594457626342773,0.6589481830596924,0.6589595079421997
Age: 40-50,4,0.6804908514022827,0.6237493753433228,0.6120186448097229,0.6141002178192139,0.6517857313156128
Age: 50-65,4,0.6394121646881104,0.5909620523452759,0.5739303231239319,0.5736434459686279,0.6418604850769043
Race: White,4,0.6667197942733765,0.6301014423370361,0.6287028193473816,0.6275143623352051,0.6284152865409851
Race: Black,4,0.6900290250778198,0.6400085687637329,0.6151371002197266,0.6238105297088623,0.76171875
Race: Other,4,0.5777561068534851,0.5314685106277466,0.5253411531448364,0.5150814652442932,0.5641025900840759
Overall,5,0.6567129492759705,0.6088102459907532,0.5997878909111023,0.5997803211212158,0.6240000128746033
Gender: Male,5,0.6732509136199951,0.6057440042495728,0.6052656173706055,0.6054791212081909,0.6173361539840698
Gender: Female,5,0.6385265588760376,0.6178525686264038,0.595274031162262,0.5903050899505615,0.6299810409545898
Age: <40,5,0.6439120769500732,0.643380343914032,0.6412723660469055,0.6401637196540833,0.6416184902191162
Age: 40-50,5,0.620778501033783,0.5708938241004944,0.5629323124885559,0.56087327003479,0.5951417088508606
Age: 50-65,5,0.6614372134208679,0.575311541557312,0.5636351704597473,0.5631814002990723,0.6265355944633484
Race: White,5,0.660577118396759,0.6034454107284546,0.6017796993255615,0.6006173491477966,0.6025878190994263
Race: Black,5,0.6856261491775513,0.6761252880096436,0.6190476417541504,0.629643976688385,0.7471264004707336
Race: Other,5,0.5043080449104309,0.47389161586761475,0.4774492383003235,0.46988698840141296,0.5202020406723022
Overall,6,0.6729559898376465,0.615752100944519,0.6089327931404114,0.6094390153884888,0.628000020980835
Gender: Male,6,0.680729866027832,0.6252155303955078,0.6220550537109375,0.6227041482925415,0.6329365372657776
Gender: Female,6,0.6627887487411499,0.6045036911964417,0.5933722853660583,0.5928196907043457,0.6229838728904724
Age: <40,6,0.6422897577285767,0.6253268122673035,0.6253718733787537,0.6253442168235779,0.6257143020629883
Age: 40-50,6,0.7199480533599854,0.6485930681228638,0.633820652961731,0.6311111450195312,0.6465862989425659
Age: 50-65,6,0.6452263593673706,0.561221182346344,0.5515820980072021,0.5504121780395508,0.618453860282898
Race: White,6,0.677399754524231,0.6108606457710266,0.6092841029167175,0.6078222990036011,0.6091743111610413
Race: Black,6,0.646212100982666,0.5916666984558105,0.5816666483879089,0.5852059125900269,0.7067669630050659
Race: Other,6,0.5794117450714111,0.5614046454429626,0.5546945929527283,0.5491651296615601,0.5714285373687744
Overall,7,0.6534148454666138,0.613057017326355,0.6067405939102173,0.6082278490066528,0.6370000243186951
Gender: Male,7,0.6547513008117676,0.6021225452423096,0.5977041721343994,0.5987967252731323,0.6244897842407227
Gender: Female,7,0.6508513689041138,0.6238455772399902,0.6152671575546265,0.6172182559967041,0.6490196585655212
Age: <40,7,0.6235662698745728,0.5981432795524597,0.5984343886375427,0.5981115102767944,0.5988538861274719
Age: 40-50,7,0.662468671798706,0.6577674150466919,0.6151698231697083,0.6118220090866089,0.6678966879844666
Age: 50-65,7,0.6478198766708374,0.584600031375885,0.5808319449424744,0.5822829604148865,0.6500000357627869
Race: White,7,0.6531246304512024,0.620311975479126,0.6166932582855225,0.6169050931930542,0.6254612803459167
Race: Black,7,0.7102957963943481,0.6229261159896851,0.6060369610786438,0.6118072867393494,0.7235772013664246
Race: Other,7,0.5426828861236572,0.533134937286377,0.5313320755958557,0.5309283137321472,0.5660377740859985
Overall,8,0.6607940196990967,0.6074448823928833,0.5952823162078857,0.5929657220840454,0.6180000305175781
Gender: Male,8,0.6498590707778931,0.5984882116317749,0.5929951667785645,0.592531681060791,0.6077235341072083
Gender: Female,8,0.6697425246238708,0.6183443665504456,0.5962392091751099,0.5908375978469849,0.6279527544975281
Age: <40,8,0.6350934505462646,0.59770667552948,0.5980412364006042,0.594697117805481,0.5947521924972534
Age: 40-50,8,0.6910982131958008,0.6706957817077637,0.6400580406188965,0.6292839050292969,0.6502242684364319
Age: 50-65,8,0.6224732398986816,0.5293432474136353,0.5229591727256775,0.5186043977737427,0.6198156476020813
Race: White,8,0.6264837980270386,0.5651786923408508,0.5633538961410522,0.5598376989364624,0.5626102089881897
Race: Black,8,0.6157349348068237,0.5460442304611206,0.5281485319137573,0.5234598517417908,0.7110266089439392
Race: Other,8,0.6955376863479614,0.6825000047683716,0.6517461538314819,0.6408799886703491,0.658823549747467
Overall,9,0.6384334564208984,0.6035279035568237,0.593181848526001,0.5907242298126221,0.612000048160553
Gender: Male,9,0.6595330238342285,0.618706226348877,0.611117959022522,0.6110751628875732,0.6276803016662598
Gender: Female,9,0.6132445335388184,0.5876185894012451,0.5750298500061035,0.5683964490890503,0.595482587814331
