group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6591742634773254,0.6196404099464417,0.606351375579834,0.6069439649581909,0.64000004529953
Gender: Male,0,0.6245869398117065,0.5812509059906006,0.572934627532959,0.5723158717155457,0.607883870601654
Gender: Female,0,0.6901874542236328,0.6559599041938782,0.6373623609542847,0.6392272710800171,0.6698841452598572
Age: <40,0,0.6492850184440613,0.6038617491722107,0.6032215356826782,0.6033852100372314,0.6070287227630615
Age: 40-50,0,0.7059508562088013,0.6815510988235474,0.6514984369277954,0.650297999382019,0.6782945990562439
Age: 50-65,0,0.617890477180481,0.5760135054588318,0.558812141418457,0.5568181872367859,0.6410256624221802
Race: White,0,0.6774252653121948,0.6263463497161865,0.6220873594284058,0.6221804618835449,0.6305969953536987
Race: Black,0,0.6459330320358276,0.5826509594917297,0.5603668093681335,0.5629111528396606,0.70703125
Race: Other,0,0.5687781572341919,0.5703591108322144,0.5541604161262512,0.539483368396759,0.5817307829856873
Overall,1,0.6356183290481567,0.5979043841362,0.5864051580429077,0.5842424631118774,0.6130000352859497
Gender: Male,1,0.6413613557815552,0.5828841924667358,0.5757109522819519,0.5748746395111084,0.6021276116371155
Gender: Female,1,0.629051923751831,0.6128522157669067,0.5963314771652222,0.5925647020339966,0.6226415038108826
Age: <40,1,0.6457811594009399,0.6083475947380066,0.6087275743484497,0.608271062374115,0.6089552044868469
Age: 40-50,1,0.670036792755127,0.6142857074737549,0.591911792755127,0.5844669938087463,0.6208333373069763
Age: 50-65,1,0.6098437309265137,0.5632352828979492,0.5428929924964905,0.5291759967803955,0.611764669418335
Race: White,1,0.6327610015869141,0.5927412509918213,0.5888736248016357,0.5864143371582031,0.5925925970077515
Race: Black,1,0.6418732404708862,0.5636574029922485,0.5505050420761108,0.5525044202804565,0.696969747543335
Race: Other,1,0.5744038224220276,0.5689102411270142,0.553733229637146,0.5290413498878479,0.5561224222183228
Overall,2,0.6358934640884399,0.6151316165924072,0.6042155623435974,0.603080153465271,0.625
Gender: Male,2,0.6376007795333862,0.6182969808578491,0.6105796098709106,0.6114146709442139,0.6333333849906921
Gender: Female,2,0.638841986656189,0.6133517026901245,0.5996097326278687,0.595400333404541,0.617307722568512
Age: <40,2,0.647398829460144,0.6087007522583008,0.6087007522583008,0.6086956262588501,0.6086956858634949
Age: 40-50,2,0.6547315120697021,0.6516484022140503,0.6225489974021912,0.6189091205596924,0.6541666984558105
Age: 50-65,2,0.5931881666183472,0.5807565450668335,0.5604590177536011,0.5536748170852661,0.6216867566108704
Race: White,2,0.6838418245315552,0.6292628049850464,0.625595211982727,0.6236059069633484,0.6267605423927307
Race: Black,2,0.5305039882659912,0.5004662275314331,0.5003536939620972,0.49491560459136963,0.6443514227867126
Race: Other,2,0.5175666809082031,0.592452883720398,0.5743873119354248,0.562891960144043,0.5958548784255981
Overall,3,0.6315547227859497,0.5993524193763733,0.5898129940032959,0.5882852077484131,0.612000048160553
Gender: Male,3,0.6406204700469971,0.5834517478942871,0.5767235159873962,0.5746880769729614,0.5940803289413452
Gender: Female,3,0.6212847232818604,0.6138140559196472,0.6011815071105957,0.6002755165100098,0.6280834674835205
Age: <40,3,0.6083089113235474,0.6124513149261475,0.6128543615341187,0.6121547222137451,0.6125355958938599
Age: 40-50,3,0.6194273233413696,0.5740553140640259,0.5666818618774414,0.5642115473747253,0.5905172228813171
Age: 50-65,3,0.6172161102294922,0.5446596145629883,0.5303342342376709,0.519504189491272,0.6235012412071228
Race: White,3,0.6425845623016357,0.6094329357147217,0.6066693663597107,0.6037866473197937,0.6060606241226196
Race: Black,3,0.6359413266181946,0.5508781671524048,0.5403731465339661,0.5405758023262024,0.6717557311058044
Race: Other,3,0.517133355140686,0.5308529734611511,0.5250552892684937,0.5125925540924072,0.5523809790611267
Overall,4,0.6730061769485474,0.641025185585022,0.628917932510376,0.6301379799842834,0.6540000438690186
Gender: Male,4,0.654449462890625,0.6098946332931519,0.6015365123748779,0.6007130146026611,0.6190476417541504
Gender: Female,4,0.6893391609191895,0.6729260683059692,0.6565508246421814,0.660062313079834,0.6895161271095276
Age: <40,4,0.6771972179412842,0.6394243836402893,0.639270544052124,0.6387011408805847,0.6387283205986023
Age: 40-50,4,0.6617858409881592,0.6195175647735596,0.6107067465782166,0.6126688122749329,0.6473214626312256
Age: 50-65,4,0.6445474624633789,0.6277862191200256,0.595513105392456,0.5957469344139099,0.669767439365387
Race: White,4,0.6699845790863037,0.6219571828842163,0.6196846961975098,0.6176638603210449,0.619307816028595
