group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6512991189956665,0.6080734729766846,0.5951124429702759,0.5927518606185913,0.6195876598358154
Gender: Male,0,0.6546459197998047,0.605557918548584,0.595516562461853,0.5906162261962891,0.6053998470306396
Gender: Female,0,0.6459060907363892,0.6064357757568359,0.5913898944854736,0.5910623669624329,0.6335721611976624
Age: <40,0,0.5913069248199463,0.581012487411499,0.5806949138641357,0.5787504315376282,0.5788617730140686
Age: 40-50,0,0.683881402015686,0.6111385822296143,0.5991003513336182,0.5949057340621948,0.6136820912361145
Age: 50-65,0,0.633317232131958,0.5930097103118896,0.5648444294929504,0.5602777600288391,0.6533816456794739
Race: White,0,0.6799176931381226,0.6019816398620605,0.5928283333778381,0.5812889337539673,0.589353621006012
Race: Black,0,0.5871956944465637,0.5681994557380676,0.5633544325828552,0.5650597810745239,0.6666666865348816
Race: Other,0,0.6253662109375,0.6214558482170105,0.6075873374938965,0.6082702279090881,0.6421568989753723
Overall,1,0.6643755435943604,0.6247735023498535,0.6153845191001892,0.6159346103668213,0.6373456716537476
Gender: Male,1,0.6559665203094482,0.6018014550209045,0.5959011316299438,0.5942459106445312,0.6057082414627075
Gender: Female,1,0.6714890599250793,0.6444714069366455,0.6316037178039551,0.6342885494232178,0.6673346757888794
Age: <40,1,0.6623115539550781,0.6246398687362671,0.6248208284378052,0.6246948838233948,0.62556391954422
Age: 40-50,1,0.6382815837860107,0.6076367497444153,0.6015055775642395,0.6017749309539795,0.619854748249054
Age: 50-65,1,0.630640983581543,0.5877957344055176,0.5626326203346252,0.5592965483665466,0.6547344326972961
Race: White,1,0.6921063661575317,0.6177797913551331,0.6112886071205139,0.6046711206436157,0.6094459891319275
Race: Black,1,0.6735768914222717,0.626255452632904,0.6281472444534302,0.6271623969078064,0.7067510485649109
Race: Other,1,0.5623167753219604,0.5927960872650146,0.5871670842170715,0.5886557102203369,0.6314363479614258
Overall,2,0.6725165843963623,0.6155202388763428,0.6051526069641113,0.6055692434310913,0.6325143575668335
Gender: Male,2,0.7083488702774048,0.6161981821060181,0.6089470982551575,0.6101769208908081,0.6353965401649475
Gender: Female,2,0.6277332305908203,0.615811824798584,0.6015292406082153,0.6000486016273499,0.6291239857673645
Age: <40,2,0.6684173345565796,0.6348572969436646,0.6348789930343628,0.6348617076873779,0.6349206566810608
Age: 40-50,2,0.625141978263855,0.579365611076355,0.5688091516494751,0.5630391836166382,0.5899772644042969
Age: 50-65,2,0.6581653356552124,0.5736024975776672,0.5549156665802002,0.5529264807701111,0.6528436541557312
Race: White,2,0.6813387870788574,0.6050888299942017,0.5981594920158386,0.593280553817749,0.6015180349349976
Race: Black,2,0.67214035987854,0.5909889936447144,0.5799123048782349,0.5831064581871033,0.6811320781707764
Race: Other,2,0.6163864135742188,0.6263929605484009,0.6217539310455322,0.6234034895896912,0.6534954309463501
Overall,3,0.6540600061416626,0.6048581600189209,0.5962674617767334,0.5974793434143066,0.6319018006324768
Gender: Male,3,0.6559675335884094,0.5928120613098145,0.5890095233917236,0.5898153185844421,0.6133909225463867
Gender: Female,3,0.6526365280151367,0.6161961555480957,0.6011449098587036,0.6026641130447388,0.6485437154769897
Age: <40,3,0.6312772035598755,0.6106472015380859,0.6111882925033569,0.6105560660362244,0.6115326285362244
Age: 40-50,3,0.7041150331497192,0.6400325298309326,0.6246212124824524,0.6285683512687683,0.679841935634613
Age: 50-65,3,0.6137399673461914,0.5452941060066223,0.5327669978141785,0.5245940089225769,0.6182048320770264
Race: White,3,0.6571900844573975,0.6006560325622559,0.5948507785797119,0.5927493572235107,0.6032044887542725
Race: Black,3,0.6643664836883545,0.5741944313049316,0.5662018060684204,0.5690483450889587,0.7125256657600403
Race: Other,3,0.6039727926254272,0.576397180557251,0.5718954205513,0.5727129578590393,0.6102941632270813
Overall,4,0.6358555555343628,0.6048918962478638,0.596500813961029,0.5963626503944397,0.6198559403419495
Gender: Male,4,0.6480355262756348,0.6001028418540955,0.5948771834373474,0.5953798294067383,0.6154628992080688
Gender: Female,4,0.6231926679611206,0.6108181476593018,0.5984001159667969,0.5970818400382996,0.6243496537208557
Age: <40,4,0.6113777756690979,0.5916265249252319,0.591911256313324,0.5915850400924683,0.5923753380775452
Age: 40-50,4,0.6553980112075806,0.6375716328620911,0.6237403154373169,0.6216484904289246,0.6395604610443115
Age: 50-65,4,0.6182936429977417,0.5790913105010986,0.5581693053245544,0.5525446534156799,0.6319702863693237
Race: White,4,0.6773084402084351,0.6242997646331787,0.6177318096160889,0.614741861820221,0.6215971112251282
Race: Black,4,0.6082971096038818,0.5415346622467041,0.5392254590988159,0.5400523543357849,0.6653386354446411
Race: Other,4,0.5012335181236267,0.5411524772644043,0.53789222240448,0.5325000286102295,0.5470588207244873
Overall,5,0.6372417211532593,0.6032787561416626,0.5914468169212341,0.5890259146690369,0.6149193644523621
Gender: Male,5,0.6104263067245483,0.5553998947143555,0.5515077114105225,0.5491496920585632,0.5675954818725586
Gender: Female,5,0.6608837842941284,0.6543487310409546,0.6285260915756226,0.6270849704742432,0.6600985527038574
Age: <40,5,0.6256264448165894,0.6087021231651306,0.607581615447998,0.6073166131973267,0.6092503666877747
Age: 40-50,5,0.6411045789718628,0.6184072494506836,0.6062864661216736,0.6000075340270996,0.6137667298316956
Age: 50-65,5,0.6134977340698242,0.5601344108581543,0.5431646108627319,0.534633457660675,0.619904100894928
