group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.64435875415802,0.6085319519042969,0.5928670167922974,0.5891547799110413,0.6195876598358154
Gender: Male,0,0.6514663100242615,0.6064938306808472,0.5929044485092163,0.5853889584541321,0.6043614149093628
Gender: Female,0,0.6348453760147095,0.6074107885360718,0.5908244848251343,0.5900675058364868,0.6345956921577454
Age: <40,0,0.5884354114532471,0.5864236950874329,0.5842552185058594,0.5789638757705688,0.5804877877235413
Age: 40-50,0,0.6864774227142334,0.6058861613273621,0.5909937024116516,0.5842074751853943,0.6076458692550659
Age: 50-65,0,0.624096155166626,0.598024308681488,0.5708539485931396,0.5681620836257935,0.6557970643043518
Race: White,0,0.6874864101409912,0.6210681200027466,0.6058213710784912,0.5903757810592651,0.6017110347747803
Race: Black,0,0.5681008100509644,0.5607057809829712,0.5595266819000244,0.560060977935791,0.6541666984558105
Race: Other,0,0.591686487197876,0.6001611351966858,0.5840616226196289,0.5818971991539001,0.625
Overall,1,0.666062593460083,0.6253446340560913,0.6154941916465759,0.6159827709197998,0.6378600597381592
Gender: Male,1,0.6677392721176147,0.6194137334823608,0.6107251048088074,0.6086264848709106,0.6215644478797913
Gender: Female,1,0.6595370173454285,0.6286154985427856,0.6187398433685303,0.6208490133285522,0.6533066034317017
Age: <40,1,0.6642168760299683,0.6307692527770996,0.6311085224151611,0.6299739480018616,0.630075216293335
Age: 40-50,1,0.6387131214141846,0.5774725675582886,0.5709867477416992,0.5694713592529297,0.5932203531265259
Age: 50-65,1,0.6428387761116028,0.6077712774276733,0.5848857164382935,0.5863093733787537,0.6651270389556885
Race: White,1,0.7085068821907043,0.6447696685791016,0.6342671513557434,0.6261070966720581,0.6321526169776917
Race: Black,1,0.6537356376647949,0.6071405410766602,0.6137794256210327,0.6097903251647949,0.6856539845466614
Race: Other,1,0.5435516834259033,0.5515695810317993,0.5493022799491882,0.5497657656669617,0.5934959650039673
Overall,2,0.6650444269180298,0.6123076677322388,0.600239634513855,0.6000035405158997,0.6299006342887878
Gender: Male,2,0.7066996097564697,0.6276415586471558,0.6178467869758606,0.6193022727966309,0.646034836769104
Gender: Female,2,0.6121382713317871,0.5943706035614014,0.5806456804275513,0.5769757032394409,0.6109215021133423
Age: <40,2,0.6545060873031616,0.617241382598877,0.6165322661399841,0.6154854893684387,0.6158730387687683
Age: 40-50,2,0.6485377550125122,0.5713330507278442,0.5594676733016968,0.55068039894104,0.5831435322761536
Age: 50-65,2,0.6499254703521729,0.595263659954071,0.5752262473106384,0.5765868425369263,0.6646919846534729
Race: White,2,0.6819909811019897,0.6233500242233276,0.6128964424133301,0.6067062616348267,0.6166982650756836
Race: Black,2,0.6650350689888,0.5779585838317871,0.5699999928474426,0.5723658800125122,0.6698113083839417
Race: Other,2,0.5808272361755371,0.571132481098175,0.5656918287277222,0.5662070512771606,0.6079027652740479
Overall,3,0.6530255079269409,0.6016923189163208,0.5929649472236633,0.5940173864364624,0.6293455958366394
Gender: Male,3,0.661033034324646,0.6063418388366699,0.6011607050895691,0.6022356748580933,0.6263498663902283
Gender: Female,3,0.6443777680397034,0.596068263053894,0.5837945938110352,0.5843143463134766,0.6320388317108154
Age: <40,3,0.6366027593612671,0.6012117862701416,0.6007224321365356,0.6008535623550415,0.6039453744888306
Age: 40-50,3,0.697227954864502,0.6268569231033325,0.6104166507720947,0.6137704849243164,0.6699604988098145
Age: 50-65,3,0.6124454736709595,0.5627537965774536,0.5502321720123291,0.5476998090744019,0.6245259642601013
Race: White,3,0.6700068712234497,0.6242980360984802,0.6160346865653992,0.6138925552368164,0.624882161617279
Race: Black,3,0.6174765229225159,0.5278494358062744,0.5263921022415161,0.5268937349319458,0.675564706325531
Race: Other,3,0.5995386838912964,0.5465688705444336,0.54313725233078,0.5428768396377563,0.5857843160629272
Overall,4,0.6384293437004089,0.6069205403327942,0.5962401032447815,0.5954732298851013,0.6219135522842407
Gender: Male,4,0.6495424509048462,0.610522449016571,0.6025624871253967,0.6029434204101562,0.6256358027458191
Gender: Female,4,0.6267341375350952,0.6036357283592224,0.5900191068649292,0.5874412059783936,0.6181061863899231
Age: <40,4,0.6164882183074951,0.5855416059494019,0.5846858024597168,0.5846537351608276,0.5879765152931213
Age: 40-50,4,0.6615303754806519,0.6164157390594482,0.5969358086585999,0.5895035266876221,0.6175824403762817
Age: 50-65,4,0.6223034858703613,0.6116211414337158,0.589503288269043,0.5897305607795715,0.6530359387397766
Race: White,4,0.6868652105331421,0.6375772953033447,0.6280701756477356,0.6240583658218384,0.6324864029884338
Race: Black,4,0.5865039825439453,0.5367848873138428,0.533877968788147,0.5346927642822266,0.6653386354446411
Race: Other,4,0.49400603771209717,0.5145893692970276,0.5131171941757202,0.50487220287323,0.5235294103622437
Overall,5,0.6389681100845337,0.6113553047180176,0.5989285111427307,0.5969904065132141,0.6219757795333862
Gender: Male,5,0.6124172806739807,0.5822339057922363,0.5756409168243408,0.5734583735466003,0.5923632979393005
Gender: Female,5,0.6597001552581787,0.6410684585571289,0.6203619241714478,0.619157075881958,0.6502463221549988
Age: <40,5,0.6415067911148071,0.6107989549636841,0.608483076095581,0.6076023578643799,0.6108452677726746
Age: 40-50,5,0.6401811838150024,0.6024720668792725,0.5904054045677185,0.5822683572769165,0.5984703302383423
Age: 50-65,5,0.6137467622756958,0.6003430485725403,0.578648567199707,0.5772876739501953,0.6450839638710022
Race: White,5,0.6639795303344727,0.6315031051635742,0.622545063495636,0.6208034753799438,0.6323907375335693
Race: Black,5,0.5975593328475952,0.5245257616043091,0.518237829208374,0.5126895904541016,0.6339868903160095
Race: Other,5,0.5590347051620483,0.5781114101409912,0.5699300765991211,0.5598466396331787,0.5726256966590881
Overall,6,0.6526749134063721,0.6151906251907349,0.6008979082107544,0.6000546813011169,0.6318036317825317
Gender: Male,6,0.6344084739685059,0.5886216163635254,0.5824456810951233,0.5809851884841919,0.5980066657066345
Gender: Female,6,0.661350429058075,0.6405627727508545,0.6137707233428955,0.6142542362213135,0.6632338166236877
Age: <40,6,0.5930554866790771,0.5898398160934448,0.5887284278869629,0.5888161063194275,0.5937984585762024
Age: 40-50,6,0.7165377140045166,0.6460363268852234,0.6246989369392395,0.6165387630462646,0.6353944540023804
Age: 50-65,6,0.6412140130996704,0.5997400879859924,0.5710875391960144,0.5688214302062988,0.6618421077728271
Race: White,6,0.6549052000045776,0.6101363301277161,0.6010640263557434,0.5927630662918091,0.6012084484100342
Race: Black,6,0.6447166204452515,0.565295934677124,0.5642482042312622,0.5647525191307068,0.7283950448036194
Race: Other,6,0.5895887613296509,0.5870802998542786,0.5761363506317139,0.5689631700515747,0.5898734331130981
Overall,7,0.655217170715332,0.6150550842285156,0.6052034497261047,0.6066237092018127,0.6397170424461365
Gender: Male,7,0.6290265321731567,0.590641975402832,0.5850251913070679,0.5842803120613098,0.6013667583465576
Gender: Female,7,0.6725722551345825,0.6317161321640015,0.6179684996604919,0.6213107109069824,0.670299768447876
