group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6664034128189087,0.6219426393508911,0.6068388223648071,0.6048813462257385,0.6314433217048645
Gender: Male,0,0.6828460097312927,0.6321192383766174,0.6212280988693237,0.6179933547973633,0.6303219199180603
Gender: Female,0,0.6451801657676697,0.604563295841217,0.5868009924888611,0.5852282643318176,0.6325486302375793
Age: <40,0,0.6101150512695312,0.6017251014709473,0.599974513053894,0.595849335193634,0.5967479348182678
Age: 40-50,0,0.6983966827392578,0.6416878700256348,0.6146115660667419,0.605555534362793,0.6338027715682983
Age: 50-65,0,0.6633840799331665,0.6030351519584656,0.5841911435127258,0.5854931473731995,0.6557970643043518
Race: White,0,0.6906614303588867,0.6154256463050842,0.6099655628204346,0.6036146283149719,0.6074144244194031
Race: Black,0,0.5735689997673035,0.5774776935577393,0.5609921216964722,0.5632764101028442,0.6875000596046448
Race: Other,0,0.6032803058624268,0.6029605865478516,0.5799424052238464,0.574440062046051,0.6274510025978088
Overall,1,0.6753106117248535,0.6310312747955322,0.6222754120826721,0.6231695413589478,0.6430041193962097
Gender: Male,1,0.6810376048088074,0.6284370422363281,0.6223223209381104,0.6216932535171509,0.6310782432556152
Gender: Female,1,0.6652628183364868,0.6295089721679688,0.6185786724090576,0.6207183599472046,0.6543086171150208
Age: <40,1,0.6759213805198669,0.6522130966186523,0.6526439189910889,0.6521785259246826,0.6526315808296204
Age: 40-50,1,0.640798807144165,0.604454517364502,0.5913525819778442,0.5887905955314636,0.6174334287643433
Age: 50-65,1,0.6543493270874023,0.5871724486351013,0.5726909041404724,0.5737329125404358,0.6478059887886047
Race: White,1,0.6986348628997803,0.6351784467697144,0.6323908567428589,0.629704475402832,0.6312443614006042
Race: Black,1,0.6544426679611206,0.6143611669540405,0.6017378568649292,0.6062175035476685,0.7088607549667358
Race: Other,1,0.5269211530685425,0.5395649075508118,0.5345354676246643,0.5328010320663452,0.5934959650039673
Overall,2,0.6748477220535278,0.6159816980361938,0.6042489409446716,0.6043636202812195,0.6330370903015137
Gender: Male,2,0.7016897201538086,0.6246957778930664,0.6165981888771057,0.6180456876754761,0.6431334614753723
Gender: Female,2,0.6382095217704773,0.6066820621490479,0.5909626483917236,0.5878185033798218,0.6211603879928589
Age: <40,2,0.6626209616661072,0.6354789137840271,0.6352822780609131,0.6348617076873779,0.6349206566810608
Age: 40-50,2,0.639701247215271,0.5937814712524414,0.5705344080924988,0.5558314919471741,0.5990888476371765
Age: 50-65,2,0.6739832162857056,0.5777736306190491,0.5648267269134521,0.5658526420593262,0.6492891311645508
Race: White,2,0.6777499914169312,0.6160700917243958,0.6111831665039062,0.6085206270217896,0.6138519644737244
Race: Black,2,0.6623333692550659,0.5930851101875305,0.566929817199707,0.5687680840492249,0.6943396329879761
Race: Other,2,0.5916014909744263,0.5546942949295044,0.5494316816329956,0.5489201545715332,0.5957446694374084
Overall,3,0.6646435260772705,0.610309898853302,0.6027688980102539,0.6042443513870239,0.6359918117523193
Gender: Male,3,0.6703673601150513,0.6185320019721985,0.615524172782898,0.6165348291397095,0.636069118976593
Gender: Female,3,0.6559674143791199,0.6011946201324463,0.5889759659767151,0.5899137258529663,0.635922372341156
Age: <40,3,0.649763822555542,0.6258318424224854,0.6264471411705017,0.6257687211036682,0.626707136631012
Age: 40-50,3,0.7233298420906067,0.6408011317253113,0.6142045259475708,0.6178659796714783,0.6818181872367859
Age: 50-65,3,0.6159420013427734,0.5529134273529053,0.5441465973854065,0.5422844886779785,0.6144121289253235
Race: White,3,0.6584756970405579,0.6097882986068726,0.6076711416244507,0.6076102256774902,0.6126295924186707
Race: Black,3,0.6434253454208374,0.5682625770568848,0.5543175935745239,0.5573696494102478,0.7186858654022217
Race: Other,3,0.6026400327682495,0.5537320375442505,0.5464052557945251,0.5443947911262512,0.5980392098426819
Overall,4,0.6434116959571838,0.6117982864379883,0.6030063629150391,0.6031256914138794,0.6260287761688232
Gender: Male,4,0.6649554967880249,0.6300286650657654,0.6239880323410034,0.6251649856567383,0.6429297924041748
Gender: Female,4,0.6183597445487976,0.5927403569221497,0.5819109678268433,0.5796033143997192,0.6087409257888794
Age: <40,4,0.6252676248550415,0.6056504249572754,0.6057233810424805,0.6056816577911377,0.607038140296936
Age: 40-50,4,0.6716662645339966,0.6541818380355835,0.6242090463638306,0.6167649030685425,0.6461538672447205
Age: 50-65,4,0.6230282783508301,0.5844746232032776,0.5712860822677612,0.5710570812225342,0.6307311058044434
Race: White,4,0.6761277914047241,0.6367566585540771,0.6335839629173279,0.6327823400497437,0.6361161470413208
Race: Black,4,0.604859471321106,0.5548505187034607,0.5471405982971191,0.5489000678062439,0.6852589845657349
Race: Other,4,0.48167067766189575,0.4895811080932617,0.491573691368103,0.47210824489593506,0.5058823823928833
Overall,5,0.6378821134567261,0.6130272746086121,0.6008279323577881,0.5991361141204834,0.6234878897666931
