group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6618547439575195,0.619783878326416,0.6039859056472778,0.6015176177024841,0.6293814778327942
Gender: Male,0,0.6728265285491943,0.6243102550506592,0.6102728843688965,0.6045966148376465,0.6209761500358582
Gender: Female,0,0.6468344926834106,0.6113744378089905,0.5952197909355164,0.5950330495834351,0.6376663446426392
Age: <40,0,0.599126935005188,0.5786840915679932,0.578008770942688,0.5752458572387695,0.5756097435951233
Age: 40-50,0,0.7028050422668457,0.6234509348869324,0.6083254218101501,0.60361248254776,0.6237424612045288
Age: 50-65,0,0.6508158445358276,0.6236714124679565,0.5854124426841736,0.5836145877838135,0.6727052927017212
Race: White,0,0.6883073449134827,0.616087794303894,0.6084973812103271,0.6000458002090454,0.6055132746696472
Race: Black,0,0.5683632493019104,0.5589185953140259,0.5514337420463562,0.5530622005462646,0.6666666865348816
Race: Other,0,0.608864426612854,0.6301587820053101,0.5983222723007202,0.5935805439949036,0.6470588445663452
Overall,1,0.6824566721916199,0.6481519937515259,0.6371017098426819,0.638363242149353,0.6584361791610718
Gender: Male,1,0.6866629719734192,0.6436763405799866,0.6351931095123291,0.6343607902526855,0.6448202729225159
Gender: Female,1,0.673126220703125,0.6491425037384033,0.6363242864608765,0.6391710638999939,0.671342670917511
Age: <40,1,0.6804670691490173,0.6502944231033325,0.650547981262207,0.6503680348396301,0.651127815246582
Age: 40-50,1,0.6462888717651367,0.6101988554000854,0.6036152839660645,0.603880763053894,0.6222760677337646
Age: 50-65,1,0.6643598079681396,0.6296051740646362,0.5936650037765503,0.594857931137085,0.6812933087348938
Race: White,1,0.7073220014572144,0.6452230215072632,0.6415878534317017,0.6384656429290771,0.640326976776123
Race: Black,1,0.6547391414642334,0.6137427091598511,0.6064586639404297,0.6094632744789124,0.7046413421630859
Race: Other,1,0.5502740144729614,0.6108585596084595,0.5893493890762329,0.58977210521698,0.6531165242195129
Overall,2,0.6776881217956543,0.618973970413208,0.6066597104072571,0.6068225502967834,0.6356508135795593
Gender: Male,2,0.713172197341919,0.6247775554656982,0.6169910430908203,0.6184490323066711,0.6431334614753723
Gender: Female,2,0.6320289373397827,0.6137385964393616,0.5958742499351501,0.5925586819648743,0.6268486976623535
Age: <40,2,0.6692237854003906,0.627364456653595,0.6272681355476379,0.6269606351852417,0.6269841194152832
Age: 40-50,2,0.6645486950874329,0.5741289854049683,0.5615085363388062,0.5525425672531128,0.5854214429855347
Age: 50-65,2,0.6605434417724609,0.5983736515045166,0.5749562978744507,0.575803279876709,0.6682464480400085
Race: White,2,0.6839295029640198,0.6169921159744263,0.6121578216552734,0.609569787979126,0.614800751209259
Race: Black,2,0.6589298248291016,0.5589622259140015,0.5464912056922913,0.5467972755432129,0.6679245233535767
Race: Other,2,0.6004420518875122,0.6166666746139526,0.5947588682174683,0.5947277545928955,0.6504559516906738
Overall,3,0.6657372713088989,0.6129156947135925,0.6046105027198792,0.6061500310897827,0.6385480165481567
Gender: Male,3,0.6765401363372803,0.625637412071228,0.6204900145530701,0.6218967437744141,0.6436284780502319
Gender: Female,3,0.6549738049507141,0.5994460582733154,0.5884610414505005,0.589515209197998,0.6339805722236633
Age: <40,3,0.6518199443817139,0.6088502407073975,0.6093220710754395,0.6088478565216064,0.6100151538848877
Age: 40-50,3,0.7099001407623291,0.6428980827331543,0.6287878751754761,0.6327233910560608,0.6818181872367859
Age: 50-65,3,0.6264950037002563,0.5731493830680847,0.5554770231246948,0.5518378615379333,0.6346397399902344
Race: White,3,0.6682283878326416,0.6146310567855835,0.6120725274085999,0.6119560599327087,0.6173421144485474
Race: Black,3,0.6166379451751709,0.5392835140228271,0.5333405137062073,0.534392774105072,0.6960985660552979
Race: Other,3,0.6146866083145142,0.5844370722770691,0.5692810416221619,0.5672903060913086,0.625
Overall,4,0.6499117612838745,0.6232662796974182,0.6123800277709961,0.6125999689102173,0.6363168358802795
Gender: Male,4,0.6645936965942383,0.6320899724960327,0.6250393390655518,0.6262434720993042,0.6449643969535828
Gender: Female,4,0.6350330710411072,0.6146544218063354,0.5997803211212158,0.5978045463562012,0.627471387386322
Age: <40,4,0.6263467073440552,0.5942710638046265,0.5944924354553223,0.5942996144294739,0.5953079462051392
Age: 40-50,4,0.6772518157958984,0.6358752846717834,0.6160846948623657,0.6111831665039062,0.6351648569107056
Age: 50-65,4,0.631320595741272,0.6371330618858337,0.6033248901367188,0.6037469506263733,0.6716232895851135
Race: White,4,0.688721776008606,0.6387156844139099,0.635338306427002,0.6344850659370422,0.6379310488700867
Race: Black,4,0.5934853553771973,0.5385545492172241,0.5311193466186523,0.5312463641166687,0.6812748908996582
Race: Other,4,0.497932493686676,0.5633523464202881,0.5498801469802856,0.5319069623947144,0.5647059082984924
