group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.5916926860809326,0.5798547267913818,0.5421546101570129,0.5109717845916748,0.6100000143051147
Gender: Male,0,0.5329921245574951,0.5609452724456787,0.5352011322975159,0.5083305239677429,0.6016597747802734
Gender: Female,0,0.6414580345153809,0.6016590595245361,0.5487682223320007,0.5132780075073242,0.6177605986595154
Age: <40,0,0.6116042137145996,0.5841038823127747,0.5605481863021851,0.5380100011825562,0.5814696550369263
Age: 40-50,0,0.6553900241851807,0.6654921770095825,0.5460562705993652,0.47556793689727783,0.604651153087616
Age: 50-65,0,0.5360133647918701,0.5364317893981934,0.5186964273452759,0.49345317482948303,0.634032666683197
Race: White,0,0.5906403064727783,0.5843437910079956,0.5479711890220642,0.5085601210594177,0.5783581733703613
Race: Black,0,0.6041467189788818,0.525564432144165,0.5109250545501709,0.4899992048740387,0.70703125
Race: Other,0,0.54076087474823,0.5604459047317505,0.5342953205108643,0.4956270456314087,0.572115421295166
Overall,1,0.5544288158416748,0.5343124866485596,0.5214609503746033,0.4921519160270691,0.5690000057220459
Gender: Male,1,0.5466480255126953,0.5443110466003418,0.5303496718406677,0.510014533996582,0.5787233710289001
Gender: Female,1,0.5631027221679688,0.5250706672668457,0.5142906904220581,0.47569531202316284,0.5603773593902588
Age: <40,1,0.5824804902076721,0.5582106113433838,0.5483790040016174,0.534656286239624,0.5611940622329712
Age: 40-50,1,0.6118495464324951,0.536697268486023,0.5124434232711792,0.4404089152812958,0.5666667222976685
Age: 50-65,1,0.5032859444618225,0.4919467866420746,0.4954114556312561,0.4635343551635742,0.5764705538749695
Race: White,1,0.5534889698028564,0.5502195358276367,0.5339285731315613,0.49815642833709717,0.5444444417953491
Race: Black,1,0.5323691368103027,0.5037606954574585,0.502525269985199,0.4947652816772461,0.6780303120613098
Race: Other,1,0.5336873531341553,0.4757390022277832,0.4864104986190796,0.42454490065574646,0.4897959232330322
Overall,2,0.6092323660850525,0.5921828746795654,0.5580496788024902,0.5325637459754944,0.5990000367164612
