group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6092989444732666,0.5772187113761902,0.5766198039054871,0.5768692493438721,0.5950000286102295
Gender: Male,0,0.5724138021469116,0.5481990575790405,0.5501077175140381,0.5461890697479248,0.5539419651031494
Gender: Female,0,0.6467381715774536,0.6130654811859131,0.6019726991653442,0.6024847626686096,0.6332046389579773
Age: <40,0,0.6323553919792175,0.614661693572998,0.6153024435043335,0.6131658554077148,0.6134185194969177
Age: 40-50,0,0.662621796131134,0.5868096351623535,0.5724397897720337,0.5660324692726135,0.6007751822471619
Age: 50-65,0,0.5528099536895752,0.5380175113677979,0.5392928123474121,0.5382570624351501,0.5780885815620422
Race: White,0,0.5767637491226196,0.5441478490829468,0.5434415936470032,0.5432361960411072,0.5503731369972229
Race: Black,0,0.6083731651306152,0.6359648704528809,0.5692185163497925,0.5699887871742249,0.7421875
Race: Other,0,0.5457271337509155,0.5534161329269409,0.5483508110046387,0.5235156416893005,0.5288461446762085
Overall,1,0.5816299319267273,0.5791988372802734,0.5787782669067383,0.5789499282836914,0.5900000333786011
Gender: Male,1,0.5470583438873291,0.5436468124389648,0.5449417233467102,0.5397005081176758,0.542553186416626
Gender: Female,1,0.6150661706924438,0.6223891973495483,0.6110578775405884,0.6104042530059814,0.6320754885673523
Age: <40,1,0.6043441295623779,0.6057657599449158,0.604433536529541,0.599568247795105,0.6000000238418579
Age: 40-50,1,0.6332720518112183,0.6200283765792847,0.595588207244873,0.5879120826721191,0.6250000596046448
Age: 50-65,1,0.5333051681518555,0.5361568927764893,0.5361568927764893,0.5361568927764893,0.5623528957366943
Race: White,1,0.5257829427719116,0.5356727838516235,0.5354395508766174,0.5351943969726562,0.5370370149612427
Race: Black,1,0.5696357488632202,0.5830143094062805,0.558080792427063,0.5604590773582458,0.7159091234207153
Race: Other,1,0.5377485752105713,0.5749080777168274,0.5678954124450684,0.5566201210021973,0.5663264989852905
Overall,2,0.6079486608505249,0.5872781276702881,0.5872293710708618,0.5872531533241272,0.5950000286102295
Gender: Male,2,0.5999213457107544,0.575098991394043,0.5773082375526428,0.5706337690353394,0.5729166865348816
Gender: Female,2,0.6233643889427185,0.6095199584960938,0.6015014052391052,0.5999938249588013,0.6153846383094788
Age: <40,2,0.6386947631835938,0.629457950592041,0.6290664076805115,0.6287328600883484,0.6289855241775513
Age: 40-50,2,0.6899687051773071,0.660019040107727,0.6436487436294556,0.644444465637207,0.6666666865348816
Age: 50-65,2,0.5207850933074951,0.5044578313827515,0.5045806169509888,0.5040011405944824,0.5253012180328369
Race: White,2,0.6064732074737549,0.5900934934616089,0.5890376567840576,0.588225245475769,0.5897887349128723
Race: Black,2,0.4955791234970093,0.5213461518287659,0.5147215127944946,0.5084327459335327,0.6652719378471375
Race: Other,2,0.573628306388855,0.5558220148086548,0.545434832572937,0.5089601874351501,0.5233160257339478
Overall,3,0.6004678010940552,0.5655184984207153,0.5652394890785217,0.5653502941131592,0.5750000476837158
Gender: Male,3,0.577285885810852,0.545582115650177,0.5462536811828613,0.543856143951416,0.5454545617103577
