group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6332665681838989,0.5863373279571533,0.5808870792388916,0.5813484787940979,0.609000027179718
Gender: Male,0,0.6348419189453125,0.5826147198677063,0.5827586650848389,0.5826839804649353,0.5995851159095764
Gender: Female,0,0.6322911977767944,0.5936596393585205,0.5797370672225952,0.5774459838867188,0.6177605986595154
Age: <40,0,0.6410256624221802,0.6065241098403931,0.6025846004486084,0.6019970178604126,0.610223650932312
Age: 40-50,0,0.6700373888015747,0.6624440550804138,0.6446037888526917,0.644810140132904,0.6666666865348816
Age: 50-65,0,0.5963503122329712,0.5165154933929443,0.5158647298812866,0.5157983899116516,0.5734266042709351
Race: White,0,0.6119468212127686,0.566659688949585,0.5669742822647095,0.5633355379104614,0.5634328126907349
Race: Black,0,0.6385965347290039,0.6230158805847168,0.5098883509635925,0.45391079783439636,0.7421875
Race: Other,0,0.530734658241272,0.5450395345687866,0.5346701741218567,0.5183101892471313,0.5625
Overall,1,0.6227204203605652,0.5790109634399414,0.573646605014801,0.572996973991394,0.5950000286102295
Gender: Male,1,0.6121212244033813,0.5740740299224854,0.574592113494873,0.5742654800415039,0.585106372833252
Gender: Female,1,0.635020911693573,0.5905263423919678,0.5749390125274658,0.5682632923126221,0.6037735939025879
Age: <40,1,0.6064553260803223,0.5889056921005249,0.5884920954704285,0.5885664224624634,0.5910447835922241
Age: 40-50,1,0.6478365659713745,0.6071428060531616,0.5916289687156677,0.5873205661773682,0.6166666746139526
Age: 50-65,1,0.6144675016403198,0.5449646711349487,0.539759635925293,0.5378608107566833,0.585882306098938
Race: White,1,0.571648359298706,0.5431249141693115,0.5427197813987732,0.5402299165725708,0.5407407283782959
Race: Black,1,0.5717018842697144,0.6650917530059814,0.5227272510528564,0.4833659529685974,0.7537878751754761
Race: Other,1,0.5524315237998962,0.5393671989440918,0.5278558731079102,0.49205636978149414,0.5306122303009033
Overall,2,0.6404334306716919,0.6132913827896118,0.6091060042381287,0.6096398830413818,0.6230000257492065
Gender: Male,2,0.6425365209579468,0.6079314947128296,0.6083889007568359,0.6081353425979614,0.6187500357627869
Gender: Female,2,0.6426851749420166,0.6224514842033386,0.6123580932617188,0.6107484102249146,0.6269230842590332
Age: <40,2,0.6606398820877075,0.64402174949646,0.6433828473091125,0.6430463790893555,0.643478274345398
Age: 40-50,2,0.6928104162216187,0.6982665061950684,0.6690110564231873,0.6701248288154602,0.6958333849906921
Age: 50-65,2,0.580628514289856,0.5338902473449707,0.5332709550857544,0.5334153175354004,0.5638554096221924
Race: White,2,0.6361607313156128,0.604687511920929,0.6030257940292358,0.6008458137512207,0.6021126508712769
Race: Black,2,0.504332423210144,0.4459942877292633,0.49332448840141296,0.4293179214000702,0.7112970352172852
Race: Other,2,0.5433745384216309,0.5660474896430969,0.5555194020271301,0.5458562970161438,0.575129508972168
Overall,3,0.6282520294189453,0.6030548810958862,0.5962079167366028,0.5959748029708862,0.6150000095367432
Gender: Male,3,0.6283018589019775,0.596256673336029,0.5933961868286133,0.5935996770858765,0.604651153087616
Gender: Female,3,0.6277023553848267,0.6094311475753784,0.5972850918769836,0.596196711063385,0.6242884397506714
Age: <40,3,0.6530791521072388,0.6588264107704163,0.6583088636398315,0.6552258729934692,0.6552706360816956
Age: 40-50,3,0.6028708219528198,0.5795482993125916,0.5730234384536743,0.5716193914413452,0.5948275923728943
Age: 50-65,3,0.5897181034088135,0.5279659628868103,0.5245726704597473,0.5229731798171997,0.5923261642456055
Race: White,3,0.5869396924972534,0.5797838568687439,0.5792343616485596,0.5786749124526978,0.5795454978942871
Race: Black,3,0.5979647636413574,0.5809524059295654,0.5106555819511414,0.4577440619468689,0.7251908183097839
Race: Other,3,0.5427412986755371,0.5494003295898438,0.5413596034049988,0.532202422618866,0.5666666626930237
Overall,4,0.678554356098175,0.6496440768241882,0.6414155960083008,0.6431211233139038,0.6620000600814819
Gender: Male,4,0.6518725752830505,0.6334909200668335,0.630121648311615,0.6308618783950806,0.6408730745315552
Gender: Female,4,0.6977708339691162,0.6659823656082153,0.6497405767440796,0.6529875993728638,0.6834677457809448
Age: <40,4,0.6888643503189087,0.6741846799850464,0.6719486713409424,0.6698141098022461,0.6705201864242554
Age: 40-50,4,0.7090985774993896,0.6657718420028687,0.6567922234535217,0.6597222089767456,0.6875000596046448
Age: 50-65,4,0.6305850148200989,0.5987427234649658,0.5903303623199463,0.5922414064407349,0.6418604850769043
Race: White,4,0.6344693899154663,0.617172360420227,0.6153249144554138,0.6140050888061523,0.6156648397445679
Race: Black,4,0.6206470727920532,0.6397637724876404,0.5062593817710876,0.4540352523326874,0.77734375
Race: Other,4,0.6047216653823853,0.6344444751739502,0.5982781052589417,0.5896464586257935,0.6410256624221802
Overall,5,0.6586593389511108,0.6153496503829956,0.6101505756378174,0.6110193729400635,0.6290000081062317
Gender: Male,5,0.6678436994552612,0.6059792637825012,0.6070864200592041,0.6063524484634399,0.6152219772338867
Gender: Female,5,0.646999716758728,0.6295197010040283,0.6132478713989258,0.612429141998291,0.6413662433624268
Age: <40,5,0.6661654710769653,0.636043906211853,0.6324846744537354,0.630351185798645,0.6329479813575745
Age: 40-50,5,0.621524453163147,0.6124999523162842,0.6101654767990112,0.6109436750411987,0.6275303959846497
Age: 50-65,5,0.6534878015518188,0.5844347476959229,0.5790339708328247,0.580366849899292,0.6265355944633484
Race: White,5,0.6341207027435303,0.6120193600654602,0.6107056140899658,0.6090786457061768,0.6099815368652344
Race: Black,5,0.637933611869812,0.7407587766647339,0.5181878209114075,0.4609983563423157,0.7318007349967957
Race: Other,5,0.5552600622177124,0.5100529193878174,0.509094774723053,0.5059332251548767,0.5454545617103577
Overall,6,0.677189826965332,0.6310033202171326,0.6238862872123718,0.6248182058334351,0.6420000195503235
Gender: Male,6,0.7006722092628479,0.6501264572143555,0.6472791433334351,0.6481000781059265,0.6567460894584656
Gender: Female,6,0.653639554977417,0.6091633439064026,0.5975356101989746,0.5971745848655701,0.6270161271095276
Age: <40,6,0.6488933563232422,0.6344637274742126,0.6320899724960327,0.6315789222717285,0.6342856884002686
Age: 40-50,6,0.7558155059814453,0.6574846506118774,0.6497076153755188,0.6495919227600098,0.6586345434188843
Age: 50-65,6,0.6384614706039429,0.592256486415863,0.5831969380378723,0.5848712921142578,0.6384040117263794
Race: White,6,0.6497657299041748,0.6230932474136353,0.6219295263290405,0.6210883855819702,0.6220183372497559
Race: Black,6,0.6093939542770386,0.4583333432674408,0.4950757622718811,0.43780192732810974,0.7368420958518982
Race: Other,6,0.5934389233589172,0.5548245906829834,0.5466629266738892,0.5375387668609619,0.5661375522613525
Overall,7,0.6439062356948853,0.6002229452133179,0.5976190567016602,0.5985051989555359,0.6230000257492065
Gender: Male,7,0.619929850101471,0.5756802558898926,0.576080322265625,0.5758572220802307,0.5938775539398193
Gender: Female,7,0.6641265153884888,0.6262009143829346,0.6178181171417236,0.6198238134384155,0.6509804129600525
Age: <40,7,0.6410678625106812,0.6082244515419006,0.6064766049385071,0.606356143951416,0.610315203666687
Age: 40-50,7,0.6739228963851929,0.6538388133049011,0.6377080082893372,0.6402350664138794,0.6715867519378662
Age: 50-65,7,0.5996571183204651,0.5446153879165649,0.546901285648346,0.5451108813285828,0.6000000238418579
Race: White,7,0.6043431758880615,0.5872592926025391,0.5871933102607727,0.5811793804168701,0.5811808109283447
Race: Black,7,0.6938155889511108,0.44172143936157227,0.4915430545806885,0.4337169826030731,0.7235772013664246
Race: Other,7,0.5641650557518005,0.5779221057891846,0.5652908086776733,0.5627766847610474,0.6132075786590576
Overall,8,0.6652728915214539,0.6301548480987549,0.6223591566085815,0.6228390336036682,0.6390000581741333
Gender: Male,8,0.6614667177200317,0.6146068572998047,0.6149356365203857,0.6147478222846985,0.619918704032898
Gender: Female,8,0.6622906923294067,0.6545447707176208,0.6273465156555176,0.6247644424438477,0.6574802994728088
Age: <40,8,0.6527977585792542,0.6458205580711365,0.6467193961143494,0.6440697908401489,0.6443148851394653
Age: 40-50,8,0.6611030697822571,0.6499183773994446,0.6332849264144897,0.6274018287658691,0.6412556171417236
Age: 50-65,8,0.651457667350769,0.5685712695121765,0.563095211982727,0.564430296421051,0.6336405277252197
Race: White,8,0.6066495776176453,0.5822796821594238,0.5816203355789185,0.5809887647628784,0.5820105671882629
Race: Black,8,0.5378454923629761,0.4779069721698761,0.4977622628211975,0.44118860363960266,0.7452471256256104
Race: Other,8,0.7027438879013062,0.6959868669509888,0.6570122241973877,0.6439986824989319,0.6647058725357056
Overall,9,0.6411282420158386,0.6160541772842407,0.6039772629737854,0.6017489433288574,0.6230000257492065
Gender: Male,9,0.6705582141876221,0.6375661492347717,0.6302613019943237,0.6309177875518799,0.6452241539955139
Gender: Female,9,0.6144223213195801,0.5933203101158142,0.5773767232894897,0.5688680410385132,0.5995893478393555
Age: <40,9,0.6612434387207031,0.6383070349693298,0.6334810256958008,0.6232044696807861,0.6246334314346313
