group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6124588251113892,0.5853656530380249,0.5869550108909607,0.5857446789741516,0.5980000495910645
Gender: Male,0,0.5748203992843628,0.5472968220710754,0.5493354797363281,0.5427979826927185,0.5477178692817688
Gender: Female,0,0.646320104598999,0.627833366394043,0.6225205659866333,0.6239267587661743,0.644787609577179
Age: <40,0,0.6399983167648315,0.6032001972198486,0.6025640964508057,0.5973412990570068,0.5974440574645996
Age: 40-50,0,0.6531838178634644,0.6343558430671692,0.6275050640106201,0.6283119320869446,0.643410861492157
Age: 50-65,0,0.5567307472229004,0.5312018394470215,0.532334566116333,0.5313034653663635,0.5710955858230591
Race: White,0,0.6190395355224609,0.5909579992294312,0.5914689898490906,0.591005802154541,0.5932835936546326
Race: Black,0,0.60917067527771,0.5772913694381714,0.5901116132736206,0.5789473652839661,0.6484375
Race: Other,0,0.5510681867599487,0.5401514768600464,0.5397301316261292,0.5397363901138306,0.5480769276618958
Overall,1,0.595757007598877,0.5584094524383545,0.5583723783493042,0.5583903193473816,0.5690000057220459
Gender: Male,1,0.5697156190872192,0.5414735078811646,0.5427039861679077,0.5386918783187866,0.542553186416626
Gender: Female,1,0.6224294304847717,0.5790247917175293,0.5741402506828308,0.5734025239944458,0.5924528241157532
Age: <40,1,0.6072783470153809,0.5719304084777832,0.5699742436408997,0.5627726316452026,0.5641791224479675
Age: 40-50,1,0.6769654750823975,0.624433696269989,0.6165158152580261,0.6166969537734985,0.6333333849906921
Age: 50-65,1,0.5442191362380981,0.4947426915168762,0.49509456753730774,0.4933403432369232,0.5364705920219421
Race: White,1,0.5942857265472412,0.5550552010536194,0.5550824403762817,0.5550611615180969,0.555555522441864
Race: Black,1,0.6150137186050415,0.5511363744735718,0.560606062412262,0.5508021116256714,0.6287878751754761
Race: Other,1,0.5184837579727173,0.5259856581687927,0.5241591334342957,0.5163319110870361,0.5255101919174194
Overall,2,0.6143918037414551,0.5763543844223022,0.576437771320343,0.576393723487854,0.5840000510215759
Gender: Male,2,0.5988483428955078,0.5631772875785828,0.5650583505630493,0.5607224702835083,0.5645833611488342
Gender: Female,2,0.6338622570037842,0.5949400663375854,0.5905175805091858,0.5899100303649902,0.6019230484962463
Age: <40,2,0.6467939615249634,0.5737379789352417,0.571279764175415,0.5675227046012878,0.5710145235061646
Age: 40-50,2,0.6297954320907593,0.587875247001648,0.5856777429580688,0.5860879421234131,0.6000000238418579
Age: 50-65,2,0.5618628263473511,0.5504295825958252,0.5471235513687134,0.5470352172851562,0.5855422019958496
Race: White,2,0.6518477201461792,0.6002397537231445,0.600049614906311,0.5999938249588013,0.6003521084785461
Race: Black,2,0.5230768918991089,0.5105990767478943,0.5122016072273254,0.5075783729553223,0.5774058699607849
Race: Other,2,0.5305790901184082,0.5363091230392456,0.5354586839675903,0.5349397659301758,0.5440414547920227
Overall,3,0.611677885055542,0.5797201991081238,0.5798113346099854,0.5797633528709412,0.5879999995231628
Gender: Male,3,0.6138788461685181,0.5713365077972412,0.5723330974578857,0.5705875158309937,0.5729386806488037
Gender: Female,3,0.6100020408630371,0.5873012542724609,0.5845902562141418,0.585045576095581,0.6015180349349976
Age: <40,3,0.6136200428009033,0.5843283534049988,0.5828445553779602,0.5825027823448181,0.5868945717811584
Age: 40-50,3,0.6144148111343384,0.6004557609558105,0.5970988273620605,0.5975948572158813,0.6120689511299133
Age: 50-65,3,0.5775336027145386,0.5284458994865417,0.5281593799591064,0.528271496295929,0.5755395889282227
Race: White,3,0.6158956289291382,0.5891782641410828,0.5891207456588745,0.5889782905578613,0.5890151858329773
Race: Black,3,0.6205294728279114,0.5432369709014893,0.5479684472084045,0.5436176061630249,0.6183205842971802
Race: Other,3,0.5219234228134155,0.5390937328338623,0.5387803912162781,0.5388243198394775,0.5476190447807312
Overall,4,0.6293836832046509,0.5885739922523499,0.5894337892532349,0.5888659954071045,0.5990000367164612
Gender: Male,4,0.5876760482788086,0.5535939931869507,0.5544174313545227,0.5527383089065552,0.5555555820465088
Gender: Female,4,0.6675428748130798,0.623455286026001,0.6212364435195923,0.6221188306808472,0.6431451439857483
Age: <40,4,0.650586724281311,0.6039136648178101,0.602965235710144,0.6025822758674622,0.6040462255477905
