group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6328336000442505,0.5749365091323853,0.5708807706832886,0.5712000131607056,0.5980000495910645
Gender: Male,0,0.6133261919021606,0.5630104541778564,0.5647090673446655,0.5629481077194214,0.5746888518333435
Gender: Female,0,0.6451587677001953,0.5954233407974243,0.577484130859375,0.5731775164604187,0.6196911334991455
Age: <40,0,0.6519148349761963,0.6065837740898132,0.6046391725540161,0.6046997904777527,0.610223650932312
Age: 40-50,0,0.6884231567382812,0.6247062683105469,0.6040632724761963,0.5997387170791626,0.6317829489707947
Age: 50-65,0,0.5728254318237305,0.5174825191497803,0.5173047780990601,0.5173648595809937,0.5687645673751831
Race: White,0,0.6253598928451538,0.5691643953323364,0.5693830251693726,0.565260648727417,0.5652984976768494
Race: Black,0,0.6209728717803955,0.5262741446495056,0.506618857383728,0.4686467945575714,0.72265625
Race: Other,0,0.5340142250061035,0.49687498807907104,0.4977511167526245,0.47246378660202026,0.5288461446762085
Overall,1,0.619393527507782,0.5669463872909546,0.5611953139305115,0.5594100952148438,0.5850000381469727
Gender: Male,1,0.5947412252426147,0.5473484992980957,0.5475524663925171,0.5474272966384888,0.5595744252204895
Gender: Female,1,0.641425609588623,0.5961808562278748,0.5755634903907776,0.5659911036491394,0.6075471639633179
Age: <40,1,0.6058470010757446,0.5862007141113281,0.5860588550567627,0.5861086845397949,0.5880597233772278
Age: 40-50,1,0.6565327644348145,0.6151466369628906,0.5907805562019348,0.5821775197982788,0.6208333373069763
Age: 50-65,1,0.6026850938796997,0.5118561387062073,0.5100807547569275,0.5046992301940918,0.5623528957366943
Race: White,1,0.577197790145874,0.5352542400360107,0.5353022217750549,0.5350559949874878,0.5351851582527161
Race: Black,1,0.6079736948013306,0.52704918384552,0.5101010203361511,0.4860570430755615,0.7196969985961914
Race: Other,1,0.5500364303588867,0.5537895560264587,0.5380610227584839,0.5030986070632935,0.5408163070678711
Overall,2,0.6296173334121704,0.5981333255767822,0.5937336683273315,0.5938721299171448,0.609000027179718
Gender: Male,2,0.6345607042312622,0.5831091403961182,0.5845240354537964,0.5833038091659546,0.5916666984558105
Gender: Female,2,0.6319780349731445,0.6228877902030945,0.6065783500671387,0.6020017862319946,0.625
Age: <40,2,0.6907850503921509,0.6551069021224976,0.6550443768501282,0.6550260782241821,0.6550725102424622
Age: 40-50,2,0.6364734172821045,0.6353186964988708,0.6104006767272949,0.6062270998954773,0.6416667103767395
Age: 50-65,2,0.5564448833465576,0.5145454406738281,0.5137910842895508,0.513107419013977,0.5518072247505188
Race: White,2,0.6586185693740845,0.6109274625778198,0.6098710298538208,0.6084558963775635,0.6091549396514893
Race: Black,2,0.48452696204185486,0.4952153265476227,0.4982316493988037,0.4656151831150055,0.6903765797615051
Race: Other,2,0.48297548294067383,0.4730018377304077,0.48080676794052124,0.45113009214401245,0.5077720284461975
Overall,3,0.6294359564781189,0.5788076519966125,0.574908435344696,0.5746437907218933,0.5920000076293945
Gender: Male,3,0.6252358555793762,0.5738552808761597,0.5731585621833801,0.5733380913734436,0.5813953280448914
Gender: Female,3,0.6285896301269531,0.5833113193511963,0.5745349526405334,0.5726367235183716,0.6015180349349976
Age: <40,3,0.640306293964386,0.6181493401527405,0.6185728311538696,0.6178582906723022,0.6182336211204529
Age: 40-50,3,0.591478705406189,0.5531250238418579,0.5464798212051392,0.5415843725204468,0.5732758641242981
Age: 50-65,3,0.6074481010437012,0.5187206864356995,0.517055869102478,0.5160327553749084,0.5803357362747192
Race: White,3,0.6145181655883789,0.5627691745758057,0.5621161460876465,0.5611761808395386,0.5625
Race: Black,3,0.5893370509147644,0.5343137383460999,0.5144532322883606,0.4921359419822693,0.6984732747077942
Race: Other,3,0.5043293833732605,0.504273533821106,0.5033161640167236,0.4855514466762543,0.5333333611488342
Overall,4,0.6506611108779907,0.5968396067619324,0.5925170183181763,0.593127965927124,0.6130000352859497
Gender: Male,4,0.6179097890853882,0.5644046068191528,0.5644046068191528,0.5644046068191528,0.5714285969734192
Gender: Female,4,0.6738922595977783,0.6329600214958191,0.6155014634132385,0.6168534755706787,0.6552419066429138
Age: <40,4,0.6792364120483398,0.6567938327789307,0.6566208600997925,0.656043529510498,0.6560693383216858
Age: 40-50,4,0.6328396797180176,0.5888158082962036,0.5822682976722717,0.5832512378692627,0.6205357313156128
Age: 50-65,4,0.611865758895874,0.5173592567443848,0.5158084034919739,0.5145559310913086,0.5744186043739319
Race: White,4,0.6174417734146118,0.5665808916091919,0.566312313079834,0.5659646391868591,0.5664845108985901
Race: Black,4,0.5805342197418213,0.514830470085144,0.5061712265014648,0.4879235625267029,0.73828125
Race: Other,4,0.5334632992744446,0.5516210794448853,0.5420727729797363,0.5338736176490784,0.5794872045516968
Overall,5,0.6476142406463623,0.6051967144012451,0.5993850827217102,0.5999258756637573,0.6200000047683716
Gender: Male,5,0.6585742235183716,0.6013157367706299,0.6031045913696289,0.6015853881835938,0.6088795065879822
Gender: Female,5,0.6353917121887207,0.617355227470398,0.5965309143066406,0.5924110412597656,0.6299810409545898
Age: <40,5,0.6562750339508057,0.6355758309364319,0.6325180530548096,0.6306991577148438,0.6329479813575745
Age: 40-50,5,0.5905330181121826,0.5690183639526367,0.5640851855278015,0.5635966062545776,0.591093122959137
Age: 50-65,5,0.6550670862197876,0.5844347476959229,0.5790339708328247,0.580366849899292,0.6265355944633484
Race: White,5,0.6283796429634094,0.5921705961227417,0.5918833017349243,0.5912961363792419,0.5914972424507141
Race: Black,5,0.6256613731384277,0.5905349850654602,0.5291005373001099,0.5032407641410828,0.7164750695228577
Race: Other,5,0.5283480882644653,0.53125,0.5258483290672302,0.5188541412353516,0.5707070827484131
Overall,6,0.6591243743896484,0.5987435579299927,0.595731794834137,0.5962715744972229,0.6110000014305115
Gender: Male,6,0.6774327754974365,0.6220442056655884,0.6229193210601807,0.6223214268684387,0.626984179019928
Gender: Female,6,0.6359958648681641,0.5718861818313599,0.5642291307449341,0.5623356103897095,0.5947580337524414
Age: <40,6,0.6373859643936157,0.6138888597488403,0.6139298677444458,0.6139043569564819,0.6142857074737549
Age: 40-50,6,0.7111760973930359,0.6495037078857422,0.6409356594085693,0.6403704881668091,0.650602400302887
Age: 50-65,6,0.634724497795105,0.5300546884536743,0.5279050469398499,0.5275930166244507,0.5835411548614502
Race: White,6,0.6324741840362549,0.571948766708374,0.5705128312110901,0.5684322118759155,0.5706422328948975
Race: Black,6,0.5928030014038086,0.5204081535339355,0.5079545378684998,0.4846958518028259,0.7180451154708862
Race: Other,6,0.5817873477935791,0.5677025318145752,0.5552036166191101,0.54347825050354,0.5767195820808411
Overall,7,0.6467251777648926,0.5915837287902832,0.5892043709754944,0.5899854302406311,0.6150000095367432
Gender: Male,7,0.6274315118789673,0.5744619369506836,0.5764728784561157,0.5746527910232544,0.5877550840377808
Gender: Female,7,0.6623391509056091,0.6129785776138306,0.6002697348594666,0.601458728313446,0.6411765217781067
Age: <40,7,0.645484447479248,0.5886602401733398,0.5885959267616272,0.5886231660842896,0.5902578830718994
Age: 40-50,7,0.6730681657791138,0.6479388475418091,0.6186174750328064,0.618280291557312,0.6642066240310669
Age: 50-65,7,0.6116573810577393,0.5484687089920044,0.5511385798454285,0.5490376353263855,0.6026316285133362
Race: White,7,0.6167482733726501,0.5922768115997314,0.5927907228469849,0.5884473919868469,0.5885608792304993
Race: Black,7,0.6855754852294922,0.519707202911377,0.5091074705123901,0.4903363287448883,0.7032520174980164
Race: Other,7,0.5717636346817017,0.5293508768081665,0.5226078629493713,0.5124925374984741,0.5801886916160583
Overall,8,0.6505159139633179,0.6116650104522705,0.6040688753128052,0.6038582921028137,0.6220000386238098
Gender: Male,8,0.6344269514083862,0.6013680696487427,0.6010466814041138,0.6011843681335449,0.6077235341072083
Gender: Female,8,0.6606893539428711,0.6278527975082397,0.6048960089683533,0.6005321741104126,0.6358267664909363
Age: <40,8,0.6274912357330322,0.6496932506561279,0.6504006385803223,0.647122323513031,0.647230327129364
Age: 40-50,8,0.6421544551849365,0.6001487970352173,0.5813981890678406,0.5665093064308167,0.5919283032417297
Age: 50-65,8,0.6394801139831543,0.5537939071655273,0.5511904954910278,0.5519651770591736,0.617511510848999
Race: White,8,0.6025433540344238,0.5749158263206482,0.5747517347335815,0.5746171474456787,0.5749558806419373
Race: Black,8,0.5533919334411621,0.5482993125915527,0.5167242288589478,0.4943418800830841,0.73384028673172
Race: Other,8,0.6819567680358887,0.6362302303314209,0.5964523553848267,0.5701724290847778,0.6058823466300964
Overall,9,0.6415016651153564,0.6033868193626404,0.5941558480262756,0.5922656655311584,0.612000048160553
Gender: Male,9,0.6513839960098267,0.6107503771781921,0.6068115234375,0.6072515249252319,0.6198830604553223
