group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6861820220947266,0.6479157209396362,0.6467604637145996,0.647234320640564,0.6556701064109802
Gender: Male,0,0.6963872909545898,0.6656544208526611,0.6661208868026733,0.665765643119812,0.6666666865348816
Gender: Female,0,0.6657134294509888,0.6234635710716248,0.6184390187263489,0.6199462413787842,0.644831120967865
Age: <40,0,0.6567592620849609,0.6451822519302368,0.6454161405563354,0.6451897621154785,0.6455284357070923
Age: 40-50,0,0.7091891765594482,0.6464100480079651,0.6436991691589355,0.644182026386261,0.6498993635177612
Age: 50-65,0,0.6664469242095947,0.6312223672866821,0.6316565275192261,0.631434977054596,0.6666666865348816
Race: White,0,0.6924731731414795,0.6551835536956787,0.6552189588546753,0.654940128326416,0.6549429893493652
Race: Black,0,0.5887705087661743,0.5734098553657532,0.5705068111419678,0.5717248916625977,0.6666666865348816
Race: Other,0,0.6721172332763672,0.6309523582458496,0.6322149038314819,0.6314822435379028,0.6446078419685364
Overall,1,0.6726788878440857,0.6336130499839783,0.6360540390014648,0.633962869644165,0.6394032835960388
Gender: Male,1,0.686199426651001,0.6465591788291931,0.6467543840408325,0.6426997184753418,0.6427060961723328
Gender: Female,1,0.6507998704910278,0.6154813170433044,0.6151389479637146,0.6153039932250977,0.6362725496292114
Age: <40,1,0.6535649299621582,0.616431713104248,0.6145090460777283,0.6143606901168823,0.6180450916290283
Age: 40-50,1,0.6632863283157349,0.6378734111785889,0.6394203305244446,0.6383343935012817,0.6440678238868713
Age: 50-65,1,0.6580069065093994,0.6201564073562622,0.6262602806091309,0.62208491563797,0.6535796523094177
Race: White,1,0.6906177997589111,0.6595662832260132,0.6589405536651611,0.658855676651001,0.6594005823135376
Race: Black,1,0.597792387008667,0.5556302666664124,0.557539701461792,0.5564160346984863,0.6476792693138123
Race: Other,1,0.5902255773544312,0.5584983825683594,0.5630495548248291,0.5548651218414307,0.5691056847572327
Overall,2,0.6706008911132812,0.632510781288147,0.6345033049583435,0.6331404447555542,0.6419236660003662
Gender: Male,2,0.6929028034210205,0.6567299365997314,0.6622440814971924,0.6566225290298462,0.6624758243560791
Gender: Female,2,0.6453777551651001,0.6058753728866577,0.6038841009140015,0.6044782400131226,0.61774742603302
Age: <40,2,0.6501411199569702,0.6189154386520386,0.6188004016876221,0.6188017725944519,0.6190476417541504
Age: 40-50,2,0.6981064677238464,0.6514396667480469,0.6515989899635315,0.6515158414840698,0.6560364961624146
Age: 50-65,2,0.6421033143997192,0.6124078631401062,0.6196010112762451,0.6145113110542297,0.6516587734222412
Race: White,2,0.6633517742156982,0.6295152902603149,0.6295017004013062,0.6290318965911865,0.6290322542190552
Race: Black,2,0.664543867111206,0.6056137084960938,0.6007017493247986,0.6027717590332031,0.6849056482315063
Race: Other,2,0.6147683262825012,0.6036685705184937,0.6098547577857971,0.6024641990661621,0.6139817833900452
Overall,3,0.6496365070343018,0.6202136874198914,0.6232918500900269,0.6211048364639282,0.6354805827140808
Gender: Male,3,0.6909254193305969,0.6460990309715271,0.6513780355453491,0.6459185481071472,0.6522678136825562
Gender: Female,3,0.6041499376296997,0.5951370596885681,0.5952354073524475,0.5951856374740601,0.620388388633728
Age: <40,3,0.6147170662879944,0.5900470018386841,0.5904556512832642,0.5885851383209229,0.588770866394043
Age: 40-50,3,0.6992251873016357,0.6398032903671265,0.6482954621315002,0.641822099685669,0.6640316247940063
Age: 50-65,3,0.6269241571426392,0.6211544275283813,0.6207436323165894,0.6209443211555481,0.6561315059661865
Race: White,3,0.6651144027709961,0.633173942565918,0.6337903141975403,0.6321840286254883,0.6324222087860107
Race: Black,3,0.5267634391784668,0.5079207420349121,0.5075594186782837,0.5075834393501282,0.6611909866333008
Race: Other,3,0.5992311239242554,0.5959660410881042,0.6000000238418579,0.5964442491531372,0.6127451062202454
Overall,4,0.6544378399848938,0.6167142391204834,0.6178817749023438,0.617113471031189,0.625
Gender: Male,4,0.6810624599456787,0.642917275428772,0.646726667881012,0.6422044634819031,0.6459816694259644
Gender: Female,4,0.6278657913208008,0.5910645723342896,0.5889784097671509,0.5894529819488525,0.6035380363464355
Age: <40,4,0.5933270454406738,0.5576486587524414,0.5578556656837463,0.5569409132003784,0.5571847558021545
Age: 40-50,4,0.7139871716499329,0.6708253622055054,0.668463408946991,0.669162392616272,0.6747252941131592
Age: 50-65,4,0.6544753313064575,0.6294018030166626,0.6327370405197144,0.6306745409965515,0.654275119304657
Race: White,4,0.6725035905838013,0.6390541791915894,0.6389098167419434,0.6379164457321167,0.6379310488700867
Race: Black,4,0.5920212268829346,0.5302550196647644,0.5285729169845581,0.5291011929512024,0.6573705673217773
Race: Other,4,0.5308036804199219,0.533013105392456,0.5329580903053284,0.5329670310020447,0.5352941155433655
Overall,5,0.6561884880065918,0.6201478242874146,0.6209291219711304,0.6204370856285095,0.6265120506286621
Gender: Male,5,0.6576303839683533,0.6190156936645508,0.6206552982330322,0.6178258657455444,0.6191951036453247
Gender: Female,5,0.6515259742736816,0.621732234954834,0.6189231872558594,0.6197490692138672,0.6334975361824036
Age: <40,5,0.6372795104980469,0.6164828538894653,0.6164283156394958,0.6156260967254639,0.6156299710273743
Age: 40-50,5,0.6533726453781128,0.6047559976577759,0.6035676002502441,0.6034379005432129,0.6061185598373413
Age: 50-65,5,0.6592453718185425,0.6224220991134644,0.6256223917007446,0.623618483543396,0.6474820375442505
Race: White,5,0.6663022041320801,0.6344576478004456,0.6351720690727234,0.6330209970474243,0.6332476139068604
Race: Black,5,0.6181146502494812,0.5615819096565247,0.5512539148330688,0.5518149137496948,0.6492374539375305
Race: Other,5,0.5940309762954712,0.5752435922622681,0.5752060413360596,0.5752068758010864,0.5754189491271973
Overall,6,0.681633710861206,0.6520088911056519,0.6543257832527161,0.652755856513977,0.6606189608573914
Gender: Male,6,0.6895512342453003,0.6690170764923096,0.6711048483848572,0.6661360263824463,0.6666666865348816
Gender: Female,6,0.6638271808624268,0.6334229707717896,0.6300419569015503,0.6313319802284241,0.6549949049949646
Age: <40,6,0.6224154233932495,0.6148089170455933,0.6143421530723572,0.6092563271522522,0.6093023419380188
Age: 40-50,6,0.7265180349349976,0.6790844202041626,0.6778755187988281,0.6781675815582275,0.6801705956459045
Age: 50-65,6,0.6787574291229248,0.654699444770813,0.6534907817840576,0.6540724039077759,0.6921052932739258
Race: White,6,0.6509013175964355,0.6432240009307861,0.6425325870513916,0.6420778632164001,0.6424974799156189
Race: Black,6,0.6446359157562256,0.5931353569030762,0.6095032691955566,0.5985254049301147,0.7242798209190369
Race: Other,6,0.65838623046875,0.624783992767334,0.6229428052902222,0.6231723427772522,0.6278480887413025
Overall,7,0.6862763166427612,0.6399317383766174,0.6445561647415161,0.6408665180206299,0.6518443822860718
Gender: Male,7,0.6917530298233032,0.6504150032997131,0.6528522968292236,0.648151159286499,0.6492027640342712
Gender: Female,7,0.6729333400726318,0.6252821683883667,0.628652036190033,0.6265959739685059,0.6539509892463684
Age: <40,7,0.6858974099159241,0.6310088038444519,0.6328920125961304,0.628675103187561,0.6295774579048157
Age: 40-50,7,0.651416003704071,0.6114634275436401,0.6133087873458862,0.610535740852356,0.6126914620399475
Age: 50-65,7,0.6836403608322144,0.6512835025787354,0.6550716161727905,0.6529646515846252,0.6933497190475464
Race: White,7,0.6931444406509399,0.658462643623352,0.6583571434020996,0.6561876535415649,0.6561904549598694
Race: Black,7,0.6469970941543579,0.5853110551834106,0.5920473337173462,0.587726354598999,0.6719056963920593
Race: Other,7,0.6243510842323303,0.5823135375976562,0.5850156545639038,0.5832074880599976,0.6166666746139526
Overall,8,0.6605157852172852,0.6235002279281616,0.627985417842865,0.6215394735336304,0.6259503364562988
Gender: Male,8,0.6802971363067627,0.6453519463539124,0.648943305015564,0.6335486173629761,0.6341708302497864
Gender: Female,8,0.6404585838317871,0.6049253940582275,0.6061792969703674,0.6053813695907593,0.6175869107246399
Age: <40,8,0.6161831617355347,0.5857614278793335,0.5852217078208923,0.5835034847259521,0.5838068127632141
Age: 40-50,8,0.6921747922897339,0.6516742706298828,0.6542448997497559,0.6437525749206543,0.6441860198974609
Age: 50-65,8,0.6543353796005249,0.625770092010498,0.6376916170120239,0.6270157098770142,0.6519666314125061
Race: White,8,0.6500859260559082,0.6262139081954956,0.6230483055114746,0.6187717914581299,0.6203787326812744
