group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.7172605991363525,0.6424266695976257,0.6262257695198059,0.6255995035171509,0.6494845747947693
Gender: Male,0,0.736842155456543,0.6571239829063416,0.6441715359687805,0.6416005492210388,0.653167188167572
Gender: Female,0,0.692753791809082,0.6214299201965332,0.6038167476654053,0.6041848063468933,0.645854651927948
Age: <40,0,0.671392560005188,0.6116711497306824,0.6097494959831238,0.605627179145813,0.6065040230751038
Age: 40-50,0,0.7693727016448975,0.7157950401306152,0.6924207210540771,0.6919596195220947,0.7062373757362366
Age: 50-65,0,0.6896255016326904,0.5889410972595215,0.5694097280502319,0.5684636831283569,0.6473429799079895
Race: White,0,0.7224588394165039,0.6362484693527222,0.629916250705719,0.6238402128219604,0.6273764371871948
Race: Black,0,0.6177082061767578,0.5638021230697632,0.5514447093009949,0.5528604388237,0.6770833730697632
Race: Other,0,0.7258294820785522,0.6621415615081787,0.6330912709236145,0.6339424848556519,0.6740196347236633
Overall,1,0.7044800519943237,0.6367111206054688,0.6270503401756287,0.6280395984649658,0.6481481194496155
Gender: Male,1,0.7221387624740601,0.6496073007583618,0.6426321268081665,0.642410397529602,0.6511628031730652
Gender: Female,1,0.6818336248397827,0.6186702847480774,0.6073476672172546,0.6090120673179626,0.6452906131744385
Age: <40,1,0.6922351121902466,0.6276523470878601,0.6278376579284668,0.6277093887329102,0.6285714507102966
Age: 40-50,1,0.7053844928741455,0.6747252941131592,0.6600978374481201,0.6617274880409241,0.6803874373435974
Age: 50-65,1,0.6832273006439209,0.5809404850006104,0.5616584420204163,0.5599204897880554,0.6478059887886047
Race: White,1,0.7115070819854736,0.6421360969543457,0.6388202905654907,0.6358671188354492,0.6376022100448608
Race: Black,1,0.6566091775894165,0.5896701812744141,0.5706759691238403,0.5743017196655273,0.700421929359436
Race: Other,1,0.6355613470077515,0.5714430809020996,0.5674142837524414,0.5683221817016602,0.6124661564826965
Overall,2,0.6945436000823975,0.6380133628845215,0.6264384984970093,0.6277562379837036,0.6523784399032593
Gender: Male,2,0.7144596576690674,0.633419394493103,0.6254279017448425,0.6271119117736816,0.6508704423904419
Gender: Female,2,0.6686985492706299,0.6446270942687988,0.6283066868782043,0.6284951567649841,0.6541524529457092
Age: <40,2,0.6847177743911743,0.6257055997848511,0.6245967745780945,0.6232161521911621,0.6238095164299011
Age: 40-50,2,0.7338522672653198,0.699952244758606,0.6760993003845215,0.6762394309043884,0.6947608590126038
Age: 50-65,2,0.6486592292785645,0.5834310054779053,0.5713955163955688,0.573130190372467,0.6516587734222412
Race: White,2,0.6774437427520752,0.6253999471664429,0.6208792924880981,0.6188015937805176,0.6233396530151367
Race: Black,2,0.6882807016372681,0.6152325868606567,0.5869297981262207,0.5917036533355713,0.7056604027748108
Race: Other,2,0.6742441654205322,0.6320475339889526,0.6249704360961914,0.6271653175354004,0.6595744490623474
Overall,3,0.6798322200775146,0.6067330837249756,0.5956741571426392,0.5966295003890991,0.634458065032959
Gender: Male,3,0.7089920043945312,0.6169507503509521,0.6079356670379639,0.6091119050979614,0.6371490359306335
Gender: Female,3,0.650005578994751,0.5958641767501831,0.5832756757736206,0.5836937427520752,0.6320388317108154
Age: <40,3,0.6762526035308838,0.5987613201141357,0.5988051891326904,0.5987818837165833,0.600910484790802
Age: 40-50,3,0.7337809801101685,0.6959595680236816,0.6469696760177612,0.6539521217346191,0.7193676233291626
Age: 50-65,3,0.623308002948761,0.5382359623908997,0.5300443172454834,0.5248973369598389,0.6080910563468933
Race: White,3,0.6654930114746094,0.6021899580955505,0.5980844497680664,0.5970354080200195,0.605089545249939
Race: Black,3,0.605400562286377,0.4996221363544464,0.4997484087944031,0.4925249218940735,0.6981519460678101
Race: Other,3,0.6717416048049927,0.5993741154670715,0.5862745046615601,0.5868508815765381,0.6348039507865906
Overall,4,0.6864081621170044,0.6273297071456909,0.6193810105323792,0.6202883720397949,0.6399176716804504
Gender: Male,4,0.7026007175445557,0.6267701387405396,0.6210232973098755,0.6221365928649902,0.6398779153823853
Gender: Female,4,0.6705276966094971,0.6282957792282104,0.6178649067878723,0.6182830333709717,0.639958381652832
Age: <40,4,0.6451656818389893,0.5938836932182312,0.5939485430717468,0.5939109921455383,0.5953079462051392
Age: 40-50,4,0.7261151075363159,0.6747881174087524,0.6611202359199524,0.6611721515655518,0.6747252941131592
Age: 50-65,4,0.6735536456108093,0.6186957359313965,0.5970940589904785,0.5983394980430603,0.6579926013946533
Race: White,4,0.7042474746704102,0.6427664756774902,0.640288233757019,0.6398477554321289,0.6424682140350342
Race: Black,4,0.617782473564148,0.5440520644187927,0.5337506532669067,0.5335906147956848,0.6892430782318115
Race: Other,4,0.5879982113838196,0.5540069937705994,0.5500885844230652,0.5456003546714783,0.5588235259056091
Overall,5,0.6865577697753906,0.6234534978866577,0.6129530668258667,0.612599790096283,0.6330645084381104
Gender: Male,5,0.6809127926826477,0.6193129420280457,0.6144363284111023,0.6146990060806274,0.6264190077781677
Gender: Female,5,0.6914241313934326,0.6278595924377441,0.6097248196601868,0.608073353767395,0.6394088864326477
Age: <40,5,0.6552988290786743,0.5893584489822388,0.5889561176300049,0.5889028310775757,0.5901116132736206
Age: 40-50,5,0.7324920296669006,0.6929912567138672,0.6687040328979492,0.6630219221115112,0.6768642663955688
Age: 50-65,5,0.6662039756774902,0.5930420756340027,0.5773041844367981,0.5771898627281189,0.6378896832466125
Race: White,5,0.692690908908844,0.6356860399246216,0.6325465440750122,0.6327189207077026,0.6383890509605408
Race: Black,5,0.6596955060958862,0.60012286901474,0.5638715028762817,0.5612787008285522,0.6862744688987732
Race: Other,5,0.6273101568222046,0.5508335828781128,0.5445492267608643,0.5315650105476379,0.5474860072135925
Overall,6,0.6990622282028198,0.6257539391517639,0.6113159656524658,0.611290454864502,0.6408751010894775
Gender: Male,6,0.7025301456451416,0.6210430860519409,0.6136695742607117,0.6133866310119629,0.6279069781303406
Gender: Female,6,0.6854907274246216,0.6270566582679749,0.6038973927497864,0.6037824153900146,0.6529351472854614
Age: <40,6,0.6363548040390015,0.5937105417251587,0.5933893918991089,0.5934978723526001,0.5968992114067078
Age: 40-50,6,0.7826595306396484,0.7238951921463013,0.6961575150489807,0.6926079988479614,0.7057569622993469
Age: 50-65,6,0.676796555519104,0.5595709085464478,0.5407366156578064,0.5327301025390625,0.6381579041481018
Race: White,6,0.6538180708885193,0.5851271152496338,0.5819777250289917,0.5781315565109253,0.5820745229721069
Race: Black,6,0.6834836006164551,0.5564613342285156,0.5453088879585266,0.5481087565422058,0.7427983283996582
Race: Other,6,0.704896092414856,0.6807829141616821,0.6470102667808533,0.639234721660614,0.6632911562919617
Overall,7,0.720565676689148,0.6493098735809326,0.6350128054618835,0.6376504898071289,0.6695300936698914
Gender: Male,7,0.7140860557556152,0.6381460428237915,0.6269536018371582,0.6268003582954407,0.644646942615509
