group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6437454223632812,0.5916281938552856,0.5899649858474731,0.590540885925293,0.6100000143051147
Gender: Male,0,0.64139723777771,0.5693492889404297,0.5707255601882935,0.5696027278900146,0.5829876065254211
Gender: Female,0,0.6493550539016724,0.6161283850669861,0.6082361936569214,0.6093841791152954,0.6351351141929626
Age: <40,0,0.60108482837677,0.5737674832344055,0.5741493701934814,0.5736699104309082,0.5750798583030701
Age: 40-50,0,0.7281363010406494,0.6836287379264832,0.6771465539932251,0.678804874420166,0.6899224519729614
Age: 50-65,0,0.6031270027160645,0.5297658443450928,0.5281233787536621,0.5281818509101868,0.5874125957489014
Race: White,0,0.6246435642242432,0.5639631748199463,0.564467191696167,0.563644528388977,0.5652984976768494
Race: Black,0,0.6319776773452759,0.6110697984695435,0.5952950716018677,0.6004019975662231,0.71484375
Race: Other,0,0.6195652484893799,0.5865546464920044,0.5772113800048828,0.573437511920929,0.5961538553237915
Overall,1,0.6390394568443298,0.5918819904327393,0.5899635553359985,0.5904335379600525,0.6040000319480896
Gender: Male,1,0.6453520059585571,0.5749183893203735,0.5749183893203735,0.5749183893203735,0.5872340202331543
Gender: Female,1,0.6343964338302612,0.608257532119751,0.6037672758102417,0.6042085886001587,0.6188679337501526
Age: <40,1,0.6163315176963806,0.593906819820404,0.5937522649765015,0.5910302400588989,0.5910447835922241
Age: 40-50,1,0.7020645141601562,0.6334943771362305,0.625,0.6254083514213562,0.6416667103767395
Age: 50-65,1,0.6034361124038696,0.5546956658363342,0.549018919467926,0.5480085611343384,0.592941164970398
Race: White,1,0.6088736057281494,0.5631035566329956,0.5631868243217468,0.5628670454025269,0.5629629492759705
Race: Black,1,0.6346036195755005,0.619738757610321,0.6010100841522217,0.6071103811264038,0.7272727489471436
Race: Other,1,0.6159533262252808,0.5536901950836182,0.5496199131011963,0.5416666865348816,0.5510203838348389
Overall,2,0.6385628581047058,0.6021761894226074,0.5994229316711426,0.5998861789703369,0.612000048160553
Gender: Male,2,0.6577550172805786,0.6019573211669922,0.6011641621589661,0.6014916896820068,0.6145833730697632
Gender: Female,2,0.6243962049484253,0.6031249761581421,0.5986974835395813,0.5983730554580688,0.6096153855323792
Age: <40,2,0.6555652618408203,0.6150070428848267,0.6145819425582886,0.6141685843467712,0.6144927740097046
Age: 40-50,2,0.6750497817993164,0.6315943002700806,0.6283035278320312,0.6292037963867188,0.6416667103767395
