group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6744892597198486,0.6172353029251099,0.6135578751564026,0.6142569780349731,0.6273196339607239
Gender: Male,0,0.690712571144104,0.6293438673019409,0.62711501121521,0.6271777153015137,0.6313603520393372
Gender: Female,0,0.6504729986190796,0.5993835926055908,0.5947005748748779,0.5958017110824585,0.6233367323875427
Age: <40,0,0.6332570314407349,0.5858154892921448,0.5854790210723877,0.5854915380477905,0.5869918465614319
Age: 40-50,0,0.7227410078048706,0.6463913917541504,0.6367110013961792,0.6359492540359497,0.6478872895240784
Age: 50-65,0,0.6499369740486145,0.5962734222412109,0.5875738859176636,0.5896070003509521,0.6449275016784668
Race: White,0,0.6878516674041748,0.6114695072174072,0.6104790568351746,0.6087779402732849,0.6093155741691589
Race: Black,0,0.5817275047302246,0.5569444298744202,0.5538069605827332,0.5549536943435669,0.6562500596046448
Race: Other,0,0.6523600816726685,0.622863233089447,0.6209465265274048,0.621705174446106,0.6397058963775635
Overall,1,0.6707127094268799,0.6133160591125488,0.614717960357666,0.6137065887451172,0.6208847761154175
Gender: Male,1,0.6921982765197754,0.6312475204467773,0.6320744752883911,0.6311047673225403,0.632135272026062
Gender: Female,1,0.6432461738586426,0.5907737016677856,0.592015266418457,0.5912501811981201,0.6102204322814941
Age: <40,1,0.6648792028427124,0.6101730465888977,0.6041972637176514,0.6018801927566528,0.6105263233184814
Age: 40-50,1,0.6665947437286377,0.6147704720497131,0.6130369901657104,0.6135969758033752,0.6246973872184753
Age: 50-65,1,0.6314775943756104,0.5795079469680786,0.5782549381256104,0.5788058042526245,0.6270207762718201
Race: White,1,0.6803860664367676,0.6303160190582275,0.6303460597991943,0.6303055286407471,0.6303361058235168
Race: Black,1,0.6829501986503601,0.5934764742851257,0.600095808506012,0.5959345698356628,0.6729957461357117
Race: Other,1,0.5529820919036865,0.5133706331253052,0.5143845081329346,0.5090734958648682,0.5257452726364136
Overall,2,0.6595298051834106,0.6026169657707214,0.6032904982566833,0.6028976440429688,0.6142184734344482
Gender: Male,2,0.6935834884643555,0.6218277215957642,0.6253306269645691,0.6221801042556763,0.6305609345436096
Gender: Female,2,0.6175171136856079,0.5812588930130005,0.5790713429450989,0.5794484615325928,0.594994306564331
Age: <40,2,0.6549596786499023,0.620069682598114,0.6160281896591187,0.6135962605476379,0.617460310459137
Age: 40-50,2,0.646980881690979,0.5947482585906982,0.5874921083450317,0.5858490467071533,0.6036446690559387
Age: 50-65,2,0.6341204643249512,0.563759446144104,0.564363956451416,0.5640377402305603,0.6172986030578613
Race: White,2,0.6647714376449585,0.609940767288208,0.6100085377693176,0.609930157661438,0.6100569367408752
Race: Black,2,0.6505964994430542,0.5553865432739258,0.550789475440979,0.552076518535614,0.650943398475647
Race: Other,2,0.5691846013069153,0.5584306716918945,0.5619820356369019,0.5559800863265991,0.5683890581130981
Overall,3,0.6494547128677368,0.6027982831001282,0.604067325592041,0.6033085584640503,0.6211656332015991
Gender: Male,3,0.6919113397598267,0.6457623243331909,0.6496126651763916,0.646601676940918,0.6555075645446777
Gender: Female,3,0.6056745052337646,0.5609261989593506,0.5602693557739258,0.5605393648147583,0.5902912616729736
Age: <40,3,0.6200611591339111,0.5794572234153748,0.5780957341194153,0.5714621543884277,0.5720788836479187
Age: 40-50,3,0.7287706136703491,0.6584601402282715,0.6549242734909058,0.656489372253418,0.6916996240615845
