group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.619747519493103,0.5653071403503418,0.5534964203834534,0.5448682308197021,0.5840206146240234
Gender: Male,0,0.5759108066558838,0.5408546924591064,0.5388693809509277,0.5361236333847046,0.5462098121643066
Gender: Female,0,0.6484491229057312,0.5873874425888062,0.552254855632782,0.5318700075149536,0.6212896704673767
Age: <40,0,0.5747345685958862,0.5712001323699951,0.5676934123039246,0.5589447021484375,0.562601625919342
Age: 40-50,0,0.6709989309310913,0.541010320186615,0.5316265821456909,0.5130031704902649,0.5533198714256287
Age: 50-65,0,0.5946366786956787,0.5418435335159302,0.5306387543678284,0.5231353640556335,0.6183574795722961
Race: White,0,0.6641654968261719,0.5807915925979614,0.5649725794792175,0.5395660996437073,0.5598859190940857
Race: Black,0,0.5084538459777832,0.4857575595378876,0.48457974195480347,0.4842740297317505,0.5729166865348816
Race: Other,0,0.647201657295227,0.6474359035491943,0.6105796694755554,0.6068846583366394,0.6593137383460999
Overall,1,0.6169446706771851,0.5749276876449585,0.5644838213920593,0.5602113008499146,0.5946502089500427
Gender: Male,1,0.581923246383667,0.548375129699707,0.5473475456237793,0.5468608140945435,0.5539112091064453
Gender: Female,1,0.6370029449462891,0.6004793643951416,0.5648963451385498,0.5515586733818054,0.6332665681838989
Age: <40,1,0.5819133520126343,0.5526797771453857,0.5521712303161621,0.5485036373138428,0.548872172832489
Age: 40-50,1,0.6289796829223633,0.5961384773254395,0.5806362628936768,0.5755178928375244,0.610169529914856
Age: 50-65,1,0.5941789746284485,0.5352537631988525,0.5247064232826233,0.5153540968894958,0.6224018335342407
Race: White,1,0.6447728872299194,0.5902543067932129,0.5761837363243103,0.5571577548980713,0.573115348815918
Race: Black,1,0.5931171178817749,0.5341384410858154,0.5374247431755066,0.5344241261482239,0.6181434392929077
Race: Other,1,0.5708869695663452,0.5828927159309387,0.5719223618507385,0.572327733039856,0.6287263035774231
Overall,2,0.6220685243606567,0.5780119895935059,0.5677545666694641,0.5649246573448181,0.6011500358581543
Gender: Male,2,0.6333901286125183,0.5672280192375183,0.5657440423965454,0.5661298036575317,0.5870406627655029
Gender: Female,2,0.6230765581130981,0.6084258556365967,0.5736234188079834,0.5572160482406616,0.61774742603302
Age: <40,2,0.625735878944397,0.5970458388328552,0.5960685014724731,0.5944932699203491,0.5952380895614624
Age: 40-50,2,0.6071323156356812,0.5214768648147583,0.5179044604301453,0.5064849853515625,0.5421412587165833
Age: 50-65,2,0.5831319093704224,0.5445396304130554,0.5320727229118347,0.5260396003723145,0.6362559199333191
Race: White,2,0.6110299825668335,0.5796524286270142,0.5692386031150818,0.5572551488876343,0.5740038156509399
Race: Black,2,0.6313333511352539,0.5358058214187622,0.5342982411384583,0.5347962379455566,0.6301887035369873
Race: Other,2,0.628108024597168,0.6082783937454224,0.5973044633865356,0.5989131331443787,0.6413373947143555
Overall,3,0.6261581182479858,0.5660930871963501,0.555870532989502,0.5529932975769043,0.6032719612121582
Gender: Male,3,0.6204025745391846,0.5627411603927612,0.5637405514717102,0.5629656314849854,0.5766738653182983
Gender: Female,3,0.6328564882278442,0.5773213505744934,0.5415111184120178,0.5169728994369507,0.6271844506263733
Age: <40,3,0.6173011064529419,0.5782954692840576,0.5739140510559082,0.5716177225112915,0.5827010869979858
Age: 40-50,3,0.6502410173416138,0.5779299139976501,0.5645833611488342,0.5642540454864502,0.6343873739242554
Age: 50-65,3,0.5908540487289429,0.5203317403793335,0.514971137046814,0.5053040981292725,0.6005057096481323
Race: White,3,0.630210280418396,0.5542386770248413,0.5467245578765869,0.5365282297134399,0.559849202632904
Race: Black,3,0.553479015827179,0.524561882019043,0.5242476463317871,0.5243911147117615,0.6673511266708374
Race: Other,3,0.6453158855438232,0.6032388210296631,0.5836601257324219,0.582522988319397,0.6397058963775635
Overall,4,0.6213788986206055,0.5731320381164551,0.5641295909881592,0.5608325600624084,0.5931069850921631
Gender: Male,4,0.6265696287155151,0.5682787895202637,0.5679841041564941,0.5681092739105225,0.5808748602867126
Gender: Female,4,0.6280522346496582,0.5918555855751038,0.5613544583320618,0.5420685410499573,0.6056191921234131
