group,iteration,AUC,Precision,Recall,F1,Accuracy
Overall,0,0.6186681985855103,0.5792962312698364,0.5756864547729492,0.5755516290664673,0.5922680497169495
Gender: Male,0,0.6174442768096924,0.5900675058364868,0.5884600281715393,0.5882281064987183,0.5929387807846069
Gender: Female,0,0.6141669750213623,0.5602169036865234,0.5550618171691895,0.5544905662536621,0.5916069746017456
Age: <40,0,0.5693517327308655,0.5444827079772949,0.544424295425415,0.5430700778961182,0.5430893898010254
Age: 40-50,0,0.6823302507400513,0.6336038708686829,0.6241713762283325,0.6228929758071899,0.6358148455619812
Age: 50-65,0,0.5848599672317505,0.5498985052108765,0.5470097661018372,0.5475357174873352,0.6026570200920105
Race: White,0,0.6520222425460815,0.5975135564804077,0.593602180480957,0.5879650115966797,0.5912547707557678
Race: Black,0,0.4922023415565491,0.48939067125320435,0.4879043698310852,0.4856559634208679,0.5604166984558105
Race: Other,0,0.644497275352478,0.611361026763916,0.603530764579773,0.604651153087616,0.6323529481887817
Overall,1,0.6136680841445923,0.5666630268096924,0.565426230430603,0.5656817555427551,0.5802469253540039
Gender: Male,1,0.5935519933700562,0.5590773820877075,0.5592733025550842,0.5590991973876953,0.5613107681274414
Gender: Female,1,0.6273539066314697,0.566046416759491,0.561269998550415,0.5614186525344849,0.5981963872909546
Age: <40,1,0.615321159362793,0.5828733444213867,0.5830883979797363,0.5828209519386292,0.583458662033081
Age: 40-50,1,0.5811517238616943,0.5358714461326599,0.5343905687332153,0.5336750745773315,0.5520581603050232
Age: 50-65,1,0.5908023118972778,0.5362129211425781,0.5351740717887878,0.5354781150817871,0.5912240147590637
Race: White,1,0.6244215965270996,0.5736502408981323,0.5716768503189087,0.567994236946106,0.5703905820846558
Race: Black,1,0.6014641523361206,0.555038332939148,0.5641762614250183,0.5545856952667236,0.6202531456947327
Race: Other,1,0.5633044242858887,0.5290277600288391,0.5299636721611023,0.5289865732192993,0.5582655668258667
Overall,2,0.6055200695991516,0.563778817653656,0.5627118349075317,0.5629971027374268,0.5802404284477234
Gender: Male,2,0.60414719581604,0.5564718246459961,0.5578129291534424,0.5564025044441223,0.5676982998847961
Gender: Female,2,0.6102373600006104,0.5772894024848938,0.5705835819244385,0.5692220330238342,0.594994306564331
Age: <40,2,0.6318649053573608,0.5767917633056641,0.5766129493713379,0.5760612487792969,0.5761904716491699
Age: 40-50,2,0.5816537141799927,0.5706984400749207,0.5670839548110962,0.5660936832427979,0.5808656215667725
Age: 50-65,2,0.5621464848518372,0.5277917385101318,0.5284091234207153,0.5279762148857117,0.5829384326934814
Race: White,2,0.5997700691223145,0.5590273141860962,0.5584020614624023,0.5578219294548035,0.5597723126411438
Race: Black,2,0.5643684267997742,0.5229741334915161,0.5231578946113586,0.5230565071105957,0.6113207340240479
Race: Other,2,0.610466480255127,0.5688630938529968,0.569085955619812,0.5689687728881836,0.5957446694374084
Overall,3,0.6117702722549438,0.5787766575813293,0.5761136412620544,0.5768209099769592,0.6048057079315186
Gender: Male,3,0.6067943572998047,0.5750606060028076,0.5745732188224792,0.5747818350791931,0.5928725600242615
Gender: Female,3,0.6160613894462585,0.5812951326370239,0.575785219669342,0.5766929984092712,0.6155340075492859
Age: <40,3,0.6059368252754211,0.5752343535423279,0.5755255818367004,0.5752187967300415,0.5766312479972839
Age: 40-50,3,0.628322958946228,0.6266419887542725,0.6155303120613098,0.6186476945877075,0.6679841876029968
Age: 50-65,3,0.5698325634002686,0.5306466221809387,0.5279618501663208,0.5273647308349609,0.5878635048866272
Race: White,3,0.614572286605835,0.5756487846374512,0.5732455253601074,0.5723011493682861,0.5796418190002441
Race: Black,3,0.5460753440856934,0.5229260921478271,0.5254935622215271,0.5230706334114075,0.6447638869285583
Race: Other,3,0.6026912927627563,0.5913486480712891,0.586928129196167,0.58809494972229,0.6225490570068359
Overall,4,0.6100431680679321,0.5773718357086182,0.575745701789856,0.5761059522628784,0.5910493731498718
Gender: Male,4,0.6065083146095276,0.5971667766571045,0.5986400246620178,0.597471296787262,0.6052899360656738
Gender: Female,4,0.6147029399871826,0.5575951337814331,0.5529911518096924,0.5512216091156006,0.5764828324317932
Age: <40,4,0.590624988079071,0.5661495923995972,0.5662552118301392,0.5661717653274536,0.5674486756324768
Age: 40-50,4,0.6516678333282471,0.6398348808288574,0.6323138475418091,0.6323030591011047,0.6439560651779175
Age: 50-65,4,0.5836148262023926,0.5391860604286194,0.5376412868499756,0.5378727316856384,0.5811648368835449
Race: White,4,0.6330167651176453,0.5926746129989624,0.5917919874191284,0.5915236473083496,0.5934664011001587
Race: Black,4,0.5390981435775757,0.5067164897918701,0.5074376463890076,0.5058261156082153,0.6095618009567261
Race: Other,4,0.5596789121627808,0.5507971048355103,0.5469439625740051,0.5420936942100525,0.5558823347091675
Overall,5,0.588294506072998,0.5675292015075684,0.5650628805160522,0.5649277567863464,0.5801411271095276
Gender: Male,5,0.5420949459075928,0.5203478932380676,0.5203953385353088,0.5203575491905212,0.5263158082962036
Gender: Female,5,0.6303155422210693,0.6178889274597168,0.605532169342041,0.6050074100494385,0.6315271258354187
Age: <40,5,0.6251273155212402,0.6071100831031799,0.6070009469985962,0.6070307493209839,0.6076554656028748
Age: 40-50,5,0.5918858051300049,0.5677697658538818,0.5648652911186218,0.5623919367790222,0.5697896480560303
Age: 50-65,5,0.5348117351531982,0.5142207145690918,0.5130396485328674,0.511690616607666,0.5659472346305847
Race: White,5,0.598764181137085,0.569455623626709,0.5687717199325562,0.5687809586524963,0.5732647776603699
Race: Black,5,0.4968204200267792,0.4874899387359619,0.4895879924297333,0.4850046932697296,0.5969498753547668
Race: Other,5,0.583354115486145,0.5825220346450806,0.5793893337249756,0.576231062412262,0.5810055732727051
Overall,6,0.6074155569076538,0.5754354000091553,0.5727564096450806,0.5731076002120972,0.5928494930267334
Gender: Male,6,0.5740194320678711,0.5502248406410217,0.5505430698394775,0.5502497553825378,0.554817259311676
Gender: Female,6,0.6338331699371338,0.5974093675613403,0.5852950215339661,0.5854142904281616,0.6282183527946472
Age: <40,6,0.556628942489624,0.543870210647583,0.5441657304763794,0.5432627201080322,0.5441860556602478
Age: 40-50,6,0.6672748327255249,0.6388147473335266,0.6309024095535278,0.6290247440338135,0.6375266909599304
Age: 50-65,6,0.5893089771270752,0.5381989479064941,0.5332651138305664,0.5322268009185791,0.6065789461135864
Race: White,6,0.5887826681137085,0.5610273480415344,0.5588166117668152,0.5548379421234131,0.5589123964309692
Race: Black,6,0.5723246335983276,0.5142537355422974,0.5185085535049438,0.51031893491745,0.6419752836227417
Race: Other,6,0.6290048360824585,0.6144890785217285,0.6103544235229492,0.6098803877830505,0.6177214980125427
Overall,7,0.6286107301712036,0.5959798097610474,0.5966286659240723,0.5962672233581543,0.6144517660140991
Gender: Male,7,0.5913231372833252,0.5743334293365479,0.5751615762710571,0.574311375617981,0.5785877108573914
Gender: Female,7,0.6554439067840576,0.6079787015914917,0.6068137884140015,0.6073484420776367,0.64305180311203
Age: <40,7,0.654111921787262,0.6248492002487183,0.6266992092132568,0.6237728595733643,0.6253520846366882
Age: 40-50,7,0.6182657480239868,0.5935437679290771,0.5888940691947937,0.5886874794960022,0.6039387583732605
Age: 50-65,7,0.5859009027481079,0.5555171966552734,0.5559588670730591,0.5557217597961426,0.6108373999595642
Race: White,7,0.6441640853881836,0.6059101819992065,0.6051516532897949,0.6052112579345703,0.607619047164917
Race: Black,7,0.582757830619812,0.5433685779571533,0.5501736998558044,0.543043315410614,0.6208251714706421
Race: Other,7,0.5908965468406677,0.5850340127944946,0.5855799317359924,0.5852914452552795,0.6238095760345459
Overall,8,0.586216926574707,0.5613294839859009,0.5627003312110901,0.5613032579421997,0.5717182159423828
Gender: Male,8,0.5399874448776245,0.5340210199356079,0.5352374911308289,0.5303009748458862,0.5346733331680298
Gender: Female,8,0.6379008293151855,0.5920000076293945,0.5903380513191223,0.59090256690979,0.6094069480895996
Age: <40,8,0.5777933597564697,0.5687500238418579,0.5682485103607178,0.5663754940032959,0.5667613744735718
Age: 40-50,8,0.6374512910842896,0.6082453727722168,0.607209324836731,0.6076030731201172,0.6186046600341797
Age: 50-65,8,0.5273392200469971,0.5076387524604797,0.5080360174179077,0.5070197582244873,0.5518474578857422
Race: White,8,0.5818618535995483,0.5551276206970215,0.55515456199646,0.5551298260688782,0.5554553866386414
Race: Black,8,0.5290067195892334,0.5254063606262207,0.5324609279632568,0.5194145441055298,0.6023856401443481
Race: Other,8,0.5709460973739624,0.5646445155143738,0.5651800036430359,0.5648394823074341,0.5789473652839661
Overall,9,0.5984952449798584,0.5739474296569824,0.5719249844551086,0.5721466541290283,0.586776852607727
Gender: Male,9,0.6111775636672974,0.598809540271759,0.6004946231842041,0.5988492965698242,0.6041666865348816
Gender: Female,9,0.5889193415641785,0.5521261692047119,0.5468308329582214,0.5434175729751587,0.5712890625
Age: <40,9,0.5582089424133301,0.5486048460006714,0.5486652851104736,0.5485039949417114,0.5486862063407898
Age: 40-50,9,0.6602182388305664,0.6782230734825134,0.6590421795845032,0.6583976745605469,0.6759443283081055
Age: 50-65,9,0.569500207901001,0.5203286409378052,0.5196410417556763,0.5195726752281189,0.5610687136650085
